sample,repeat_count,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_db_q10,common_minus_wrongref_db_median,common_minus_wrongref_db_max,common_minus_wrongref_positive_rate,common_minus_wrongref_db_std,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_ordinary_positive_rate
disk,8,0.195815,0.031089,0.034794,0.211566,0.466522,1.0,0.131098,0.543913,-0.035519,0.875
frame,8,0.033574,-0.158032,-0.116511,-0.017237,0.253793,0.5,0.142465,0.15802,-0.004599,0.875
two_spots,8,0.072345,-0.054467,-0.041689,0.01234,0.280799,0.625,0.123443,0.772487,0.614746,1.0
