sample,repeat_count,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_positive_fraction,common_minus_ordinary_db_mean,common_minus_ordinary_db_min
corner_dots,14,0.129694,-0.242455,0.714286,0.372848,-0.098431
diamond,14,0.278708,-0.341463,0.857143,0.789097,0.127451
disk,14,0.273426,-0.403977,0.714286,0.902781,0.449746
frame,14,0.207716,0.103055,1.0,0.464507,0.367723
half_ring,14,-0.032924,-0.428507,0.285714,0.225804,-0.137511
offcenter_disk,14,0.226079,-0.991508,0.642857,0.75648,0.03504
triple_bars,14,-0.115828,-0.315959,0.214286,-0.034834,-0.285857
two_spots,14,0.352749,-0.024772,0.928571,0.547308,0.030892
zigzag,14,-0.398204,-1.204329,0.142857,-0.135201,-0.533514
