config_id,repeat_seed,split,sample,condition,wrongref_mode,encoding_mode,psnr_db,mse
1,1,ood,frame,noncommon_path,edge_echo_decoy,baseline,9.387321,0.11515105
1,1,ood,disk,wrong_reference,edge_echo_decoy,baseline,14.75216,0.03347989
1,1,ood,two_spots,wrong_reference,edge_echo_decoy,baseline,14.517717,0.03533689
1,1,ood,frame,wrong_reference,edge_echo_decoy,baseline,9.914553,0.10198696
1,2,train,cross,ordinary,edge_echo_decoy,baseline,13.187249,0.04800374
1,2,train,diag,ordinary,edge_echo_decoy,baseline,12.638105,0.05447403
1,2,train,box,ordinary,edge_echo_decoy,baseline,12.144659,0.0610287
1,2,train,bars,ordinary,edge_echo_decoy,baseline,13.286079,0.04692369
1,2,train,ring,ordinary,edge_echo_decoy,baseline,13.492024,0.04475047
1,2,train,chevron,ordinary,edge_echo_decoy,baseline,13.716543,0.04249577
1,2,train,cross,common_path,edge_echo_decoy,baseline,12.934728,0.05087767
1,2,train,diag,common_path,edge_echo_decoy,baseline,10.680718,0.08549254
1,2,train,box,common_path,edge_echo_decoy,baseline,11.805671,0.06598312
1,2,train,bars,common_path,edge_echo_decoy,baseline,12.49954,0.05624009
1,2,train,ring,common_path,edge_echo_decoy,baseline,12.175526,0.06059648
1,2,train,chevron,common_path,edge_echo_decoy,baseline,11.240138,0.07515991
1,2,train,cross,noncommon_path,edge_echo_decoy,baseline,12.798672,0.0524968
1,2,train,diag,noncommon_path,edge_echo_decoy,baseline,10.728047,0.08456591
1,2,train,box,noncommon_path,edge_echo_decoy,baseline,11.76537,0.06659828
1,2,train,bars,noncommon_path,edge_echo_decoy,baseline,12.358785,0.0580927
1,2,train,ring,noncommon_path,edge_echo_decoy,baseline,12.365803,0.05799889
1,2,train,chevron,noncommon_path,edge_echo_decoy,baseline,10.251388,0.09437592
1,2,train,cross,wrong_reference,edge_echo_decoy,baseline,13.690699,0.0427494
1,2,train,diag,wrong_reference,edge_echo_decoy,baseline,13.366635,0.04606133
1,2,train,box,wrong_reference,edge_echo_decoy,baseline,13.02417,0.04984057
1,2,train,bars,wrong_reference,edge_echo_decoy,baseline,13.883276,0.04089521
1,2,train,ring,wrong_reference,edge_echo_decoy,baseline,13.839713,0.04130748
1,2,train,chevron,wrong_reference,edge_echo_decoy,baseline,12.423195,0.05723748
1,2,ood,disk,ordinary,edge_echo_decoy,baseline,13.368578,0.04604073
1,2,ood,two_spots,ordinary,edge_echo_decoy,baseline,13.383888,0.04587871
1,2,ood,frame,ordinary,edge_echo_decoy,baseline,9.296002,0.11759797
1,2,ood,disk,common_path,edge_echo_decoy,baseline,13.215778,0.04768944
1,2,ood,two_spots,common_path,edge_echo_decoy,baseline,13.984494,0.03995311
1,2,ood,frame,common_path,edge_echo_decoy,baseline,9.507236,0.11201506
1,2,ood,disk,noncommon_path,edge_echo_decoy,baseline,13.677348,0.04288103
1,2,ood,two_spots,noncommon_path,edge_echo_decoy,baseline,14.207343,0.03795471
1,2,ood,frame,noncommon_path,edge_echo_decoy,baseline,9.523437,0.11159797
1,2,ood,disk,wrong_reference,edge_echo_decoy,baseline,15.015044,0.03151343
1,2,ood,two_spots,wrong_reference,edge_echo_decoy,baseline,14.568044,0.03492976
1,2,ood,frame,wrong_reference,edge_echo_decoy,baseline,9.973573,0.10061035
1,3,train,cross,ordinary,edge_echo_decoy,baseline,13.181904,0.04806286
1,3,train,diag,ordinary,edge_echo_decoy,baseline,12.376326,0.05785852
1,3,train,box,ordinary,edge_echo_decoy,baseline,12.145686,0.06101426
1,3,train,bars,ordinary,edge_echo_decoy,baseline,13.136534,0.0485676
1,3,train,ring,ordinary,edge_echo_decoy,baseline,13.501755,0.04465031
1,3,train,chevron,ordinary,edge_echo_decoy,baseline,13.641864,0.04323282
1,3,train,cross,common_path,edge_echo_decoy,baseline,12.80507,0.05241951
1,3,train,diag,common_path,edge_echo_decoy,baseline,10.284633,0.09365623
1,3,train,box,common_path,edge_echo_decoy,baseline,11.856362,0.06521745
1,3,train,bars,common_path,edge_echo_decoy,baseline,12.638381,0.05447057
1,3,train,ring,common_path,edge_echo_decoy,baseline,12.056966,0.06227352
1,3,train,chevron,common_path,edge_echo_decoy,baseline,11.411718,0.0722484
1,3,train,cross,noncommon_path,edge_echo_decoy,baseline,12.963818,0.05053802
1,3,train,diag,noncommon_path,edge_echo_decoy,baseline,11.306302,0.07402353
1,3,train,box,noncommon_path,edge_echo_decoy,baseline,11.741976,0.066958
1,3,train,bars,noncommon_path,edge_echo_decoy,baseline,12.530467,0.05584102
1,3,train,ring,noncommon_path,edge_echo_decoy,baseline,12.210655,0.06010831
1,3,train,chevron,noncommon_path,edge_echo_decoy,baseline,10.132521,0.09699467
1,3,train,cross,wrong_reference,edge_echo_decoy,baseline,13.783413,0.04184646
1,3,train,diag,wrong_reference,edge_echo_decoy,baseline,12.792035,0.05257708
1,3,train,box,wrong_reference,edge_echo_decoy,baseline,12.793785,0.0525559
1,3,train,bars,wrong_reference,edge_echo_decoy,baseline,13.854963,0.04116269
1,3,train,ring,wrong_reference,edge_echo_decoy,baseline,13.648516,0.04316665
1,3,train,chevron,wrong_reference,edge_echo_decoy,baseline,12.386656,0.05772108
1,3,ood,disk,ordinary,edge_echo_decoy,baseline,13.831269,0.04138787
1,3,ood,two_spots,ordinary,edge_echo_decoy,baseline,13.462356,0.04505723
1,3,ood,frame,ordinary,edge_echo_decoy,baseline,9.312454,0.11715332
1,3,ood,disk,common_path,edge_echo_decoy,baseline,13.294785,0.04682972
1,3,ood,two_spots,common_path,edge_echo_decoy,baseline,14.192742,0.03808253
1,3,ood,frame,common_path,edge_echo_decoy,baseline,9.419589,0.11429865
1,3,ood,disk,noncommon_path,edge_echo_decoy,baseline,14.059819,0.03926613
1,3,ood,two_spots,noncommon_path,edge_echo_decoy,baseline,13.842597,0.04128005
1,3,ood,frame,noncommon_path,edge_echo_decoy,baseline,9.477609,0.11278181
1,3,ood,disk,wrong_reference,edge_echo_decoy,baseline,14.275853,0.03736068
1,3,ood,two_spots,wrong_reference,edge_echo_decoy,baseline,14.704699,0.03384777
1,3,ood,frame,wrong_reference,edge_echo_decoy,baseline,10.165672,0.0962571
1,4,train,cross,ordinary,edge_echo_decoy,baseline,13.198794,0.0478763
1,4,train,diag,ordinary,edge_echo_decoy,baseline,13.134611,0.0485891
1,4,train,box,ordinary,edge_echo_decoy,baseline,12.19463,0.0603305
1,4,train,bars,ordinary,edge_echo_decoy,baseline,13.388247,0.04583269
1,4,train,ring,ordinary,edge_echo_decoy,baseline,13.549929,0.04415777
1,4,train,chevron,ordinary,edge_echo_decoy,baseline,13.623087,0.04342015
1,4,train,cross,common_path,edge_echo_decoy,baseline,12.898751,0.05130089
1,4,train,diag,common_path,edge_echo_decoy,baseline,10.059318,0.09864345
1,4,train,box,common_path,edge_echo_decoy,baseline,11.745057,0.0669105
1,4,train,bars,common_path,edge_echo_decoy,baseline,12.482706,0.05645851
1,4,train,ring,common_path,edge_echo_decoy,baseline,11.89666,0.0646151
1,4,train,chevron,common_path,edge_echo_decoy,baseline,10.274903,0.0938663
1,4,train,cross,noncommon_path,edge_echo_decoy,baseline,13.040979,0.04964804
1,4,train,diag,noncommon_path,edge_echo_decoy,baseline,10.44594,0.09024143
1,4,train,box,noncommon_path,edge_echo_decoy,baseline,11.794052,0.0661599
1,4,train,bars,noncommon_path,edge_echo_decoy,baseline,12.566906,0.05537445
1,4,train,ring,noncommon_path,edge_echo_decoy,baseline,12.127914,0.06126446
1,4,train,chevron,noncommon_path,edge_echo_decoy,baseline,10.557134,0.08796028
1,4,train,cross,wrong_reference,edge_echo_decoy,baseline,13.730915,0.04235537
1,4,train,diag,wrong_reference,edge_echo_decoy,baseline,12.948253,0.05071947
1,4,train,box,wrong_reference,edge_echo_decoy,baseline,12.822253,0.05221252
1,4,train,bars,wrong_reference,edge_echo_decoy,baseline,13.637414,0.04327714
1,4,train,ring,wrong_reference,edge_echo_decoy,baseline,13.741001,0.04225713
1,4,train,chevron,wrong_reference,edge_echo_decoy,baseline,12.334943,0.05841249
1,4,ood,disk,ordinary,edge_echo_decoy,baseline,13.476143,0.04491441
1,4,ood,two_spots,ordinary,edge_echo_decoy,baseline,13.32437,0.04651179
1,4,ood,frame,ordinary,edge_echo_decoy,baseline,9.214573,0.1198237
1,4,ood,disk,common_path,edge_echo_decoy,baseline,13.148179,0.04843754
1,4,ood,two_spots,common_path,edge_echo_decoy,baseline,14.202336,0.03799849
1,4,ood,frame,common_path,edge_echo_decoy,baseline,9.455158,0.11336635
1,4,ood,disk,noncommon_path,edge_echo_decoy,baseline,14.247033,0.03760942
1,4,ood,two_spots,noncommon_path,edge_echo_decoy,baseline,14.041761,0.03942974
1,4,ood,frame,noncommon_path,edge_echo_decoy,baseline,9.260241,0.1185703
1,4,ood,disk,wrong_reference,edge_echo_decoy,baseline,14.354821,0.03668748
1,4,ood,two_spots,wrong_reference,edge_echo_decoy,baseline,14.297432,0.0371755
1,4,ood,frame,wrong_reference,edge_echo_decoy,baseline,10.074722,0.09829419
1,5,train,cross,ordinary,edge_echo_decoy,baseline,13.175962,0.04812866
