config_id,repeat_seed,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db,risk_pair_q10_db_repeat,risk_pair_min_db_repeat,risk_pair_positive_fraction_repeat
5,4,1,0.16,0.16,1.0,anti_phase_plus_decoy,12.033087,12.704883,12.423115,12.590484,0.671796,0.281767,0.114399,-0.04234,-0.045407,0.0
5,5,1,0.16,0.16,1.0,anti_phase_plus_decoy,11.996625,12.508073,12.560429,12.369245,0.511448,-0.052356,0.138828,-0.068073,-0.088958,0.5
5,6,1,0.16,0.16,1.0,anti_phase_plus_decoy,12.115721,12.450834,12.384405,12.566666,0.335113,0.06643,-0.115831,-0.03835,-0.068698,0.5
5,7,1,0.16,0.16,1.0,anti_phase_plus_decoy,12.001954,12.616642,12.280477,12.526284,0.614688,0.336165,0.090358,-0.196344,-0.228573,0.5
6,0,1,0.16,0.16,1.1,anti_phase_plus_decoy,12.066893,12.393633,12.36786,12.622096,0.32674,0.025773,-0.228463,-0.481951,-0.532741,0.0
6,1,1,0.16,0.16,1.1,anti_phase_plus_decoy,12.175085,12.229569,12.551792,12.460649,0.054484,-0.322223,-0.23108,-0.358853,-0.36458,0.0
6,2,1,0.16,0.16,1.1,anti_phase_plus_decoy,12.073322,12.550868,12.516764,12.54966,0.477545,0.034104,0.001208,-0.03248,-0.04926,0.5
6,3,1,0.16,0.16,1.1,anti_phase_plus_decoy,12.067038,12.550188,12.283603,12.481187,0.48315,0.266585,0.069001,-0.164624,-0.195617,0.5
6,4,1,0.16,0.16,1.1,anti_phase_plus_decoy,12.105949,12.495685,12.441882,12.539016,0.389736,0.053803,-0.04333,0.073511,0.072455,1.0
6,5,1,0.16,0.16,1.1,anti_phase_plus_decoy,11.958845,12.348935,12.420583,12.559506,0.39009,-0.071648,-0.210571,-0.281472,-0.295134,0.0
6,6,1,0.16,0.16,1.1,anti_phase_plus_decoy,12.193396,12.450861,12.448048,12.509713,0.257465,0.002813,-0.058852,-0.123005,-0.157556,0.5
6,7,1,0.16,0.16,1.1,anti_phase_plus_decoy,12.233473,12.646496,12.529065,12.512004,0.413023,0.117431,0.134492,-0.064397,-0.09977,0.5
7,0,1,0.18,0.16,0.9,anti_phase_plus_decoy,12.194351,12.453209,12.18747,12.597019,0.258858,0.265739,-0.143811,-0.134042,-0.164462,0.5
7,1,1,0.18,0.16,0.9,anti_phase_plus_decoy,11.806979,12.415868,12.515164,12.588574,0.608889,-0.099296,-0.172706,-0.332191,-0.349238,0.0
7,2,1,0.18,0.16,0.9,anti_phase_plus_decoy,12.048434,12.37813,12.425986,12.597081,0.329696,-0.047857,-0.218951,0.020297,0.018339,1.0
7,3,1,0.18,0.16,0.9,anti_phase_plus_decoy,12.074466,12.610085,12.390596,12.684726,0.535619,0.219489,-0.074642,-0.179859,-0.200267,0.5
7,4,1,0.18,0.16,0.9,anti_phase_plus_decoy,12.127452,12.506982,12.500472,12.503384,0.37953,0.006511,0.003598,0.076654,0.05885,1.0
7,5,1,0.18,0.16,0.9,anti_phase_plus_decoy,12.179872,12.615088,12.106247,12.456308,0.435216,0.508841,0.158781,-0.127398,-0.144692,0.5
7,6,1,0.18,0.16,0.9,anti_phase_plus_decoy,12.049005,12.389739,12.551678,12.472509,0.340734,-0.161939,-0.08277,-0.045024,-0.064867,0.5
7,7,1,0.18,0.16,0.9,anti_phase_plus_decoy,12.237697,12.497808,12.706594,12.602242,0.260111,-0.208787,-0.104435,-0.283006,-0.286378,0.0
8,0,1,0.18,0.16,1.0,anti_phase_plus_decoy,11.984904,12.520438,12.340326,12.403009,0.535534,0.180112,0.117429,-0.228374,-0.258705,0.5
8,1,1,0.18,0.16,1.0,anti_phase_plus_decoy,12.002403,12.319515,12.453176,12.528016,0.317112,-0.133661,-0.208501,-0.263098,-0.269288,0.0
8,2,1,0.18,0.16,1.0,anti_phase_plus_decoy,12.105401,12.334134,12.363516,12.370702,0.228732,-0.029382,-0.036569,-0.25179,-0.28,0.5
8,3,1,0.18,0.16,1.0,anti_phase_plus_decoy,11.975603,12.585494,12.564326,12.246911,0.609891,0.021168,0.338583,0.037301,0.025042,1.0
8,4,1,0.18,0.16,1.0,anti_phase_plus_decoy,12.182305,12.498467,12.412388,12.40285,0.316163,0.086079,0.095618,0.123647,0.122504,1.0
8,5,1,0.18,0.16,1.0,anti_phase_plus_decoy,12.039598,12.504032,12.559168,12.479426,0.464434,-0.055136,0.024606,0.000212,-0.00038,0.5
8,6,1,0.18,0.16,1.0,anti_phase_plus_decoy,11.972479,12.593842,12.376347,12.558621,0.621363,0.217495,0.035221,-0.268709,-0.332873,0.5
8,7,1,0.18,0.16,1.0,anti_phase_plus_decoy,12.222264,12.287382,12.497251,12.488223,0.065119,-0.209868,-0.20084,-0.112731,-0.120536,0.0
9,0,1,0.18,0.16,1.1,anti_phase_plus_decoy,12.025397,12.50351,12.36624,12.639106,0.478113,0.13727,-0.135596,-0.133077,-0.158414,0.5
9,1,1,0.18,0.16,1.1,anti_phase_plus_decoy,12.02997,12.62628,12.62926,12.39794,0.59631,-0.00298,0.228341,-0.303279,-0.341595,0.5
9,2,1,0.18,0.16,1.1,anti_phase_plus_decoy,11.986994,12.524733,12.63858,12.742063,0.537739,-0.113847,-0.21733,-0.256446,-0.280671,0.0
9,3,1,0.18,0.16,1.1,anti_phase_plus_decoy,12.251783,12.629146,12.338252,12.691391,0.377364,0.290894,-0.062245,-0.221018,-0.244892,0.0
9,4,1,0.18,0.16,1.1,anti_phase_plus_decoy,12.002981,12.354763,12.640541,12.607964,0.351782,-0.285778,-0.253201,-0.309353,-0.322229,0.0
9,5,1,0.18,0.16,1.1,anti_phase_plus_decoy,12.226087,12.384669,12.28096,12.449773,0.158582,0.103709,-0.065104,-0.105128,-0.142223,0.5
9,6,1,0.18,0.16,1.1,anti_phase_plus_decoy,12.07878,12.431713,12.487185,12.466131,0.352933,-0.055472,-0.034418,0.063394,0.054372,1.0
9,7,1,0.18,0.16,1.1,anti_phase_plus_decoy,12.117577,12.636531,12.367468,12.465165,0.518954,0.269063,0.171366,0.073175,0.06133,1.0
10,0,1,0.2,0.16,0.9,anti_phase_plus_decoy,12.059138,12.412095,12.373004,12.231531,0.352957,0.03909,0.180563,-0.079013,-0.093526,0.5
10,1,1,0.2,0.16,0.9,anti_phase_plus_decoy,11.912998,12.389838,12.308339,12.451773,0.47684,0.081499,-0.061935,-0.417356,-0.460344,0.0
10,2,1,0.2,0.16,0.9,anti_phase_plus_decoy,11.984128,12.301867,12.515229,12.583882,0.31774,-0.213361,-0.282014,-0.073171,-0.08228,0.5
10,3,1,0.2,0.16,0.9,anti_phase_plus_decoy,12.144816,12.445325,12.392583,12.327882,0.300508,0.052741,0.117443,-0.007678,-0.016781,0.5
10,4,1,0.2,0.16,0.9,anti_phase_plus_decoy,11.988106,12.648248,12.354555,12.353939,0.660141,0.293692,0.294309,0.127185,0.084488,1.0
10,5,1,0.2,0.16,0.9,anti_phase_plus_decoy,12.010131,12.332945,12.392924,12.371403,0.322815,-0.059978,-0.038457,-0.187195,-0.211227,0.5
10,6,1,0.2,0.16,0.9,anti_phase_plus_decoy,12.024618,12.312539,12.427538,12.442058,0.287921,-0.114999,-0.129519,-0.105281,-0.134784,0.5
10,7,1,0.2,0.16,0.9,anti_phase_plus_decoy,11.946991,12.563471,12.31753,12.253652,0.61648,0.245941,0.309819,0.121353,0.116242,1.0
11,0,1,0.2,0.16,1.0,anti_phase_plus_decoy,12.137974,12.604917,12.567205,12.456251,0.466943,0.037713,0.148666,-0.081876,-0.121297,0.5
11,1,1,0.2,0.16,1.0,anti_phase_plus_decoy,12.001939,12.500637,12.342528,12.441943,0.498698,0.158108,0.058694,-0.031365,-0.070364,0.5
11,2,1,0.2,0.16,1.0,anti_phase_plus_decoy,12.106356,12.649981,12.46953,12.539661,0.543625,0.18045,0.11032,0.038545,0.022893,1.0
11,3,1,0.2,0.16,1.0,anti_phase_plus_decoy,12.309544,12.524309,12.482614,12.539446,0.214765,0.041695,-0.015137,-0.036605,-0.040286,0.0
11,4,1,0.2,0.16,1.0,anti_phase_plus_decoy,11.991338,12.487196,12.314669,12.462927,0.495858,0.172527,0.024269,-0.031117,-0.041447,0.5
11,5,1,0.2,0.16,1.0,anti_phase_plus_decoy,11.876731,12.298241,12.369268,12.631824,0.42151,-0.071027,-0.333583,-0.273266,-0.304231,0.5
11,6,1,0.2,0.16,1.0,anti_phase_plus_decoy,12.003676,12.38582,12.455187,12.298833,0.382144,-0.069367,0.086987,0.006557,-0.004365,0.5
11,7,1,0.2,0.16,1.0,anti_phase_plus_decoy,12.1739,12.346718,12.304754,12.425341,0.172818,0.041964,-0.078623,-0.158942,-0.183148,0.5
12,0,1,0.2,0.16,1.1,anti_phase_plus_decoy,12.047821,12.267023,12.487817,12.434981,0.219202,-0.220794,-0.167958,-0.290635,-0.327273,0.5
12,1,1,0.2,0.16,1.1,anti_phase_plus_decoy,12.148849,12.530698,12.20381,12.573072,0.381848,0.326887,-0.042375,-0.115076,-0.118548,0.0
12,2,1,0.2,0.16,1.1,anti_phase_plus_decoy,12.185819,12.647078,12.470817,12.483651,0.46126,0.176261,0.163427,-0.151876,-0.152092,0.0
12,3,1,0.2,0.16,1.1,anti_phase_plus_decoy,12.214815,12.478978,12.422605,12.602791,0.264163,0.056373,-0.123813,-0.201112,-0.225453,0.5
12,4,1,0.2,0.16,1.1,anti_phase_plus_decoy,11.988153,12.434517,12.320927,12.50476,0.446364,0.11359,-0.070243,-0.168168,-0.194625,0.5
12,5,1,0.2,0.16,1.1,anti_phase_plus_decoy,12.070156,12.508105,12.471596,12.491296,0.43795,0.03651,0.016809,-0.170508,-0.180459,0.0
12,6,1,0.2,0.16,1.1,anti_phase_plus_decoy,11.978986,12.413282,12.493805,12.48858,0.434296,-0.080523,-0.075298,-0.089421,-0.12028,0.5
12,7,1,0.2,0.16,1.1,anti_phase_plus_decoy,11.953912,12.472407,12.447617,12.476211,0.518495,0.024789,-0.003804,-0.19353,-0.210532,0.0
13,0,1,0.14,0.17,0.9,anti_phase_plus_decoy,11.962808,12.627869,12.569974,12.547345,0.665061,0.057894,0.080524,-0.125367,-0.128394,0.0
13,1,1,0.14,0.17,0.9,anti_phase_plus_decoy,12.023595,12.504815,12.447142,12.419241,0.48122,0.057673,0.085574,-0.167256,-0.208138,0.5
13,2,1,0.14,0.17,0.9,anti_phase_plus_decoy,12.004033,12.530987,12.573786,12.556541,0.526954,-0.042798,-0.025554,0.003786,-0.005831,0.5
13,3,1,0.14,0.17,0.9,anti_phase_plus_decoy,12.056147,12.491689,12.514981,12.526595,0.435543,-0.023292,-0.034906,0.048111,0.033808,1.0
