config_id,repeat_seed,split,sample,condition,phase_mix,wrongref_mode,psnr_db,mse
1,2,train,cross,ordinary,0.1,existing_amp_only,12.968456,0.05048407
1,2,train,diag,ordinary,0.1,existing_amp_only,12.874633,0.05158657
1,2,train,box,ordinary,0.1,existing_amp_only,12.012308,0.06291717
1,2,train,bars,ordinary,0.1,existing_amp_only,13.224657,0.04759204
1,2,train,ring,ordinary,0.1,existing_amp_only,13.199229,0.0478715
1,2,train,chevron,ordinary,0.1,existing_amp_only,13.554695,0.04410933
1,2,train,cross,common_path,0.1,existing_amp_only,12.757962,0.0529912
1,2,train,diag,common_path,0.1,existing_amp_only,10.816593,0.08285919
1,2,train,box,common_path,0.1,existing_amp_only,11.873088,0.06496675
1,2,train,bars,common_path,0.1,existing_amp_only,12.497137,0.05627121
1,2,train,ring,common_path,0.1,existing_amp_only,11.983008,0.06334309
1,2,train,chevron,common_path,0.1,existing_amp_only,10.871749,0.08181352
1,2,train,cross,noncommon_path,0.1,existing_amp_only,12.931236,0.0509186
1,2,train,diag,noncommon_path,0.1,existing_amp_only,9.954771,0.10104687
1,2,train,box,noncommon_path,0.1,existing_amp_only,11.911267,0.06439814
1,2,train,bars,noncommon_path,0.1,existing_amp_only,12.648125,0.0543485
1,2,train,ring,noncommon_path,0.1,existing_amp_only,12.0269,0.06270614
1,2,train,chevron,noncommon_path,0.1,existing_amp_only,10.58049,0.08748852
1,2,train,cross,wrong_reference,0.1,existing_amp_only,12.824663,0.05218356
1,2,train,diag,wrong_reference,0.1,existing_amp_only,11.493116,0.07090689
1,2,train,box,wrong_reference,0.1,existing_amp_only,12.148812,0.06097037
1,2,train,bars,wrong_reference,0.1,existing_amp_only,12.675435,0.0540078
1,2,train,ring,wrong_reference,0.1,existing_amp_only,12.49269,0.05632886
1,2,train,chevron,wrong_reference,0.1,existing_amp_only,11.456559,0.07150626
1,2,ood,disk,ordinary,0.1,existing_amp_only,13.131797,0.0486206
1,2,ood,two_spots,ordinary,0.1,existing_amp_only,13.459654,0.04508527
1,2,ood,frame,ordinary,0.1,existing_amp_only,9.365638,0.1157274
1,2,ood,disk,common_path,0.1,existing_amp_only,13.90735,0.04066914
1,2,ood,two_spots,common_path,0.1,existing_amp_only,13.915796,0.04059012
1,2,ood,frame,common_path,0.1,existing_amp_only,9.437622,0.11382504
1,2,ood,disk,noncommon_path,0.1,existing_amp_only,14.05658,0.03929542
1,2,ood,two_spots,noncommon_path,0.1,existing_amp_only,13.850387,0.04120608
1,2,ood,frame,noncommon_path,0.1,existing_amp_only,9.517146,0.11175973
1,2,ood,disk,wrong_reference,0.1,existing_amp_only,14.143619,0.03851573
1,2,ood,two_spots,wrong_reference,0.1,existing_amp_only,14.357861,0.03666181
1,2,ood,frame,wrong_reference,0.1,existing_amp_only,9.52965,0.11143843
1,3,train,cross,ordinary,0.1,existing_amp_only,13.144537,0.04847818
1,3,train,diag,ordinary,0.1,existing_amp_only,13.819687,0.04149839
1,3,train,box,ordinary,0.1,existing_amp_only,12.017163,0.06284687
1,3,train,bars,ordinary,0.1,existing_amp_only,13.221011,0.04763201
1,3,train,ring,ordinary,0.1,existing_amp_only,13.285948,0.0469251
1,3,train,chevron,ordinary,0.1,existing_amp_only,13.536323,0.04429632
1,3,train,cross,common_path,0.1,existing_amp_only,12.885806,0.05145404
1,3,train,diag,common_path,0.1,existing_amp_only,10.610819,0.08687966
1,3,train,box,common_path,0.1,existing_amp_only,11.609404,0.06903346
1,3,train,bars,common_path,0.1,existing_amp_only,12.31157,0.0587277
1,3,train,ring,common_path,0.1,existing_amp_only,11.893921,0.06465586
1,3,train,chevron,common_path,0.1,existing_amp_only,11.026387,0.07895166
1,3,train,cross,noncommon_path,0.1,existing_amp_only,12.922959,0.05101573
1,3,train,diag,noncommon_path,0.1,existing_amp_only,11.227323,0.075382
1,3,train,box,noncommon_path,0.1,existing_amp_only,11.795205,0.06614234
1,3,train,bars,noncommon_path,0.1,existing_amp_only,12.193702,0.06034341
1,3,train,ring,noncommon_path,0.1,existing_amp_only,12.3063,0.058799
1,3,train,chevron,noncommon_path,0.1,existing_amp_only,11.281838,0.07444168
1,3,train,cross,wrong_reference,0.1,existing_amp_only,12.722629,0.05342408
1,3,train,diag,wrong_reference,0.1,existing_amp_only,11.748246,0.06686139
1,3,train,box,wrong_reference,0.1,existing_amp_only,12.114654,0.0614518
1,3,train,bars,wrong_reference,0.1,existing_amp_only,12.678974,0.05396381
1,3,train,ring,wrong_reference,0.1,existing_amp_only,12.543828,0.05566948
1,3,train,chevron,wrong_reference,0.1,existing_amp_only,10.881901,0.08162251
1,3,ood,disk,ordinary,0.1,existing_amp_only,13.739146,0.04227517
1,3,ood,two_spots,ordinary,0.1,existing_amp_only,13.176916,0.04811809
1,3,ood,frame,ordinary,0.1,existing_amp_only,9.253242,0.11876153
1,3,ood,disk,common_path,0.1,existing_amp_only,13.915945,0.04058873
1,3,ood,two_spots,common_path,0.1,existing_amp_only,14.04987,0.03935619
1,3,ood,frame,common_path,0.1,existing_amp_only,9.189824,0.12050848
1,3,ood,disk,noncommon_path,0.1,existing_amp_only,13.358819,0.04614431
1,3,ood,two_spots,noncommon_path,0.1,existing_amp_only,14.089604,0.03899776
1,3,ood,frame,noncommon_path,0.1,existing_amp_only,9.58875,0.10993223
1,3,ood,disk,wrong_reference,0.1,existing_amp_only,14.073115,0.0391461
1,3,ood,two_spots,wrong_reference,0.1,existing_amp_only,14.203974,0.03798417
1,3,ood,frame,wrong_reference,0.1,existing_amp_only,9.662742,0.10807514
2,0,train,cross,ordinary,0.125,existing_amp_only,13.169952,0.04819531
2,0,train,diag,ordinary,0.125,existing_amp_only,12.203426,0.06020844
2,0,train,box,ordinary,0.125,existing_amp_only,12.13289,0.0611943
2,0,train,bars,ordinary,0.125,existing_amp_only,13.27968,0.04699287
2,0,train,ring,ordinary,0.125,existing_amp_only,13.583706,0.04381566
2,0,train,chevron,ordinary,0.125,existing_amp_only,13.581969,0.04383319
2,0,train,cross,common_path,0.125,existing_amp_only,12.890457,0.05139896
2,0,train,diag,common_path,0.125,existing_amp_only,10.349717,0.09226315
2,0,train,box,common_path,0.125,existing_amp_only,11.655678,0.0683018
2,0,train,bars,common_path,0.125,existing_amp_only,12.191985,0.06036727
2,0,train,ring,common_path,0.125,existing_amp_only,12.209556,0.06012351
2,0,train,chevron,common_path,0.125,existing_amp_only,10.404219,0.09111252
2,0,train,cross,noncommon_path,0.125,existing_amp_only,12.889764,0.05140716
2,0,train,diag,noncommon_path,0.125,existing_amp_only,10.458306,0.08998486
2,0,train,box,noncommon_path,0.125,existing_amp_only,11.748629,0.06685549
2,0,train,bars,noncommon_path,0.125,existing_amp_only,12.279207,0.05916697
2,0,train,ring,noncommon_path,0.125,existing_amp_only,12.225337,0.05990545
2,0,train,chevron,noncommon_path,0.125,existing_amp_only,10.191281,0.09569117
2,0,train,cross,wrong_reference,0.125,existing_amp_only,12.783112,0.05268522
2,0,train,diag,wrong_reference,0.125,existing_amp_only,12.242183,0.05967353
