config_id,repeat_seed,num_layers,reference_weight,phase_mix,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
14,1,1,0.2,0.2,12.005013,12.483247,12.481492,12.549399,0.478234,0.001755,-0.066152
14,2,1,0.2,0.2,12.160672,12.356799,12.31268,12.464139,0.196127,0.044119,-0.10734
14,3,1,0.2,0.2,12.097304,12.397135,12.407503,12.547131,0.299831,-0.010368,-0.149996
15,0,1,0.2,0.25,11.933038,12.502825,12.441002,12.644219,0.569788,0.061823,-0.141394
15,1,1,0.2,0.25,12.085617,12.486712,12.471037,12.471277,0.401095,0.015675,0.015435
15,2,1,0.2,0.25,12.108125,12.362455,12.430079,12.573192,0.25433,-0.067624,-0.210737
15,3,1,0.2,0.25,12.180719,12.36761,12.528519,12.672299,0.186891,-0.160909,-0.304689
16,0,1,0.24,0.05,12.053881,12.352376,12.061244,12.643503,0.298494,0.291132,-0.291127
16,1,1,0.24,0.05,12.166793,12.222865,12.313287,12.41648,0.056072,-0.090422,-0.193614
16,2,1,0.24,0.05,12.121551,12.310781,12.489584,12.422195,0.18923,-0.178803,-0.111414
16,3,1,0.24,0.05,11.993419,12.406426,12.206742,12.239793,0.413007,0.199684,0.166633
17,0,1,0.24,0.1,12.109108,12.338526,12.410174,12.548621,0.229417,-0.071648,-0.210095
17,1,1,0.24,0.1,11.963585,12.392571,12.388175,12.43357,0.428986,0.004396,-0.040999
17,2,1,0.24,0.1,12.092847,12.370801,12.31608,12.40145,0.277954,0.054722,-0.030649
17,3,1,0.24,0.1,11.903741,12.529484,12.374432,12.270215,0.625743,0.155052,0.259269
18,0,1,0.24,0.15,12.121859,12.349248,12.354265,12.193531,0.227389,-0.005017,0.155717
18,1,1,0.24,0.15,12.040692,12.277326,12.279227,12.475204,0.236634,-0.001901,-0.197878
18,2,1,0.24,0.15,12.065965,12.354401,12.281516,12.446258,0.288436,0.072885,-0.091857
18,3,1,0.24,0.15,11.99509,12.490557,12.419204,12.628452,0.495467,0.071353,-0.137895
19,0,1,0.24,0.2,12.122026,12.225938,12.262225,12.323584,0.103911,-0.036288,-0.097646
19,1,1,0.24,0.2,12.007424,12.300392,12.433849,12.463399,0.292968,-0.133456,-0.163007
19,2,1,0.24,0.2,12.127114,12.392665,12.177248,12.447604,0.26555,0.215417,-0.054939
19,3,1,0.24,0.2,12.089474,12.416338,12.408372,12.368139,0.326863,0.007966,0.048199
20,0,1,0.24,0.25,12.022339,12.370564,12.289407,12.514673,0.348225,0.081157,-0.144108
20,1,1,0.24,0.25,12.071339,12.188927,12.462255,12.726982,0.117587,-0.273328,-0.538055
20,2,1,0.24,0.25,12.10502,12.427523,12.209033,12.528418,0.322503,0.21849,-0.100895
20,3,1,0.24,0.25,12.000442,12.22902,12.343255,12.367755,0.228578,-0.114235,-0.138735
21,0,1,0.28,0.05,11.978069,12.377949,12.313214,12.394877,0.39988,0.064735,-0.016928
21,1,1,0.28,0.05,12.157732,12.251946,12.255815,12.295966,0.094214,-0.003869,-0.04402
21,2,1,0.28,0.05,12.098914,12.19746,12.281646,12.42638,0.098546,-0.084186,-0.22892
21,3,1,0.28,0.05,12.055283,12.263282,12.355679,12.269372,0.207999,-0.092396,-0.00609
22,0,1,0.28,0.1,11.980149,12.2948,12.265145,12.364152,0.314651,0.029655,-0.069352
22,1,1,0.28,0.1,12.182564,12.371245,12.257141,12.464717,0.188681,0.114104,-0.093472
22,2,1,0.28,0.1,11.957541,12.240119,12.248511,12.261758,0.282578,-0.008391,-0.021639
22,3,1,0.28,0.1,12.100656,12.334283,12.025319,12.277087,0.233628,0.308964,0.057196
23,0,1,0.28,0.15,12.199943,12.235281,12.218099,12.40205,0.035339,0.017183,-0.166768
23,1,1,0.28,0.15,12.135627,12.215501,12.223558,12.522203,0.079874,-0.008056,-0.306702
23,2,1,0.28,0.15,12.143449,12.353346,12.377198,12.433604,0.209897,-0.023852,-0.080258
23,3,1,0.28,0.15,12.027518,12.374035,12.218483,12.24463,0.346517,0.155552,0.129406
24,0,1,0.28,0.2,12.045582,12.222378,12.373421,12.346069,0.176796,-0.151043,-0.123691
24,1,1,0.28,0.2,12.203575,12.445354,12.238606,12.380372,0.241778,0.206748,0.064982
24,2,1,0.28,0.2,11.938382,12.086791,12.212575,12.376356,0.148409,-0.125784,-0.289564
24,3,1,0.28,0.2,11.991888,12.315948,12.390016,12.512642,0.324061,-0.074067,-0.196694
25,0,1,0.28,0.25,12.164466,12.212661,12.239243,12.336281,0.048195,-0.026583,-0.12362
