repeat_seed,sample,condition,psnr_db,mse
3,disk,common_path,14.343338,0.03678462
3,two_spots,common_path,14.206431,0.03796268
3,frame,common_path,9.86705,0.10310862
3,diamond,common_path,14.291214,0.03722876
3,corner_dots,common_path,14.557728,0.03501283
3,half_ring,common_path,16.198143,0.02399859
3,triple_bars,common_path,13.260572,0.04720009
3,offcenter_disk,common_path,13.575881,0.04389468
3,zigzag,common_path,10.954424,0.0802708
3,disk,noncommon_path,13.842072,0.04128505
3,two_spots,noncommon_path,13.941766,0.04034813
3,frame,noncommon_path,9.655189,0.10826326
3,diamond,noncommon_path,14.005004,0.03976487
3,corner_dots,noncommon_path,14.476739,0.03567189
3,half_ring,noncommon_path,15.887431,0.02577846
3,triple_bars,noncommon_path,13.079068,0.04921451
3,offcenter_disk,noncommon_path,12.975872,0.05039794
3,zigzag,noncommon_path,11.575627,0.06957245
3,disk,wrong_reference,13.676439,0.04289001
3,two_spots,wrong_reference,13.588034,0.04377202
3,frame,wrong_reference,9.591811,0.10985478
3,diamond,wrong_reference,14.235668,0.03770798
3,corner_dots,wrong_reference,14.419343,0.03614646
3,half_ring,wrong_reference,16.240818,0.02376393
3,triple_bars,wrong_reference,13.18212,0.04806047
3,offcenter_disk,wrong_reference,13.623986,0.04341116
3,zigzag,wrong_reference,11.451083,0.07159648
4,disk,ordinary,13.53372,0.04432288
4,two_spots,ordinary,13.42409,0.04545598
4,frame,ordinary,9.390718,0.11506102
4,diamond,ordinary,13.804656,0.04164227
4,corner_dots,ordinary,14.001645,0.03979564
4,half_ring,ordinary,15.947658,0.02542343
4,triple_bars,ordinary,13.070307,0.04931389
4,offcenter_disk,ordinary,12.596582,0.05499735
4,zigzag,ordinary,11.295951,0.07420017
4,disk,common_path,14.480704,0.03563933
4,two_spots,common_path,13.939153,0.04037241
4,frame,common_path,9.758441,0.10571969
4,diamond,common_path,14.490945,0.0355554
4,corner_dots,common_path,14.408882,0.03623362
4,half_ring,common_path,16.13965,0.024324
4,triple_bars,common_path,12.937512,0.05084507
4,offcenter_disk,common_path,13.761833,0.04205491
4,zigzag,common_path,11.411476,0.07225241
4,disk,noncommon_path,14.409319,0.03622998
4,two_spots,noncommon_path,14.029469,0.0395415
4,frame,noncommon_path,9.708621,0.10693945
4,diamond,noncommon_path,14.311506,0.03705522
4,corner_dots,noncommon_path,14.611653,0.03458077
4,half_ring,noncommon_path,16.233664,0.0238031
4,triple_bars,noncommon_path,12.852404,0.0518513
4,offcenter_disk,noncommon_path,13.187919,0.04799634
4,zigzag,noncommon_path,11.332838,0.07357262
4,disk,wrong_reference,14.403832,0.03627578
4,two_spots,wrong_reference,13.695065,0.04270645
4,frame,wrong_reference,9.622631,0.10907794
4,diamond,wrong_reference,14.466787,0.03575372
4,corner_dots,wrong_reference,14.420229,0.03613908
4,half_ring,wrong_reference,16.325448,0.02330533
4,triple_bars,wrong_reference,13.211258,0.0477391
4,offcenter_disk,wrong_reference,12.459989,0.0567546
4,zigzag,wrong_reference,11.950501,0.06381898
5,disk,ordinary,13.090349,0.04908684
5,two_spots,ordinary,13.230694,0.04752593
5,frame,ordinary,9.226935,0.11948311
5,diamond,ordinary,13.734687,0.0423186
5,corner_dots,ordinary,13.999635,0.03981406
5,half_ring,ordinary,15.755713,0.02657227
5,triple_bars,ordinary,13.102006,0.04895527
5,offcenter_disk,ordinary,12.926134,0.05097845
5,zigzag,ordinary,11.407967,0.07231082
5,disk,common_path,13.980005,0.03999443
5,two_spots,common_path,14.04609,0.03939045
5,frame,common_path,9.746351,0.10601441
5,diamond,common_path,14.552341,0.03505628
5,corner_dots,common_path,14.424341,0.03610488
5,half_ring,common_path,16.106221,0.02451195
5,triple_bars,common_path,13.008432,0.05002152
5,offcenter_disk,common_path,13.410931,0.04559392
5,zigzag,common_path,11.001343,0.07940826
5,disk,noncommon_path,13.938714,0.04037649
5,two_spots,noncommon_path,13.806589,0.04162374
5,frame,noncommon_path,9.774196,0.10533686
5,diamond,noncommon_path,14.660888,0.03419095
5,corner_dots,noncommon_path,14.424422,0.03610421
5,half_ring,noncommon_path,16.276639,0.02356873
5,triple_bars,noncommon_path,12.807239,0.05239334
5,offcenter_disk,noncommon_path,12.99829,0.05013846
5,zigzag,noncommon_path,11.163063,0.07650568
5,disk,wrong_reference,14.054599,0.03931335
5,two_spots,wrong_reference,13.485052,0.04482237
5,frame,wrong_reference,9.551974,0.11086708
5,diamond,wrong_reference,14.233218,0.03772925
5,corner_dots,wrong_reference,14.389324,0.03639717
5,half_ring,wrong_reference,16.148854,0.0242725
5,triple_bars,wrong_reference,13.324391,0.04651156
5,offcenter_disk,wrong_reference,13.036846,0.04969531
5,zigzag,wrong_reference,11.268129,0.07467704
6,disk,ordinary,12.975981,0.05039668
6,two_spots,ordinary,13.370214,0.04602339
6,frame,ordinary,9.287494,0.11782856
6,diamond,ordinary,13.821321,0.04148279
6,corner_dots,ordinary,13.937682,0.04038609
6,half_ring,ordinary,16.100211,0.0245459
6,triple_bars,ordinary,13.115495,0.04880345
6,offcenter_disk,ordinary,12.37153,0.05792246
6,zigzag,ordinary,11.206721,0.07574045
6,disk,common_path,13.948753,0.04028327
6,two_spots,common_path,13.924981,0.04050437
6,frame,common_path,9.841906,0.10370731
