config_id,repeat_seed,sample,reference_weight,phase_mix,input_phase_coupling,common_minus_wrongref_db,common_minus_ordinary_db
7,3,frame,0.18,0.16,0.9,0.003812,0.210672
7,3,two_spots,0.18,0.16,0.9,-0.200267,0.903323
7,4,frame,0.18,0.16,0.9,0.05885,-0.013389
7,4,two_spots,0.18,0.16,0.9,0.236883,0.718381
7,5,frame,0.18,0.16,0.9,0.028244,0.216936
7,5,two_spots,0.18,0.16,0.9,-0.144692,0.613518
7,6,frame,0.18,0.16,0.9,0.133567,0.053495
7,6,two_spots,0.18,0.16,0.9,-0.064867,0.736848
7,7,frame,0.18,0.16,0.9,-0.252664,0.04898
7,7,two_spots,0.18,0.16,0.9,-0.286378,0.519774
8,0,frame,0.18,0.16,1.0,0.044609,0.105786
8,0,two_spots,0.18,0.16,1.0,-0.258705,0.64622
8,1,frame,0.18,0.16,1.0,-0.207395,0.036884
8,1,two_spots,0.18,0.16,1.0,-0.269288,0.661847
8,2,frame,0.18,0.16,1.0,0.002098,0.137514
8,2,two_spots,0.18,0.16,1.0,-0.28,0.394399
8,3,frame,0.18,0.16,1.0,0.147629,0.221139
8,3,two_spots,0.18,0.16,1.0,0.025042,0.761798
8,4,frame,0.18,0.16,1.0,0.133938,0.19738
8,4,two_spots,0.18,0.16,1.0,0.122504,0.507974
8,5,frame,0.18,0.16,1.0,0.005544,0.146684
8,5,two_spots,0.18,0.16,1.0,-0.00038,0.875515
8,6,frame,0.18,0.16,1.0,-0.332873,-0.061132
8,6,two_spots,0.18,0.16,1.0,0.308763,0.982213
8,7,frame,0.18,0.16,1.0,-0.120536,0.06854
8,7,two_spots,0.18,0.16,1.0,-0.042485,0.755479
9,0,frame,0.18,0.16,1.1,-0.158414,0.049935
9,0,two_spots,0.18,0.16,1.1,0.094953,0.642563
9,1,frame,0.18,0.16,1.1,-0.341595,-0.077889
9,1,two_spots,0.18,0.16,1.1,0.041558,0.629678
9,2,frame,0.18,0.16,1.1,-0.280671,0.036588
9,2,two_spots,0.18,0.16,1.1,-0.038421,0.806093
9,3,frame,0.18,0.16,1.1,-0.244892,-0.063679
9,3,two_spots,0.18,0.16,1.1,-0.006149,0.806568
9,4,frame,0.18,0.16,1.1,-0.322229,-0.211715
9,4,two_spots,0.18,0.16,1.1,-0.19347,0.827075
9,5,frame,0.18,0.16,1.1,-0.142223,-0.058519
9,5,two_spots,0.18,0.16,1.1,0.228735,0.224615
9,6,frame,0.18,0.16,1.1,0.054372,-0.067524
9,6,two_spots,0.18,0.16,1.1,0.144584,0.851423
9,7,frame,0.18,0.16,1.1,0.06133,0.112176
9,7,two_spots,0.18,0.16,1.1,0.179779,0.8199
10,0,frame,0.2,0.16,0.9,0.051597,-0.11126
10,0,two_spots,0.2,0.16,0.9,-0.093526,0.623604
10,1,frame,0.2,0.16,0.9,-0.460344,-0.22819
10,1,two_spots,0.2,0.16,0.9,-0.030461,0.600452
10,2,frame,0.2,0.16,0.9,-0.08228,0.117238
10,2,two_spots,0.2,0.16,0.9,0.008809,0.708284
10,3,frame,0.2,0.16,0.9,-0.016781,-0.020156
10,3,two_spots,0.2,0.16,0.9,0.074245,0.792815
10,4,frame,0.2,0.16,0.9,0.084488,0.108142
10,4,two_spots,0.2,0.16,0.9,0.511456,0.912913
10,5,frame,0.2,0.16,0.9,-0.211227,-0.012247
10,5,two_spots,0.2,0.16,0.9,0.029101,0.529118
10,6,frame,0.2,0.16,0.9,-0.134784,-0.037627
10,6,two_spots,0.2,0.16,0.9,0.160253,0.742349
10,7,frame,0.2,0.16,0.9,0.116242,0.070704
10,7,two_spots,0.2,0.16,0.9,0.167352,0.628
11,0,frame,0.2,0.16,1.0,-0.121297,0.017369
