config_id,repeat_seed,num_layers,reference_weight,phase_mix,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
6,4,1,0.16,0.14,anti_phase_plus_decoy,12.014396,12.603435,12.330535,12.60518,0.589039,0.2729,-0.001745
6,5,1,0.16,0.14,anti_phase_plus_decoy,12.251253,12.30204,12.539429,12.671181,0.050787,-0.237389,-0.369141
6,6,1,0.16,0.14,anti_phase_plus_decoy,11.905499,12.213234,12.460354,12.606442,0.307735,-0.24712,-0.393208
6,7,1,0.16,0.14,anti_phase_plus_decoy,12.214301,12.455351,12.570412,12.41636,0.24105,-0.115061,0.038991
7,0,1,0.16,0.15,anti_phase_plus_decoy,12.081733,12.42864,12.554036,12.397493,0.346907,-0.125396,0.031147
7,1,1,0.16,0.15,anti_phase_plus_decoy,12.034163,12.453346,12.514216,12.610509,0.419183,-0.06087,-0.157163
7,2,1,0.16,0.15,anti_phase_plus_decoy,12.21074,12.635617,12.585358,12.462635,0.424877,0.050259,0.172981
7,3,1,0.16,0.15,anti_phase_plus_decoy,11.972402,12.518233,12.592664,12.480935,0.545831,-0.074432,0.037298
7,4,1,0.16,0.15,anti_phase_plus_decoy,12.122096,12.408183,12.558067,12.508447,0.286086,-0.149885,-0.100264
7,5,1,0.16,0.15,anti_phase_plus_decoy,12.159007,12.591691,12.592183,12.494811,0.432684,-0.000492,0.09688
7,6,1,0.16,0.15,anti_phase_plus_decoy,12.07287,12.536306,12.623379,12.525473,0.463436,-0.087073,0.010833
7,7,1,0.16,0.15,anti_phase_plus_decoy,12.166508,12.435499,12.53766,12.605728,0.268991,-0.102161,-0.170229
8,0,1,0.16,0.16,anti_phase_plus_decoy,11.810132,12.664293,12.468623,12.639894,0.854161,0.195671,0.024399
8,1,1,0.16,0.16,anti_phase_plus_decoy,12.020007,12.494531,12.400669,12.640171,0.474525,0.093862,-0.145639
8,2,1,0.16,0.16,anti_phase_plus_decoy,12.124893,12.468762,12.300712,12.468802,0.343868,0.168049,-4e-05
8,3,1,0.16,0.16,anti_phase_plus_decoy,12.080452,12.463338,12.482339,12.482176,0.382886,-0.019,-0.018838
8,4,1,0.16,0.16,anti_phase_plus_decoy,12.076692,12.430513,12.452966,12.327959,0.35382,-0.022453,0.102553
8,5,1,0.16,0.16,anti_phase_plus_decoy,11.970961,12.587445,12.59381,12.413369,0.616484,-0.006365,0.174076
8,6,1,0.16,0.16,anti_phase_plus_decoy,12.028298,12.275183,12.35186,12.608983,0.246885,-0.076677,-0.3338
8,7,1,0.16,0.16,anti_phase_plus_decoy,12.006945,12.754075,12.621547,12.532448,0.74713,0.132527,0.221627
9,0,1,0.16,0.17,anti_phase_plus_decoy,11.985513,12.441967,12.581388,12.425344,0.456454,-0.139421,0.016624
9,1,1,0.16,0.17,anti_phase_plus_decoy,12.129025,12.478569,12.463899,12.371897,0.349544,0.014669,0.106671
9,2,1,0.16,0.17,anti_phase_plus_decoy,12.127842,12.473651,12.65507,12.486975,0.345809,-0.181419,-0.013324
9,3,1,0.16,0.17,anti_phase_plus_decoy,11.98528,12.508277,12.140862,12.349692,0.522998,0.367415,0.158585
9,4,1,0.16,0.17,anti_phase_plus_decoy,12.040181,12.469212,12.391551,12.475379,0.42903,0.077661,-0.006168
9,5,1,0.16,0.17,anti_phase_plus_decoy,11.940429,12.614592,12.38697,12.359674,0.674163,0.227622,0.254918
9,6,1,0.16,0.17,anti_phase_plus_decoy,11.97192,12.621959,12.404001,12.50887,0.650038,0.217958,0.113089
9,7,1,0.16,0.17,anti_phase_plus_decoy,12.093314,12.597061,12.546635,12.422834,0.503747,0.050427,0.174228
10,0,1,0.16,0.18,anti_phase_plus_decoy,12.071534,12.536246,12.452127,12.70217,0.464712,0.084119,-0.165924
10,1,1,0.16,0.18,anti_phase_plus_decoy,12.088348,12.692718,12.415447,12.424763,0.60437,0.277271,0.267955
10,2,1,0.16,0.18,anti_phase_plus_decoy,12.122443,12.573967,12.562393,12.231286,0.451524,0.011574,0.342681
10,3,1,0.16,0.18,anti_phase_plus_decoy,11.985361,12.358714,12.392783,12.593952,0.373353,-0.034069,-0.235238
10,4,1,0.16,0.18,anti_phase_plus_decoy,11.956058,12.448649,12.435949,12.737515,0.492591,0.0127,-0.288865
10,5,1,0.16,0.18,anti_phase_plus_decoy,11.994068,12.421141,12.568611,12.402894,0.427073,-0.14747,0.018247
10,6,1,0.16,0.18,anti_phase_plus_decoy,12.098396,12.51607,12.336276,12.644937,0.417674,0.179794,-0.128867
10,7,1,0.16,0.18,anti_phase_plus_decoy,12.097363,12.568006,12.475047,12.664367,0.470643,0.092958,-0.096362
