repeat_seed,worst_sample_common_minus_wrongref_db,worst_sample
0,-0.1580320000000004,frame
1,-0.05399400000000121,frame
2,-0.09871599999999958,frame
3,-0.017540000000000333,two_spots
4,-0.05190800000000095,frame
5,0.017433999999999727,frame
6,-0.05446699999999893,two_spots
7,0.13130999999999915,two_spots
