config_id,phase_mix,wrongref_mode,repeat_count,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_ordinary_db_std,common_minus_noncommon_db_mean,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_db_std,ranking_score
1,0.18,anti_phase,10,0.409329,0.15133,0.150174,0.073361,0.067198,-0.102838,0.104193,0.136536
2,0.185,anti_phase,10,0.542549,0.398374,0.106432,0.068897,0.035177,-0.165459,0.135438,0.076353
8,0.215,anti_phase,10,0.462036,0.151614,0.174034,0.055828,0.073847,-0.197942,0.184112,0.046323
4,0.195,anti_phase,10,0.505449,0.311772,0.121891,0.049634,0.036541,-0.234874,0.170147,-0.01459
6,0.205,anti_phase,10,0.470484,0.173544,0.146996,0.01164,0.002612,-0.174929,0.143161,-0.031522
9,0.22,anti_phase,10,0.406099,0.168988,0.133133,-0.047572,-0.008007,-0.191103,0.120554,-0.086359
3,0.19,anti_phase,10,0.387956,0.021994,0.157007,-0.007519,-0.042519,-0.203638,0.105612,-0.145769
7,0.21,anti_phase,10,0.451282,0.145412,0.139011,0.02847,-0.064215,-0.259256,0.126253,-0.200971
5,0.2,anti_phase,10,0.416528,0.124816,0.155849,-0.059579,0.005835,-0.364832,0.150396,-0.218617
