config_id,split,sample,condition,num_layers,reference_weight,phase_mix,psnr_db,mse
3,train,box,common_path,1,0.2,0.55,11.525038,0.07038761
3,train,bars,common_path,1,0.2,0.55,12.21659,0.06002622
3,train,ring,common_path,1,0.2,0.55,11.556892,0.06987323
3,train,chevron,common_path,1,0.2,0.55,9.690502,0.10738652
3,train,cross,noncommon_path,1,0.2,0.55,12.804036,0.05243199
3,train,diag,noncommon_path,1,0.2,0.55,9.578018,0.11020421
3,train,box,noncommon_path,1,0.2,0.55,11.513224,0.07057934
3,train,bars,noncommon_path,1,0.2,0.55,12.368512,0.05796273
3,train,ring,noncommon_path,1,0.2,0.55,11.614055,0.06895957
3,train,chevron,noncommon_path,1,0.2,0.55,10.067066,0.0984676
3,train,cross,wrong_reference,1,0.2,0.55,12.54783,0.05561821
3,train,diag,wrong_reference,1,0.2,0.55,10.64568,0.08618507
3,train,box,wrong_reference,1,0.2,0.55,11.934009,0.06406179
3,train,bars,wrong_reference,1,0.2,0.55,12.413121,0.05737041
3,train,ring,wrong_reference,1,0.2,0.55,11.927612,0.06415623
3,train,chevron,wrong_reference,1,0.2,0.55,10.808781,0.08300837
3,ood,disk,ordinary,1,0.2,0.55,13.557032,0.0440856
3,ood,two_spots,ordinary,1,0.2,0.55,13.295856,0.04681816
3,ood,frame,ordinary,1,0.2,0.55,9.306372,0.11731751
3,ood,disk,common_path,1,0.2,0.55,13.840625,0.0412988
3,ood,two_spots,common_path,1,0.2,0.55,14.365103,0.03660072
3,ood,frame,common_path,1,0.2,0.55,9.4857,0.11257191
3,ood,disk,noncommon_path,1,0.2,0.55,13.911492,0.04063037
3,ood,two_spots,noncommon_path,1,0.2,0.55,13.726061,0.04240274
3,ood,frame,noncommon_path,1,0.2,0.55,9.411463,0.11451272
3,ood,disk,wrong_reference,1,0.2,0.55,14.269142,0.03741845
3,ood,two_spots,wrong_reference,1,0.2,0.55,14.144341,0.03850932
3,ood,frame,wrong_reference,1,0.2,0.55,9.564099,0.11055799
4,train,cross,ordinary,1,0.4,0.15,13.033467,0.04973398
4,train,diag,ordinary,1,0.4,0.15,12.74076,0.05320151
4,train,box,ordinary,1,0.4,0.15,11.980431,0.06338068
4,train,bars,ordinary,1,0.4,0.15,13.238939,0.04743579
4,train,ring,ordinary,1,0.4,0.15,13.765462,0.04201978
4,train,chevron,ordinary,1,0.4,0.15,13.57197,0.04393423
4,train,cross,common_path,1,0.4,0.15,11.526816,0.07035879
4,train,diag,common_path,1,0.4,0.15,8.315232,0.14739297
4,train,box,common_path,1,0.4,0.15,10.35887,0.09206891
4,train,bars,common_path,1,0.4,0.15,10.806474,0.08305248
4,train,ring,common_path,1,0.4,0.15,9.8392,0.10377195
4,train,chevron,common_path,1,0.4,0.15,9.194989,0.12036525
4,train,cross,noncommon_path,1,0.4,0.15,11.467422,0.07132763
4,train,diag,noncommon_path,1,0.4,0.15,7.125815,0.19382887
4,train,box,noncommon_path,1,0.4,0.15,10.193583,0.09564048
4,train,bars,noncommon_path,1,0.4,0.15,10.458281,0.08998538
4,train,ring,noncommon_path,1,0.4,0.15,9.978098,0.10050559
4,train,chevron,noncommon_path,1,0.4,0.15,8.126952,0.15392346
4,train,cross,wrong_reference,1,0.4,0.15,11.418456,0.07213639
4,train,diag,wrong_reference,1,0.4,0.15,9.655996,0.10824315
4,train,box,wrong_reference,1,0.4,0.15,10.986575,0.07967875
4,train,bars,wrong_reference,1,0.4,0.15,11.470513,0.07127688
4,train,ring,wrong_reference,1,0.4,0.15,10.792666,0.08331696
4,train,chevron,wrong_reference,1,0.4,0.15,9.573063,0.11033002
4,ood,disk,ordinary,1,0.4,0.15,13.548194,0.04417541
4,ood,two_spots,ordinary,1,0.4,0.15,13.268256,0.04711665
4,ood,frame,ordinary,1,0.4,0.15,9.287343,0.11783265
4,ood,disk,common_path,1,0.4,0.15,12.92279,0.05101772
4,ood,two_spots,common_path,1,0.4,0.15,13.913051,0.04061579
4,ood,frame,common_path,1,0.4,0.15,8.289451,0.14827054
4,ood,disk,noncommon_path,1,0.4,0.15,13.012321,0.04997674
4,ood,two_spots,noncommon_path,1,0.4,0.15,13.722605,0.04243649
4,ood,frame,noncommon_path,1,0.4,0.15,8.746233,0.13346785
4,ood,disk,wrong_reference,1,0.4,0.15,13.281009,0.0469785
4,ood,two_spots,wrong_reference,1,0.4,0.15,13.929641,0.04046094
4,ood,frame,wrong_reference,1,0.4,0.15,8.692702,0.13512316
5,train,cross,ordinary,1,0.4,0.35,13.030066,0.04977295
5,train,diag,ordinary,1,0.4,0.35,13.322472,0.04653211
5,train,box,ordinary,1,0.4,0.35,12.297973,0.05891186
5,train,bars,ordinary,1,0.4,0.35,13.302989,0.04674133
5,train,ring,ordinary,1,0.4,0.35,13.597153,0.04368021
5,train,chevron,ordinary,1,0.4,0.35,13.605466,0.04359668
5,train,cross,common_path,1,0.4,0.35,11.454969,0.07153246
5,train,diag,common_path,1,0.4,0.35,8.736881,0.13375558
5,train,box,common_path,1,0.4,0.35,10.102726,0.0976624
5,train,bars,common_path,1,0.4,0.35,10.146088,0.09669215
5,train,ring,common_path,1,0.4,0.35,9.520724,0.11166771
5,train,chevron,common_path,1,0.4,0.35,8.366718,0.14565593
5,train,cross,noncommon_path,1,0.4,0.35,11.727167,0.0671867
5,train,diag,noncommon_path,1,0.4,0.35,8.642309,0.13670017
5,train,box,noncommon_path,1,0.4,0.35,10.357124,0.09210594
5,train,bars,noncommon_path,1,0.4,0.35,10.971646,0.07995312
5,train,ring,noncommon_path,1,0.4,0.35,10.453316,0.09008831
5,train,chevron,noncommon_path,1,0.4,0.35,8.53393,0.1401545
5,train,cross,wrong_reference,1,0.4,0.35,11.414827,0.07219669
5,train,diag,wrong_reference,1,0.4,0.35,10.281082,0.09373285
5,train,box,wrong_reference,1,0.4,0.35,11.071147,0.07814215
5,train,bars,wrong_reference,1,0.4,0.35,10.951323,0.08032813
5,train,ring,wrong_reference,1,0.4,0.35,10.721417,0.08469511
5,train,chevron,wrong_reference,1,0.4,0.35,9.443091,0.1136818
5,ood,disk,ordinary,1,0.4,0.35,13.174594,0.04814383
5,ood,two_spots,ordinary,1,0.4,0.35,13.301866,0.04675342
5,ood,frame,ordinary,1,0.4,0.35,9.337615,0.11647655
5,ood,disk,common_path,1,0.4,0.35,12.905997,0.05121536
5,ood,two_spots,common_path,1,0.4,0.35,13.740193,0.04226498
5,ood,frame,common_path,1,0.4,0.35,8.272989,0.14883365
5,ood,disk,noncommon_path,1,0.4,0.35,13.028082,0.0497957
5,ood,two_spots,noncommon_path,1,0.4,0.35,13.649796,0.04315393
5,ood,frame,noncommon_path,1,0.4,0.35,8.806093,0.13164086
5,ood,disk,wrong_reference,1,0.4,0.35,13.136211,0.0485712
5,ood,two_spots,wrong_reference,1,0.4,0.35,14.031367,0.03952422
5,ood,frame,wrong_reference,1,0.4,0.35,9.179774,0.12078768
6,train,cross,ordinary,1,0.4,0.55,13.054533,0.04949333
6,train,diag,ordinary,1,0.4,0.55,13.784634,0.0418347
6,train,box,ordinary,1,0.4,0.55,12.184488,0.06047157
6,train,bars,ordinary,1,0.4,0.55,13.230108,0.04753234
