case_id,object_id,fixed_psnr_lowres,guided_psnr_lowres,pipeline_psnr_lowres,psnr_gain_over_fixed_lowres,psnr_gap_to_guided_lowres,dataset_name,dataset_version
0,Kodak-PCD0992:kodim01,26.761397083260086,28.203795996094097,9.642411100243923,-17.118985983016163,18.561384895850175,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim02,29.280019767186864,29.88855062261497,11.345987234243765,-17.9340325329431,18.542563388371207,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim03,23.729149713734806,25.041307899826077,9.132740903882144,-14.596408809852662,15.908566995943932,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim04,25.281016212952807,26.383786520111812,9.018938177179123,-16.262078035773683,17.36484834293269,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim05,26.228848875267026,27.30693974945074,10.779757306308893,-15.449091568958133,16.527182443141847,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim06,24.11596052223843,25.65806263156493,7.1507939700794045,-16.965166552159026,18.507268661485526,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim07,25.70490625102257,27.008338821399818,8.920047841534117,-16.784858409488454,18.0882909798657,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim08,21.605922750868988,23.16890919384299,8.288370906584436,-13.317551844284552,14.880538287258553,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim09,24.574931648663846,25.27960817232838,8.973578670079355,-15.60135297858449,16.306029502249025,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim10,25.72687137189792,26.765139198695927,8.914642725720732,-16.81222864617719,17.850496472975195,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim11,27.240342910415904,28.403698049288142,9.21680677960233,-18.023536130813575,19.186891269685812,Kodak-PCD0992,unrestricted public release
0,Kodak-PCD0992:kodim12,21.10153436555518,22.32987344444367,6.931982125144493,-14.169552240410688,15.397891319299177,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim01,27.7124921582196,29.682409064414674,9.664399555370276,-18.048092602849323,20.018009509044397,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim02,30.35935587138447,32.343297586571985,11.389481510734115,-18.969874360650355,20.95381607583787,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim03,24.337118845515402,26.774618967287324,9.128746763862647,-15.208372081652755,17.645872203424677,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim04,25.337556954253003,26.99160208672295,9.019615074489634,-16.317941879763367,17.971987012233313,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim05,26.000978698810616,27.550394077293667,10.794158887354016,-15.206819811456601,16.75623518993965,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim06,23.928953243300075,25.694395438934553,7.129181648047707,-16.799771595252366,18.565213790886844,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim07,26.55535453296903,28.741508288712645,8.919309404673207,-17.636045128295823,19.822198884039437,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim08,22.246608011468446,24.29950975889212,8.31318894439744,-13.933419067071005,15.98632081449468,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim09,24.682652435450997,26.401775612869343,8.970992149633016,-15.711660285817981,17.430783463236327,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim10,26.03509499288373,28.105843222831687,8.930509957153795,-17.104585035729936,19.175333265677892,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim11,27.487783962454735,29.31711556864469,9.203588546017627,-18.284195416437107,20.113527022627064,Kodak-PCD0992,unrestricted public release
1,Kodak-PCD0992:kodim12,21.386338698185973,23.349148388801552,6.932839234542828,-14.453499463643144,16.416309154258723,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim01,27.790705693646483,29.255724605137992,9.639014170323598,-18.151691523322885,19.616710434814394,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim02,30.289387467950792,31.573284968340346,11.366373524352255,-18.923013943598537,20.20691144398809,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim03,24.425261526855053,26.501137395701406,9.143447356718926,-15.281814170136126,17.35769003898248,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim04,25.74407117584066,27.74327771875894,9.008835416771717,-16.735235759068942,18.734442301987222,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim05,26.443905876364617,27.774560898774652,10.81489033427072,-15.629015542093898,16.95967056450393,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim06,24.750944971861657,26.669523251896724,7.167348439571027,-17.583596532290628,19.5021748123257,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim07,26.559553252123386,28.166234167689872,8.924490655443567,-17.63506259667982,19.241743512246305,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim08,22.555480965228018,24.600809583049752,8.315590155258137,-14.23989080996988,16.285219427791617,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim09,25.478038337231887,27.72758279886017,8.970808803384793,-16.507229533847095,18.756773995475378,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim10,26.215827707708286,27.83499323900633,8.948143340507853,-17.26768436720043,18.886849898498475,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim11,27.759583299293958,29.606766194447346,9.204618548346797,-18.55496475094716,20.40214764610055,Kodak-PCD0992,unrestricted public release
2,Kodak-PCD0992:kodim12,21.827796398423025,24.578390890476992,6.941857766634097,-14.885938631788928,17.636533123842895,Kodak-PCD0992,unrestricted public release
3,Kodak-PCD0992:kodim01,27.92063435081403,29.807045244556228,9.670259536330526,-18.250374814483504,20.136785708225702,Kodak-PCD0992,unrestricted public release
