method,mean_psnr_gain,std,95% CI,better_than_fixed_fraction
phase_only_stack,4.057109203555888,0.20317211571733923,"[3.931182, 4.183037]",0.7786458333333334
reference_psf_deconvolution,2.706126522114352,0.10155410566099389,"[2.643183, 2.769070]",1.0
parameter_matched_digital_surrogate,2.393125120053658,0.04170599352321386,"[2.367275, 2.418975]",0.75
spectral_frontend,1.8911871867656664,0.07491318897665385,"[1.844756, 1.937619]",0.74375
trainable_surrogate_ridge,1.3795402999315205,0.046283011234094285,"[1.350854, 1.408227]",0.7447916666666667
