metric,mean,std
fixed_psnr,24.283769156920396,5.455443969986981
guided_psnr,27.390960987736726,5.825669787404005
fixed_psnr_lowres,37.54116296199195,5.313903437366821
guided_psnr_lowres,34.91107586105247,5.919886484138953
surrogate_psnr_lowres,50.70302993140961,7.222049823460689
fixed_ssim,0.9751511554954947,0.01822730441323449
guided_ssim,0.9806973358751336,0.015636359593021825
fixed_ssim_lowres,0.997978113123573,0.0021158397240764546
guided_ssim_lowres,0.9924782814730899,0.007327206115855773
surrogate_ssim_lowres,0.9998377418781672,0.00025376398628413927
