k2_reduced,edge_spectral_weight_E0
0.0,0.11800580965632469
0.012345679012345678,0.11669515727618304
0.024691358024691357,0.11533893156293412
0.037037037037037035,0.11432725561872897
0.04938271604938271,0.11363472518286995
0.06172839506172839,0.11317482475402135
0.07407407407407407,0.1126926595052839
0.08641975308641975,0.11184184969683685
0.09876543209876543,0.11027492752354508
0.1111111111111111,0.10748304116381845
0.12345679012345678,0.10420107830455744
0.13580246913580246,0.10872276694020644
0.14814814814814814,0.12210668314075318
0.16049382716049382,0.03237802692242881
0.1728395061728395,0.004599984689469002
0.18518518518518517,-0.1044973752247011
0.19753086419753085,-0.006150495372106031
0.20987654320987653,-0.05204850918368044
0.2222222222222222,-0.07163987500791603
0.2345679012345679,-0.0443043684514311
0.24691358024691357,-0.04769154072123981
0.25925925925925924,-0.04752882529971553
0.2716049382716049,-0.04436073405707626
0.2839506172839506,-0.03820927773694405
0.2962962962962963,-0.03198823393305715
0.30864197530864196,-0.02809128480219701
0.32098765432098764,-0.037653752138732344
0.3333333333333333,-0.1786766891544099
0.345679012345679,0.05280152292042805
0.35802469135802467,0.050525701549093145
0.37037037037037035,0.04650532090892435
0.38271604938271603,0.0414542854000189
0.3950617283950617,0.036057342040620874
0.4074074074074074,0.03057376919652516
0.41975308641975306,0.025007287688460295
0.43209876543209874,0.01922368539990405
0.4444444444444444,0.013014271958423475
0.4567901234567901,0.006210443378779987
0.4691358024691358,-0.0009736172388930673
0.48148148148148145,-0.007597463794566383
0.49382716049382713,-0.012794985472440954
0.5061728395061729,-0.01667088927447277
0.5185185185185185,-0.01973001249317138
0.5308641975308641,-0.023646030215579088
0.5432098765432098,0.04824316458967672
0.5555555555555556,0.04487905203563664
0.5679012345679012,0.043167823128609124
0.5802469135802468,0.042562949373960095
0.5925925925925926,0.042931817887031716
0.6049382716049383,0.04420782153952247
0.6172839506172839,0.046378911802961456
0.6296296296296295,0.04946252903292869
0.6419753086419753,0.053465875409692415
0.654320987654321,0.0583134643182158
0.6666666666666666,0.06372677249925938
0.6790123456790123,0.06910143991950295
0.691358024691358,0.07362343930349777
0.7037037037037037,0.0768639208529732
0.7160493827160493,0.07919207691067308
0.728395061728395,0.08132473853252299
0.7407407407407407,0.08381916464208262
0.7530864197530864,0.07311779396222823
0.7654320987654321,-0.0038151988843549427
0.7777777777777777,0.003172773724345617
0.7901234567901234,0.00967131702948115
0.8024691358024691,0.016007880849440315
0.8148148148148148,0.02235541034727299
0.8271604938271604,0.028818301263839274
0.8395061728395061,0.03542815211031842
0.8518518518518519,0.042127540703303615
0.8641975308641975,0.04875162806840248
0.8765432098765431,0.05502340956589759
0.8888888888888888,0.060581281240007306
0.9012345679012346,0.06432864652914085
0.9135802469135802,-0.05559439311539771
0.9259259259259258,0.051626220286135394
0.9382716049382716,0.1586962743518441
0.9506172839506173,0.029047686460651936
0.9629629629629629,0.02698926695822813
0.9753086419753085,0.028764940164633733
0.9876543209876543,0.02948538195199286
