label,point_index,source_1,source_2,source_3,reconstructed_1,reconstructed_2,reconstructed_3,delta_1,delta_2,delta_3
Gamma_start,0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734,3.552713678800501e-15,-3.552713678800501e-15,-7.105427357601002e-15
K_B,150,11.53398272275912,-32.75359526973187,-50.60036279610351,-1.1105265718357271,-11.511974922187123,-58.99145110305834,-12.644509294594847,21.241620347544746,-8.391088306954828
M,300,10.02827159563746,-16.4313182156091,-64.66958981124654,2.679737641744778,-17.52238674680272,-56.229987326160355,-7.348533953892682,-1.0910685311936206,8.439602485086183
K_T,450,11.44324828450197,-32.63846976202326,-50.6417433171965,6.170940162999025,-11.511988478052134,-66.27291043126779,-5.272308121502944,21.12648128397113,-15.631167114071289
Gamma_end,599,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.12756911421959,-23.768223592276097,-36.52448661249759,0.018476238953141433,-0.01822359227608672,0.0015587406751365052
