sample,repeat_count,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_db_q25,common_minus_wrongref_db_median,common_minus_wrongref_positive_rate,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,common_minus_noncommon_db_mean,wrongref_minus_ordinary_db_mean,wrongref_beats_common_count,noncommon_beats_common_count
frame,8,0.033574,-0.158032,-0.065174,-0.017237,0.5,0.15802,-0.004599,0.04135,0.124446,4,3
two_spots,8,0.072345,-0.054467,-0.022208,0.012339,0.625,0.772486,0.614746,0.116719,0.700142,3,2
