metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,17.40447784556163,0.24521894915704956,0.27749136356019066,3
mean_guided_psnr_lowres,19.967260919723042,0.24938037285999404,0.2822004577866005,3
mean_phaseonly_psnr_lowres,14.149859001945794,0.16698012989776517,0.18895580497375508,3
mean_phaseonly_psnr_gain_over_fixed_lowres,-3.2546188436158343,0.41125854009255275,0.46538284850477696,3
mean_phaseonly_psnr_gap_to_guided_lowres,5.817401917777247,0.40035706546572725,0.45304666865646825,3
mean_fixed_ssim_lowres,0.8323536574272588,0.010102741277911565,0.011432327976856558,3
mean_guided_ssim_lowres,0.904725049492093,0.006591731012662371,0.007459245842189001,3
mean_phaseonly_ssim_lowres,0.7189658670042064,0.013541108790498545,0.015323207098427872,3
mean_phaseonly_ssim_gain_over_fixed_lowres,-0.11338779042305229,0.023348356295782493,0.02642115239331042,3
phaseonly_better_than_fixed_fraction,0.010416666666666666,0.018042195912175808,0.02041666666666667,3
