case,phi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
impurity_mimic,0.47123889803846897,-0.2,8.680715883633284e-08,7.037138269302886e-08,1.6435776143303983e-08,1.9793604108897378,2.128577012502232,0.20811140318584082,0.20847452939471045,0.22875100873187923,0.07989753332825486
impurity_mimic,0.47123889803846897,-0.19,7.053384971603119e-08,5.791854275951485e-08,1.2615306956516332e-08,1.992952469929071,2.1233449882737068,0.19158589532426823,0.19186342155630612,0.19863343801050382,0.06851844589790648
impurity_mimic,0.47123889803846897,-0.18000000000000002,5.9138540128307356e-08,4.9100656465093774e-08,1.0037883663213582e-08,2.004390363835084,2.11881589684324,0.17764389710259249,0.17785938757043018,0.17325354330539228,0.05904350076507413
impurity_mimic,0.47123889803846897,-0.17,5.111331816374292e-08,4.282121354611769e-08,8.29210461762523e-09,2.0140947595654297,2.1148488739254834,0.16580844553652385,0.1659781520944564,0.15171369426319858,0.0511292864610772
impurity_mimic,0.47123889803846897,-0.16,4.5510280737175234e-08,3.8383318384155305e-08,7.126962353019929e-09,2.022393968623992,2.1113350628140233,0.1557070639598548,0.1558423527186195,0.1333131024628257,0.04450729703155878
impurity_mimic,0.47123889803846897,-0.15000000000000002,4.173365841303941e-08,3.534268226191385e-08,6.39097615112556e-09,2.029546127598491,2.108189362402409,0.14704683044549194,0.14715574341722587,0.11750070923797695,0.038966387405793015
impurity_mimic,0.47123889803846897,-0.14,3.9421812226388356e-08,3.3422928358718206e-08,5.998883867670149e-09,2.03575581146212,2.1053444204913228,0.13959573620990548,0.13968400627841765,0.10383993074666895,0.03433959178597865
impurity_mimic,0.47123889803846897,-0.13,3.8383028572565145e-08,3.2467873914672207e-08,5.915154657892938e-09,2.0411864706324097,2.102746236305369,0.1331687508041059,0.13324046450466043,0.0919822860868511,0.03049423411444649
impurity_mimic,0.47123889803846897,-0.12000000000000001,3.8567698545659036e-08,3.2417890765278476e-08,6.14980778038056e-09,2.045969771710695,2.1003509130385587,0.12761737536877502,0.12767540163659777,0.08164760980788785,0.027324494747846824
impurity_mimic,0.47123889803846897,-0.11000000000000001,4.00716740688129e-08,3.330497221764259e-08,6.7667018511703104e-09,2.0502126523466746,2.0981222321541657,0.12282177592409498,0.12286803014516641,0.07260913034412234,0.024745804757702675
impurity_mimic,0.47123889803846897,-0.1,4.317737995859377e-08,3.526712525743184e-08,7.910254701161933e-09,2.0540026900630077,2.0960298137247633,0.11868483150422598,0.11872040956535651,0.06468214935147308,0.022690603750847988
impurity_mimic,0.47123889803846897,-0.09000000000000001,4.8458101321884324e-08,3.859019446644501e-08,9.867906855439315e-09,2.0574122292836585,2.094047689451656,0.11512761575986717,0.1151528013982436,0.05771539634411553,0.021105121814494414
impurity_mimic,0.47123889803846897,-0.08000000000000002,5.7013590006386296e-08,4.379936653963261e-08,1.3214223466753684e-08,2.0605016027669945,2.092153151699466,0.11208597135388937,0.1121000775831904,0.051584381801118386,0.019946939097947557
impurity_mimic,0.47123889803846897,-0.07,7.102314626562004e-08,5.18568995669062e-08,1.9166246698713845e-08,2.063321721852267,2.0903257492882865,0.10950795527543307,0.10950887587486244,0.04618625258941278,0.019183145752822865
impurity_mimic,0.47123889803846897,-0.06,9.518478102429463e-08,6.462162968508768e-08,3.056315133920694e-08,2.0659163158877787,2.088546252077705,0.10735207047380282,0.10733519822878564,0.04143578514917503,0.018788976714231936
impurity_mimic,0.47123889803846897,-0.05000000000000002,1.4110479822069076e-07,8.607087740614479e-08,5.503392081454597e-08,2.0683242855426966,2.0867951849092083,0.1055864835691461,0.10554195954244056,0.03726225306037007,0.018746829667152708
impurity_mimic,0.47123889803846897,-0.04000000000000001,2.443112737551223e-07,1.2635318414416186e-07,1.1795808961096045e-07,2.0705835681602203,2.085049554913095,0.10419046906407597,0.10409498412559676,0.0336070188619452,0.019045547170591197
impurity_mimic,0.47123889803846897,-0.03,5.626429135044046e-07,2.217760253638095e-07,3.408668881405951e-07,2.0727436273148294,2.0832705282557904,0.10316540764534715,0.10294948864888628,0.030422121197405685,0.019679301259983857
impurity_mimic,0.47123889803846897,-0.020000000000000018,2.75298555779608e-06,6.825680411610544e-07,2.0704175166350254e-06,2.0749599862994925,2.08130316846228,0.1026339451825739,0.10193744606664007,0.02767602930059802,0.02063634802187681
impurity_mimic,0.47123889803846897,-0.010000000000000009,3.19723152591534e-05,6.406606372574214e-06,2.5565708886579188e-05,2.074764892170698,2.0810160848332235,0.09996563476941721,0.10321093122884933,0.025226308307606225,0.022220412104512352
impurity_mimic,0.47123889803846897,0.0,1.6002899774251827e-06,2.013431799715359e-06,-4.1314182229017633e-07,2.077831298368518,2.078336253735017,0.1010137702031591,0.10229938235798088,0.023182058692818766,0.0239627154811415
impurity_mimic,0.47123889803846897,0.009999999999999981,9.131883931417387e-06,4.76277985285113e-05,-3.849591459709392e-05,2.079072442195882,2.0751547734073306,0.09996563476941714,0.10321093122884939,0.020854696658937653,0.028017661906921523
impurity_mimic,0.47123889803846897,0.01999999999999999,8.770294347386735e-07,4.275982822764733e-06,-3.3989533880260593e-06,2.0818137122507525,2.075018248883776,0.10263394518257393,0.10193744606664001,0.020816833978433414,0.026915798229476325
impurity_mimic,0.47123889803846897,0.03,2.432243311803547e-07,8.969166782872374e-07,-6.536923471068827e-07,2.0834643202830194,2.072849276763918,0.1031654076453472,0.10294948864888621,0.01970043366998112,0.030099558192621174
impurity_mimic,0.47123889803846897,0.03999999999999998,1.3162493851009624e-07,3.9946545684527874e-07,-2.678405183351825e-07,2.085153054320553,2.070690159890009,0.10419046906407603,0.10409498412559659,0.019037146903004898,0.03340455639506926
impurity_mimic,0.47123889803846897,0.04999999999999999,8.88947039920427e-08,2.3699274031363194e-07,-1.4809803632158925e-07,2.086855962230982,2.0684275602656688,0.10558648356914607,0.10554195954244056,0.01873037324012798,0.03711425117873558
impurity_mimic,0.47123889803846897,0.06,6.745256510734345e-08,1.6446657919491527e-07,-9.701401408757182e-08,2.0885816375134043,2.066016465060425,0.1073520704738028,0.10733519822878552,0.018770335946384987,0.041318636154346805
impurity_mimic,0.47123889803846897,0.07,5.52608930630192e-08,1.2640679479515495e-07,-7.114590173213575e-08,2.0903437101065174,2.063419633474948,0.10950795527543296,0.1095088758748626,0.019164174023013993,0.046089171254012753
impurity_mimic,0.47123889803846897,0.08000000000000002,4.7941260515383135e-08,1.0462570169544084e-07,-5.66844411800577e-08,2.0921577817684582,2.0605981949118037,0.11208597135388938,0.11210007758319047,0.019928132900989666,0.05150182598694519
impurity_mimic,0.47123889803846897,0.08999999999999997,4.356261525425926e-08,9.175957692566899e-08,-4.8196961671409734e-08,2.0940411474522764,2.0575083137480132,0.11512761575986719,0.11515280139824344,0.02108642011062911,0.05764443945326866
impurity_mimic,0.47123889803846897,0.09999999999999998,4.11802338319488e-08,8.441615876972908e-08,-4.323592493778028e-08,2.0960131317709383,2.0540989459853405,0.11868483150422594,0.11872040956535648,0.02267165649736247,0.06462142034409096
impurity_mimic,0.47123889803846897,0.10999999999999999,4.0319324153005467e-08,8.092536076200822e-08,-4.060603660900275e-08,2.098095681890033,2.050309615641449,0.12282177592409486,0.12286803014516637,0.02472605342802539,0.07255837389768106
impurity_mimic,0.47123889803846897,0.12,4.0766021920726725e-08,8.047869191486213e-08,-3.971266999413541e-08,2.1003141665989533,2.046067812897067,0.12761737536877502,0.12767540163659774,0.02730316905715187,0.08160754902686124
impurity_mimic,0.47123889803846897,0.13,4.247924977442814e-08,8.277065372956642e-08,-4.0291403955138286e-08,2.1026984138724556,2.0412857476994484,0.13316875080410595,0.13324046450466048,0.03047029664024644,0.09195467651380823
impurity_mimic,0.47123889803846897,0.14,4.555982095619546e-08,8.785292251756591e-08,-4.229310156137045e-08,2.1052840597306326,2.0358561842757514,0.1395957362099054,0.1396840062784177,0.034311634186170996,0.10382777970956406
impurity_mimic,0.47123889803846897,0.15000000000000002,5.0254451281697075e-08,9.609807119456255e-08,-4.584361991286548e-08,2.108114318347372,2.0296470139844027,0.14704683044549208,0.14715574341722587,0.038932466254499906,0.11750868358920315
impurity_mimic,0.47123889803846897,0.15999999999999998,5.698984684143726e-08,1.0823890730935967e-07,-5.124906046792241e-08,2.1112423298513536,2.0224941101831453,0.15570706395985479,0.15584235271861926,0.04446468285944066,0.13334819128641373
impurity_mimic,0.47123889803846897,0.16999999999999998,6.644290787549842e-08,1.254831773954586e-07,-5.904026951996019e-08,2.114734305977534,2.0141918449918395,0.16580844553652396,0.16597815209445624,0.05107408051872084,0.1517862480623476
impurity_mimic,0.47123889803846897,0.18,7.966436587107173e-08,1.4972910976591104e-07,-7.006474389483931e-08,2.1186737823911916,2.004480423787387,0.17764389710259237,0.17785938757043016,0.05897004464665677,0.1733788937182994
impurity_mimic,0.47123889803846897,0.19,9.829013837121175e-08,1.8393932774543914e-07,-8.564918937422739e-08,2.1231674082081873,1.9930289012354014,0.1915858953242684,0.19186342155630587,0.06841840146689185,0.1988344346717153
impurity_mimic,0.47123889803846897,0.2,1.2490476858521816e-07,2.3278343444562031e-07,-1.0787866586040216e-07,2.1283528635896434,1.9794123937567663,0.208111403185841,0.20847452939471078,0.07975843171753202,0.22906202775927859
impurity_mimic,0.5969026041820606,-0.2,6.008337456858207e-07,3.320882471955063e-07,2.687454984903144e-07,1.8624159083083496,2.185605906203567,0.34886920258887916,0.3505280335948421,0.48645356302602794,0.16492239613677384
impurity_mimic,0.5969026041820606,-0.19,4.3087942199253676e-07,2.2473399750470336e-07,2.061454244878334e-07,1.8969303672906659,2.171065025762958,0.3070441008406889,0.30820424065316876,0.41011393969544735,0.1371394210356351
impurity_mimic,0.5969026041820606,-0.18000000000000002,3.212579641249508e-07,1.5885590405918942e-07,1.6240206006576137e-07,1.9250593928933342,2.159026904876998,0.2730328087010414,0.2738582461824671,0.3479735782097675,0.11483150370752924
impurity_mimic,0.5969026041820606,-0.17,2.4881984020329736e-07,1.1723829997646283e-07,1.3158154022683452e-07,1.948129106602981,2.148955224620723,0.2452294155641363,0.24582780633857554,0.2971004405426955,0.09687271329939297
impurity_mimic,0.5969026041820606,-0.16,2.0000759773618605e-07,9.028993188933287e-08,1.0971766584685318e-07,1.9671990848559324,2.140428674908662,0.22235858583900137,0.2228008176782138,0.2551596107007349,0.08237225248721738
impurity_mimic,0.5969026041820606,-0.15000000000000002,1.6672120125623405e-07,7.253089254286881e-08,9.419030871336524e-08,1.9830994638395334,2.1331207582290066,0.2034257688574595,0.20375896260817972,0.22032639920823474,0.0706382985694822
impurity_mimic,0.5969026041820606,-0.14,1.4404056711368374e-07,6.075930932576107e-08,8.328125778792267e-08,1.9964761080661053,2.1267790236385844,0.1876603801590752,0.18791626168379524,0.19118435537422762,0.061137321326468624
impurity_mimic,0.5969026041820606,-0.13,1.2895942768081287e-07,5.30779480733244e-08,7.588147960748846e-08,2.0078314821721044,2.121207458786325,0.17446551953432474,0.17466576072116458,0.16663411324369953,0.05345837781631919
impurity_mimic,0.5969026041820606,-0.12000000000000001,1.1967921711199233e-07,4.8370266775026783e-08,7.130895033696555e-08,2.0175579984518706,2.11625262934016,0.16337743344801545,0.16353706569499252,0.1458195063050953,0.047284507663783046
impurity_mimic,0.5969026041820606,-0.11000000000000001,1.1522632828876493e-07,4.602036654634901e-08,6.920596174241592e-08,2.025964010654366,2.111793114255892,0.15403417472358202,0.15416378754413745,0.12807023327517797,0.04237074249420733
impurity_mimic,0.5969026041820606,-0.1,1.1527539800266264e-07,4.5775927557757325e-08,6.949947044490532e-08,2.0332936587048187,2.1077315511348407,0.14615184203057316,0.14625901507631459,0.11285825282522485,0.03852753344094478
impurity_mimic,0.5969026041820606,-0.09000000000000001,1.2013673174270863e-07,4.7711662847407556e-08,7.242506889530106e-08,2.039741900045729,2.103988648906258,0.13950671591523903,0.13959696433720153,0.09976488829457893,0.035608387856012544
impurity_mimic,0.5969026041820606,-0.08000000000000002,1.3093481304314742e-07,5.22942766810198e-08,7.864053636212762e-08,2.045465897037542,2.1004986377905484,0.13392186069619852,0.13399926928883246,0.08845604229919324,0.03350071013882068
impurity_mimic,0.5969026041820606,-0.07,1.5011476192987295e-07,6.060734909764424e-08,8.950741283222871e-08,2.050593706938233,2.0972057298323534,0.12925706918565683,0.12932472695047148,0.07866345175483679,0.03211908662553128
impurity_mimic,0.5969026041820606,-0.06,1.826800405361216e-07,7.492456171181396e-08,1.0775547882430764e-07,2.055231037274479,2.0940612187851384,0.12540129941227623,0.12546160866866943,0.07017036989327595,0.03140049763900995
impurity_mimic,0.5969026041820606,-0.05000000000000002,2.393804384771784e-07,1.0021558212803037e-07,1.3916485634914804e-07,2.059466747006339,2.0910207986261558,0.12226696361085007,0.12232188040104222,0.06280035576936746,0.03130122093974291
impurity_mimic,0.5969026041820606,-0.04000000000000001,3.4610034298827265e-07,1.4865858881523072e-07,1.9744175417304193e-07,2.0633779371924796,2.0880413223212715,0.11978556406906193,0.11983683719839745,0.05640782431833614,0.03179571231888009
impurity_mimic,0.5969026041820606,-0.03,5.780424722948347e-07,2.564327611332492e-07,3.216097111615855e-07,2.067036521802403,2.085074583515441,0.11790413607015121,0.11795371726244713,0.050867935877459185,0.03287945535671717
