case,phi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
dot_mimic,0.47123889803846897,-0.2,6.103119341429253e-08,4.6764207520134595e-08,1.426698589415794e-08,1.9633420801042074,2.1285331454538103,0.027810707629764536,0.2084926602024088,0.06446864179254297,0.07995952901558442
dot_mimic,0.47123889803846897,-0.19,4.912496005532705e-08,3.818543913515324e-08,1.0939520920173815e-08,1.9611008179466747,2.1233109929788974,0.029913766941949204,0.191884924677734,0.06881295993479547,0.06857394263835756
dot_mimic,0.47123889803846897,-0.18000000000000002,4.063612074609183e-08,3.2086262514718434e-08,8.549858231373397e-09,1.9586985898241898,2.118790226286024,0.032396143637631436,0.17788237868015835,0.0736975623632998,0.05909216094399248
dot_mimic,0.47123889803846897,-0.17,3.4517853655077515e-08,2.7730154326958242e-08,6.787699328119273e-09,1.9561056551164067,2.1148303724611477,0.03534121928082593,0.16600160635307465,0.07923557095211864,0.051171240679626154
dot_mimic,0.47123889803846897,-0.16,3.009257113679115e-08,2.4641004644883217e-08,5.451566491907934e-09,1.95328683125504,2.111322890116064,0.038858078053092895,0.15586575667840186,0.08557125224961942,0.04454287201390456
dot_mimic,0.47123889803846897,-0.15000000000000002,2.691661600057566e-08,2.2510749429746168e-08,4.405866570829493e-09,1.9502000068619747,2.1081829412298085,0.04309112430548452,0.14717889406840748,0.09289112184937634,0.038995957244465695
dot_mimic,0.47123889803846897,-0.14,2.469952072690058e-08,2.11445416273649e-08,3.5549790995356797e-09,1.9467942838030876,2.1053434043322987,0.048234166710237475,0.13970689670541442,0.10143988646212884,0.0343634959280945
dot_mimic,0.47123889803846897,-0.13,2.3255560321284966e-08,2.0428907516846214e-08,2.8266528044387517e-09,1.9430076795488507,2.102750495014667,0.05455142120883583,0.1332632224114976,0.11154374448663798,0.03051273022348363
dot_mimic,0.47123889803846897,-0.12000000000000001,2.2475285096791397e-08,2.0315113316432755e-08,2.160171780358642e-09,1.9387643752328152,2.1003605369527905,0.06240946013816723,0.12769826270566448,0.12364508706552396,0.027337727913046055
dot_mimic,0.47123889803846897,-0.11000000000000001,2.2310336246302858e-08,2.081416819664528e-08,1.4961680496575774e-09,1.9339716700364156,2.098137558329365,0.07232685664118126,0.12289133829939664,0.13835518810093375,0.02475378146619988
dot_mimic,0.47123889803846897,-0.1,2.2768240106436532e-08,2.2003080215906254e-08,7.651598905302778e-10,1.9285172888977586,2.096051482977783,0.08505304954494136,0.11874464438283308,0.15653576141234266,0.022693162170210023
dot_mimic,0.47123889803846897,-0.09000000000000001,2.391616050536604e-08,2.4045383975110534e-08,-1.2922346974449347e-10,1.9222689700178752,2.094076752187664,0.10169639718784342,0.1151786427601656,0.1794274270407449,0.021101890443278537
dot_mimic,0.47123889803846897,-0.08000000000000002,2.5894245064572143e-08,2.7234058316226357e-08,-1.339813251654214e-09,1.9150815777457153,2.0921912597925467,0.12393614476352634,0.11212853514186052,0.2088545656779977,0.019937274009500478
dot_mimic,0.47123889803846897,-0.07,2.8939801757273517e-08,3.207431330962697e-08,-3.1345115523534515e-09,1.9068256303262854,2.0903755158167856,0.15437730966744553,0.10954155105691643,0.24755167620664859,0.019166032105619173
dot_mimic,0.47123889803846897,-0.06,3.341972413942976e-08,3.94424203700999e-08,-6.022696230670143e-09,1.8974738296591112,2.088611976806174,0.1971392753688921,0.10737485543306571,0.29966543968708464,0.018762872604195555
dot_mimic,0.47123889803846897,-0.05000000000000002,3.9845468810178075e-08,5.089477178251365e-08,-1.1049302972335576e-08,1.8873414737911955,2.0868844969165408,0.25876823190179576,0.10559393273971684,0.3714267470612974,0.018709424773873128
dot_mimic,0.47123889803846897,-0.04000000000000001,4.8741819102288095e-08,6.92774469918734e-08,-2.053562788958531e-08,1.8777225202327534,2.0851778647857517,0.3492998664561418,0.10417134237028561,0.4715773256877605,0.01899345704890605
dot_mimic,0.47123889803846897,-0.03,5.982440523863648e-08,9.996284209911252e-08,-4.013843686047604e-08,1.8724371136335558,2.0834773979852335,0.48175443307616256,0.1030857676957478,0.60931727930417,0.01960832957207799
dot_mimic,0.47123889803846897,-0.020000000000000018,6.843484354478359e-08,1.5415730160500165e-07,-8.572245806021806e-08,1.8807117641543898,2.081768566757926,0.6623948066026414,0.10232130162024679,0.7816829567257938,0.020552649139862614
dot_mimic,0.47123889803846897,-0.010000000000000009,5.305139153123097e-08,2.759520294297192e-07,-2.2290063789848824e-07,1.9180732960199136,2.080036567287206,0.8530801142104668,0.10186692253836102,0.9350065952899153,0.021830132350517614
dot_mimic,0.47123889803846897,0.0,1.911858466248733e-06,2.0238965626252825e-06,-1.1203809637654941e-07,2.0049217896848748,2.078265736516539,0.630850170390308,0.10171529844089139,0.6259282686673365,0.02344944988625596
dot_mimic,0.47123889803846897,0.009999999999999981,2.733634672549205e-07,6.10774432935705e-08,2.1228602396134997e-07,2.0507566175936094,2.0764434392546476,0.8530801142104689,0.10186692253836103,0.8023237089028838,0.02542369556973783
dot_mimic,0.47123889803846897,0.01999999999999999,1.5693715012175915e-07,7.793457026557948e-08,7.900257985617966e-08,2.08943580321332,2.0745475997673095,0.6623948066026443,0.10232130162024689,0.572959082391904,0.02777378085551711
dot_mimic,0.47123889803846897,0.03,1.0469420612989934e-07,6.970448548348958e-08,3.4989720646409754e-08,2.099323374875356,2.07256149723769,0.48175443307616206,0.10308576769574773,0.38243109319052704,0.03052430544777842
dot_mimic,0.47123889803846897,0.03999999999999998,7.468896900328388e-08,5.8388515380198555e-08,1.630045362308532e-08,2.0952346462607343,2.0704639891001215,0.3492998664561426,0.10417134237028554,0.2540652364958616,0.03370736957061757
dot_mimic,0.47123889803846897,0.04999999999999999,5.6498599940076535e-08,4.9155108132524036e-08,7.343491807552499e-09,2.086413096178646,2.068231346487063,0.25876823190179477,0.10559393273971694,0.17235514306664082,0.03736259359614612
dot_mimic,0.47123889803846897,0.06,4.508979436557809e-08,4.249388969815028e-08,2.595904667427811e-09,2.076793333520896,2.065836528251266,0.19713927536889125,0.10737485543306566,0.12034594444389994,0.04153832977770471
dot_mimic,0.47123889803846897,0.07,3.776026112046953e-08,3.7949179340006005e-08,-1.8891821953647708e-10,2.067762025698119,2.0632483703908626,0.15437730966744517,0.10954155105691635,0.08661528378040799,0.046293180477135314
