disorder_strength,seed,phi,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
0.0,0,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,1,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,2,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,3,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,4,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,5,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,6,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,7,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,8,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,9,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,10,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
0.0,11,2.356194490192345,0.1940534455321673,0.2555977836802701,-0.061544338148102784,1.8757366031486662,1.8581932873460094,0.2480224117469761,0.25615506804780314,0.31074147045020717,0.33641744255369105
1.0,0,2.356194490192345,0.17212028119431044,0.20822606921502512,-0.03610578802071468,1.9385240474510659,1.9464456090852527,0.08407339714237654,0.08992016202875999,0.10944356167059627,0.10736876492279254
1.0,1,2.356194490192345,0.15788827344266046,0.22119429443694,-0.06330602099427954,1.5539285551843476,1.9164751863891685,0.3201122280128843,0.28743241778808304,0.7028776518342572,0.30765121040463506
1.0,2,2.356194490192345,0.10864047788053623,0.12713791921170903,-0.0184974413311728,1.9709016616864006,1.9258623510756363,0.02224541787551622,0.026827678830187385,0.032846314857942836,0.082467886423378
1.0,3,2.356194490192345,0.17268086591946688,0.21184334316878878,-0.0391624772493219,1.937403149982895,1.4735551064090702,0.10220141780569555,0.11301829923577983,0.12563579057347876,0.6003007155773878
1.0,4,2.356194490192345,0.1949081995128719,0.25285814916515603,-0.057949949652284144,1.9033671084504857,1.854381300770413,0.21309544251661675,0.227664922046096,0.25177838441384676,0.3153336716233987
1.0,5,2.356194490192345,0.15347579932039315,0.1822958238514123,-0.028820024531019145,1.9445736582310609,1.6822054875846186,0.05870736116403924,0.061356449549111305,0.08531367840195916,0.35033093743347365
1.0,6,2.356194490192345,0.09687926102257659,0.11263859158531131,-0.015759330562734722,1.9683118290132664,1.6969707714240467,0.0166398341760897,0.019766827341516306,0.03256867460008806,0.30703672535473514
1.0,7,2.356194490192345,0.18296617023189102,0.22359211525096112,-0.0406259450190701,1.8563873442876053,1.644399725790611,0.10322405109461999,0.11245773798802669,0.20621076178794445,0.42743206717834553
1.0,8,2.356194490192345,0.1722336313235914,0.2082595470908285,-0.0360259157672371,1.816205208992268,1.5909352252567959,0.084212662433624,0.08970553945887144,0.2319815376741185,0.4627443984348386
1.0,9,2.356194490192345,0.17837165551884748,0.22730143865991292,-0.04892978314106544,1.9291599381452622,1.8899597361394096,0.15988427975010816,0.18150025095770778,0.18179455846378026,0.24261073167723246
1.0,10,2.356194490192345,0.1872121472249937,0.24847292286995393,-0.061260775644960214,1.8116310313715078,1.908980573646852,0.25962354575298807,0.2613248852471561,0.3867317387365202,0.29108353595534414
1.0,11,2.356194490192345,0.14381463113652254,0.1708011308769121,-0.026986499740389552,1.9565688285848333,0.9775154519108239,0.045987444379123894,0.05857782251024779,0.06243211605390099,1.0540758708590343
2.0,0,2.356194490192345,0.01705220904196911,0.019708828276147623,-0.0026566192341785123,1.9718981699487685,1.7837122753480017,0.0007950903518424321,0.0036333307614336173,0.02624030116889512,0.21726443617925317
2.0,1,2.356194490192345,0.0010889266206325929,0.0012329020721213665,-0.00014397545148877363,1.953211468037433,1.9608938679060992,0.000600691706369751,3.993166204692742e-05,0.04724524821744784,0.039002088304459004
2.0,2,2.356194490192345,0.00872633088039304,0.009976231875185749,-0.0012499009947927082,1.9895719019723543,1.817936125487907,0.00010929901025603505,0.0011318886003685701,0.009287496043109186,0.181945862117669
2.0,3,2.356194490192345,0.0006579869333269567,0.0007505693351112971,-9.25824017843404e-05,1.9410431775139458,1.7919623804980054,0.000505876827268373,0.0007170757503397788,0.059370116911538234,0.20866211285055014
2.0,4,2.356194490192345,0.06002814023255998,0.06991682140239337,-0.009888681169833394,1.803183078720125,1.3043281323542426,0.008883056451045994,0.011152497381058472,0.19581129656108764,0.6969356838569823
2.0,5,2.356194490192345,0.030285605089628884,0.03469348552556495,-0.0044078804359360645,1.9601250330033586,0.11391180571497192,0.0019344929670657937,0.006241005769721371,0.03740157952777116,1.8879213196188134
2.0,6,2.356194490192345,0.006337946508895411,0.0071601979224526525,-0.0008222514135572418,1.984650061411659,1.6492235999403875,0.00010320742205427325,0.0013241189631294854,0.014630894596838032,0.3512782676091848
2.0,7,2.356194490192345,0.07662729073409576,0.08927194925187815,-0.01264465851778239,1.509851389703438,1.9644441600423859,0.01413063008622574,0.015875804840621344,0.4916345818650054,0.038786986280453406
2.0,8,2.356194490192345,0.0027471447989601324,0.0031227512480928488,-0.0003756064491327164,1.7883411981321744,1.9391439219027036,0.0015277348086176618,0.00015424354086869465,0.21281093022731037,0.06063471518903257
2.0,9,2.356194490192345,0.011323363771347576,0.012984985463625155,-0.0016616216922775793,1.969565086158384,1.9649140775020146,0.00033843566534251166,0.0004085824806306957,0.029111727814680875,0.033832883286338565
2.0,10,2.356194490192345,0.028144622395194357,0.09118557571530989,-0.06304095332011553,1.8873339429132285,1.6656224528415928,0.3324115433554483,0.5805589150393801,0.3820366471221042,0.8518955088776716
2.0,11,2.356194490192345,0.013987261243857277,0.015933070847019292,-0.0019458096031620149,1.9910074863719633,0.3363889258606956,0.00039865624947702606,0.0058269902556622784,0.007445360274351601,1.6674922547918047
3.0,0,2.356194490192345,8.271623394117476e-07,1.0260867981244223e-06,-1.989244587126748e-07,1.9695410873765988,1.6547168227847744,0.0003598034536527919,0.0009236687633656694,0.03081851715259519,0.3462066470541325
3.0,1,2.356194490192345,2.399628306329387e-06,2.743955973125314e-06,-3.4432766679592723e-07,1.9401787336079896,1.9918649448579482,0.0007793352872676758,1.0985986270551296e-05,0.06060025735161122,0.008145696800655534
3.0,2,2.356194490192345,7.876886572005664e-05,8.93130482997853e-05,-1.0544182579728665e-05,1.9923015612994173,1.973510702642291,4.407768784581138e-06,0.00015848916123382533,0.00769230228678761,0.026637242336363307
3.0,3,2.356194490192345,2.1547051753887117e-07,2.4453273462682963e-07,-2.906221708795846e-08,1.9672342090650432,1.897424322675277,0.00025137854868559107,0.0003508650277288639,0.0330171404214251,0.10292651329023458
3.0,4,2.356194490192345,0.0006184008675292323,0.000784074791979309,-0.00016567392445007668,1.8845924630475366,1.9188745003947405,0.0017454555374685982,0.0035711105891601223,0.11698731856548181,0.08453093626996928
3.0,5,2.356194490192345,7.288064494793116e-06,8.055585988522839e-06,-7.675214937297229e-07,1.7382349581573455,1.6850282901679694,0.0023555628848078505,0.0011342875714669197,0.2641198372059686,0.31610522988200374
3.0,6,2.356194490192345,0.00026458993614720454,0.00028198504003688587,-1.7395103889681328e-05,1.5861782351915366,1.7229173922485395,0.0018512407464629887,0.00014253248516322785,0.41565561045103694,0.2772077451327341
3.0,7,2.356194490192345,6.738924717486151e-06,7.988476813250814e-06,-1.2495520957646635e-06,1.9111876840079707,1.8666931533739026,0.000780416732073096,0.0002883692984764415,0.08959148317200688,0.1335939663724783
3.0,8,2.356194490192345,0.0009039494696496201,0.0010021285911888437,-9.817912153922356e-05,1.8995761265330775,1.9256774349457793,0.0006154532030569292,0.0002829094604968991,0.10094114754844041,0.07450729539317857
3.0,9,2.356194490192345,5.848631467004925e-08,5.6733637195036904e-08,1.7526774750123467e-09,1.9467525221309445,1.9720890959384092,0.0006944440029740624,0.00029182308594444034,0.053941923624707226,0.02820272890021267
3.0,10,2.356194490192345,0.004043948299506704,0.00473003950277273,-0.0006860912032660262,1.9266836375909862,1.968484213926738,0.0003135557801623699,0.002088916477984748,0.07294382698591023,0.03291861134798074
3.0,11,2.356194490192345,3.629497384583427e-06,4.0191879327563e-06,-3.8969054817287293e-07,1.9934296225039954,1.6710128357425207,3.9810232369504674e-05,0.0006984976013051586,0.0066097980378260375,0.3296852721682364
4.0,0,2.356194490192345,6.450980635275431e-09,1.557742711175001e-08,-9.12644647647458e-09,1.9557218604221704,1.2443457481840892,0.0005484440605932257,0.000531879290207185,0.0448265745119763,0.7561861219796715
4.0,1,2.356194490192345,1.7993114358141188e-12,2.035632359572613e-12,-2.3632092375849427e-13,1.9720849252638795,1.9938463018510184,1.3489766330528946e-06,8.306757604083397e-06,0.02791642371251702,0.0061620049063490214
4.0,2,2.356194490192345,1.3603893773577002e-09,2.461877062713521e-09,-1.1014876853558206e-09,1.9929909424907268,1.2970469130664872,1.0193469224092883e-06,0.005058693664455902,0.007010075754707897,0.7080117794964809
4.0,3,2.356194490192345,4.891013592754946e-12,4.5593056503344005e-12,3.317079424205457e-13,1.979367825927155,1.9368091341729672,0.00013670288301168275,0.00021091394115263756,0.020768876956188544,0.06340177976851721
4.0,4,2.356194490192345,4.378986169566297e-10,2.6098476197961843e-10,1.7691385497701128e-10,1.7930624031682105,1.8023697516466082,0.0038239697550820064,0.0010367846850940486,0.21076156676378516,0.19866703321539972
4.0,5,2.356194490192345,4.4977333452338296e-13,9.936080771091209e-13,-5.438347425857379e-13,1.8544046884839027,1.9309957570152556,0.0008632360599309674,0.0009930113193690696,0.14645854757548457,0.06999725430356961
4.0,6,2.356194490192345,2.1666938416557064e-10,2.511747440201966e-10,-3.450535985462598e-11,1.9121044978057715,1.888723188218419,0.0008255254140765056,0.0029263452170483492,0.08872102757379975,0.11420315696412396
4.0,7,2.356194490192345,2.823791439323558e-09,4.392931441976115e-09,-1.5691400026525571e-09,1.8970308682615205,1.9401882762700577,0.00020399911237381176,0.00010096715240515911,0.1031731292817136,0.059912689313207576
4.0,8,2.356194490192345,3.526078735659151e-05,4.547894044428714e-05,-1.0218153087695633e-05,1.9699702845304958,1.9713649518917695,5.089508407245634e-06,5.538754471391146e-05,0.030024586824823687,0.028680217499856768
4.0,9,2.356194490192345,6.35168964009541e-10,3.277875829517109e-09,-2.642706865507568e-09,1.9118834404893985,1.8181405182856476,0.0007658662380417026,0.0018193801387864053,0.08888242310593639,0.18367885921043214
4.0,10,2.356194490192345,8.915607092245606e-12,8.37773096472138e-11,-7.486170255496819e-11,1.702469016035721,1.943425788350427,0.0006912620386306925,0.0004277606172106486,0.29822224592804814,0.05700197219192213
4.0,11,2.356194490192345,1.610636987565359e-10,1.8028325567878634e-10,-1.9219556922250433e-11,1.993919571724797,1.8420285951558357,4.710852517548146e-07,7.5723946616895e-05,0.006080899341234985,0.15804712877156155
