site,weight,snapshot_phi,eigenvalue
0,0.06055733289469344,2.356194490192345,0.0015719685790671351
1,0.04777112171336667,2.356194490192345,0.0015719685790671351
2,0.0051700743840094425,2.356194490192345,0.0015719685790671351
3,0.056313573304394536,2.356194490192345,0.0015719685790671351
4,0.02328579228741577,2.356194490192345,0.0015719685790671351
5,0.011315225449371495,2.356194490192345,0.0015719685790671351
6,0.046331519631298994,2.356194490192345,0.0015719685790671351
7,0.009181655209009517,2.356194490192345,0.0015719685790671351
8,0.017124418049662884,2.356194490192345,0.0015719685790671351
9,0.03403787286530418,2.356194490192345,0.0015719685790671351
10,0.002644144460312738,2.356194490192345,0.0015719685790671351
11,0.020594200562614278,2.356194490192345,0.0015719685790671351
12,0.022246083808507428,2.356194490192345,0.0015719685790671351
13,0.0012829994673818133,2.356194490192345,0.0015719685790671351
14,0.021164539576616025,2.356194490192345,0.0015719685790671351
15,0.012675077331938978,2.356194490192345,0.0015719685790671351
16,0.0027916844112047096,2.356194490192345,0.0015719685790671351
17,0.01932734567742732,2.356194490192345,0.0015719685790671351
18,0.0060056283073486845,2.356194490192345,0.0015719685790671351
19,0.005383762223630383,2.356194490192345,0.0015719685790671351
20,0.01601271191247638,2.356194490192345,0.0015719685790671351
21,0.0021568118747187564,2.356194490192345,0.0015719685790671351
22,0.007952026969434227,2.356194490192345,0.0015719685790671351
23,0.012133584724537865,2.356194490192345,0.0015719685790671351
24,0.000655537778219293,2.356194490192345,0.0015719685790671351
25,0.009981409339567168,2.356194490192345,0.0015719685790671351
26,0.008353127724541614,2.356194490192345,0.0015719685790671351
27,0.000963432495102645,2.356194490192345,0.0015719685790671351
28,0.011328342115636813,2.356194490192345,0.0015719685790671351
29,0.00505920811902019,2.356194490192345,0.0015719685790671351
30,0.00267690207304472,2.356194490192345,0.0015719685790671351
31,0.011979674054574892,2.356194490192345,0.0015719685790671351
32,0.0024847504296284634,2.356194490192345,0.0015719685790671351
33,0.005570722006479958,2.356194490192345,0.0015719685790671351
34,0.011881773092666888,2.356194490192345,0.0015719685790671351
35,0.0008904291849995658,2.356194490192345,0.0015719685790671351
36,0.009501916563519102,2.356194490192345,0.0015719685790671351
37,0.01089753062445989,2.356194490192345,0.0015719685790671351
38,0.0007218857169345545,2.356194490192345,0.0015719685790671351
39,0.014226949739425029,2.356194490192345,0.0015719685790671351
40,0.008911097044480799,2.356194490192345,0.0015719685790671351
41,0.002663417753991433,2.356194490192345,0.0015719685790671351
42,0.019211552002044437,2.356194490192345,0.0015719685790671351
43,0.0060592358082047605,2.356194490192345,0.0015719685790671351
44,0.007533020297423087,2.356194490192345,0.0015719685790671351
45,0.02352772150376392,2.356194490192345,0.0015719685790671351
46,0.0030253403659475093,2.356194490192345,0.0015719685790671351
47,0.016001389894949432,2.356194490192345,0.0015719685790671351
48,0.025931992036989215,2.356194490192345,0.0015719685790671351
49,0.0012912129615888683,2.356194490192345,0.0015719685790671351
50,0.02817234635623778,2.356194490192345,0.0015719685790671351
51,0.0251931661517662,2.356194490192345,0.0015719685790671351
52,0.003210587567752035,2.356194490192345,0.0015719685790671351
53,0.043149703373460455,2.356194490192345,0.0015719685790671351
54,0.020644081262992334,2.356194490192345,0.0015719685790671351
55,0.011710224586355662,2.356194490192345,0.0015719685790671351
56,0.05919405470027015,2.356194490192345,0.0015719685790671351
57,0.012322773311841593,2.356194490192345,0.0015719685790671351
58,0.027928143065844357,2.356194490192345,0.0015719685790671351
59,0.08368616179959862,2.356194490192345,0.0015719685790671351
