phi,mode_index,energy
0.47123889803846897,0,-0.029805381108991048
0.47123889803846897,1,0.029805381108991065
0.47123889803846897,2,-0.03713348799625899
0.47123889803846897,3,0.037133487996259144
0.47123889803846897,4,0.048448979181533014
0.47123889803846897,5,-0.048448979181533125
0.47123889803846897,6,0.06326028623830186
0.47123889803846897,7,-0.06326028623830209
0.47123889803846897,8,0.08141809371769193
0.47123889803846897,9,-0.08141809371769194
0.47123889803846897,10,-0.10294350209521955
0.47123889803846897,11,0.10294350209521962
0.5497787143782138,0,0.006569853112238666
0.5497787143782138,1,-0.006569853112238845
0.5497787143782138,2,-0.025346386089671883
0.5497787143782138,3,0.025346386089672306
0.5497787143782138,4,0.04391735812316955
0.5497787143782138,5,-0.043917358123169686
0.5497787143782138,6,0.0639979163192127
0.5497787143782138,7,-0.06399791631921342
0.5497787143782138,8,0.08615798233851288
0.5497787143782138,9,-0.0861579823385134
0.5497787143782138,10,0.11080223210748975
0.5497787143782138,11,-0.11080223210749023
0.6283185307179586,0,-0.00019473129813135436
0.6283185307179586,1,0.00019473129813253704
0.6283185307179586,2,0.04393204193982901
0.6283185307179586,3,-0.043932041939829386
0.6283185307179586,4,0.0596236235044095
0.6283185307179586,5,-0.05962362350440952
0.6283185307179586,6,0.07945809146749287
0.6283185307179586,7,-0.07945809146749318
0.6283185307179586,8,-0.10224678525260429
0.6283185307179586,9,0.10224678525260451
0.6283185307179586,10,0.12780580462885638
0.6283185307179586,11,-0.12780580462885663
0.7068583470577035,0,-5.040097122344442e-06
0.7068583470577035,1,5.040097122841938e-06
0.7068583470577035,2,0.0778654849181221
0.7068583470577035,3,-0.07786548491812212
0.7068583470577035,4,-0.08950801363784212
0.7068583470577035,5,0.08950801363784228
0.7068583470577035,6,0.10668262326422469
0.7068583470577035,7,-0.10668262326422485
0.7068583470577035,8,-0.12807391822980818
0.7068583470577035,9,0.12807391822980868
0.7068583470577035,10,-0.1530240907525777
0.7068583470577035,11,0.15302409075257795
0.7853981633974483,0,-5.891245319770522e-06
0.7853981633974483,1,5.89124531987287e-06
0.7853981633974483,2,0.11608124035190023
0.7853981633974483,3,-0.11608124035190089
0.7853981633974483,4,0.1257277368405017
0.7853981633974483,5,-0.12572773684050234
0.7853981633974483,6,0.14086805853289983
0.7853981633974483,7,-0.14086805853290016
0.7853981633974483,8,0.1606829882362654
0.7853981633974483,9,-0.1606829882362661
0.7853981633974483,10,-0.18456577405677937
0.7853981633974483,11,0.1845657740567797
0.8639379797371931,0,-6.838340215096499e-07
0.8639379797371931,1,6.838340219759725e-07
0.8639379797371931,2,0.15680936752469704
0.8639379797371931,3,-0.1568093675246971
0.8639379797371931,4,-0.16539220379616368
0.8639379797371931,5,0.16539220379616412
0.8639379797371931,6,0.1792245977001591
0.8639379797371931,7,-0.17922459770015922
