site,weight,snapshot_phi,eigenvalue
0,0.12382916985231023,0.6283185307179586,-0.003191249794839168
1,0.19981654805279894,0.6283185307179586,-0.003191249794839168
2,0.058685511224342485,0.6283185307179586,-0.003191249794839168
3,0.04285348861577287,0.6283185307179586,-0.003191249794839168
4,0.10661008527320433,0.6283185307179586,-0.003191249794839168
5,0.12609018764299354,0.6283185307179586,-0.003191249794839168
6,0.1665265901099246,0.6283185307179586,-0.003191249794839168
7,0.08384582795799266,0.6283185307179586,-0.003191249794839168
8,0.023822715225506177,0.6283185307179586,-0.003191249794839168
9,0.01892432094983367,0.6283185307179586,-0.003191249794839168
10,0.021516104231154003,0.6283185307179586,-0.003191249794839168
11,0.009070429294354958,0.6283185307179586,-0.003191249794839168
12,0.004626651556350598,0.6283185307179586,-0.003191249794839168
13,0.005947531835498028,0.6283185307179586,-0.003191249794839168
14,0.0026377874633470933,0.6283185307179586,-0.003191249794839168
15,0.0012966475413696784,0.6283185307179586,-0.003191249794839168
16,0.0016912772543716066,0.6283185307179586,-0.003191249794839168
17,0.000727867030479548,0.6283185307179586,-0.003191249794839168
18,0.00037673636640192623,0.6283185307179586,-0.003191249794839168
19,0.0004798292812310746,0.6283185307179586,-0.003191249794839168
20,0.0002043211639466,0.6283185307179586,-0.003191249794839168
21,0.00010768252205266339,0.6283185307179586,-0.003191249794839168
22,0.000136655182278195,0.6283185307179586,-0.003191249794839168
23,5.618308678149499e-05,0.6283185307179586,-0.003191249794839168
24,3.132767244469873e-05,0.6283185307179586,-0.003191249794839168
25,3.872787719953771e-05,0.6283185307179586,-0.003191249794839168
26,1.57749753371359e-05,0.6283185307179586,-0.003191249794839168
27,8.968847157807694e-06,0.6283185307179586,-0.003191249794839168
28,1.1018179039331253e-05,0.6283185307179586,-0.003191249794839168
29,4.334538122956822e-06,0.6283185307179586,-0.003191249794839168
30,2.6091885116957337e-06,0.6283185307179586,-0.003191249794839168
31,3.1186279192624445e-06,0.6283185307179586,-0.003191249794839168
32,1.2176504385013563e-06,0.6283185307179586,-0.003191249794839168
33,7.479714142359953e-07,0.6283185307179586,-0.003191249794839168
34,8.863053270000352e-07,0.6283185307179586,-0.003191249794839168
35,3.34430079960974e-07,0.6283185307179586,-0.003191249794839168
36,2.1752372349718244e-07,0.6283185307179586,-0.003191249794839168
37,2.5058344204274277e-07,0.6283185307179586,-0.003191249794839168
38,9.397601680266242e-08,0.6283185307179586,-0.003191249794839168
39,6.244328527060962e-08,0.6283185307179586,-0.003191249794839168
40,7.109969788428472e-08,0.6283185307179586,-0.003191249794839168
41,2.5839987299561693e-08,0.6283185307179586,-0.003191249794839168
42,1.8128605506768456e-08,0.6283185307179586,-0.003191249794839168
43,2.0119648606992404e-08,0.6283185307179586,-0.003191249794839168
44,7.229705389914269e-09,0.6283185307179586,-0.003191249794839168
45,5.231453042701218e-09,0.6283185307179586,-0.003191249794839168
46,5.658518930656127e-09,0.6283185307179586,-0.003191249794839168
47,2.025029825546211e-09,0.6283185307179586,-0.003191249794839168
48,1.4941314880496412e-09,0.6283185307179586,-0.003191249794839168
49,1.644214094511144e-09,0.6283185307179586,-0.003191249794839168
50,5.306870265625597e-10,0.6283185307179586,-0.003191249794839168
51,4.554706997919344e-10,0.6283185307179586,-0.003191249794839168
52,4.178441823963127e-10,0.6283185307179586,-0.003191249794839168
53,1.866653769001913e-10,0.6283185307179586,-0.003191249794839168
54,1.0655143999305024e-10,0.6283185307179586,-0.003191249794839168
55,1.7093595246060764e-10,0.6283185307179586,-0.003191249794839168
56,1.9706396856023233e-11,0.6283185307179586,-0.003191249794839168
57,5.978945102248089e-11,0.6283185307179586,-0.003191249794839168
58,1.2959308873113783e-11,0.6283185307179586,-0.003191249794839168
59,6.464137504674179e-11,0.6283185307179586,-0.003191249794839168
