phi,min_abs_energy,spectral_isolation,edge_weight,nu_ring
0.47123889803846897,0.029805381108991048,1.2458652301901738,0.10149105106456074,1
0.5497787143782138,0.006569853112238666,3.85798368040456,0.34422139425038345,-1
0.6283185307179586,0.00019473129813135436,225.6033948389489,0.8067075263208083,-1
0.7068583470577035,5.040097122344442e-06,15449.203264936756,0.9192472265757783,-1
0.7853981633974483,5.891245319770522e-06,19704.0242005101,0.9316784125785953,-1
0.8639379797371931,6.838340215096499e-07,229309.10512249827,0.919525154292935,-1
0.9424777960769378,2.104316228587992e-05,9474.028313655881,0.9009691652952599,-1
1.0210176124166828,1.5364307392006442e-05,15833.633237391783,0.8813262769697658,-1
1.0995574287564276,5.779432261258503e-05,4985.2446793972,0.8623671955476238,-1
1.1780972450961724,6.243598173756132e-05,4372.1380505470925,0.8445722136880447,-1
1.2566370614359172,0.00013727416605173896,1865.2482425666747,0.8277349158461873,-1
1.335176877775662,0.00018494671115081176,1308.310117612737,0.8111899641832027,-1
1.4137166941154067,0.0002802568317934798,809.946841410611,0.794006223062332,-1
1.4922565104551515,0.000475130814610957,449.6500971351455,0.7751928032942008,-1
1.5707963267948963,0.0004509033311715593,446.3010922237952,0.7538642715415667,-1
1.6493361431346412,0.0011018484656907723,170.32700232467508,0.7295473178473442,-1
1.727875959474386,0.00039092687114756407,458.8953116397541,0.7017696460249465,-1
1.8064157758141308,0.0022042135147122776,74.44618673474314,0.6714042686216379,-1
1.8849555921538756,0.0006618308764337617,242.52486801675417,0.6375377798501899,-1
1.9634954084936205,0.0032226948762736365,44.75187197696641,0.6031337529000648,-1
2.0420352248333655,0.0037452759887731907,36.41780665278161,0.5667205351835021,-1
2.12057504117311,0.001458084722731418,90.56686350669735,0.5286364580549725,-1
2.199114857512855,0.007203759638162009,16.166774677923563,0.4961716902505224,-1
2.2776546738525996,0.006434064778979486,17.48420790016048,0.45832471773795935,-1
2.3561944901923444,0.0015719685790667028,71.28195330807965,0.41989855876015764,-1
2.434734306532089,0.010971194371958867,8.67964220580285,0.39494016451246067,-1
2.513274122871834,0.01492543900392891,5.829547721727218,0.3683174845636258,-1
2.591813939211579,0.010281594873926976,8.65917669181398,0.3274810352182425,-1
2.6703537555513237,0.0004511761884259434,211.56412515614372,0.29283935684203294,-1
2.7488935718910685,0.010452791521948383,7.719563318463696,0.27077790576689176,-1
2.8274333882308134,0.020403712849546986,3.3509695503646193,0.2564815840022817,-1
2.905973204570558,0.02851213046818619,2.0586772595694924,0.24530699098224273,-1
2.984513020910303,0.034307047836765414,1.5117316306717925,0.23261120737754962,-1
3.063052837250048,0.03749817152155041,1.2817425803744964,0.21379129268278846,-1
3.1415926535897927,0.03836380811389805,1.2249860932625174,0.2011296578716702,-1
3.2201324699295375,0.0374981715215498,1.2817425803745133,0.21379129268278696,-1
3.2986722862692823,0.03430704783676535,1.511731630671786,0.23261120737754937,-1
3.377212102609027,0.028512130468186306,2.0586772595694773,0.24530699098224318,-1
3.455751918948772,0.02040371284954707,3.3509695503646215,0.2564815840022825,-1
3.534291735288517,0.010452791521948617,7.719563318463472,0.27077790576689265,-1
3.6128315516282616,0.00045117618842612254,211.56412515605948,0.292839356842037,-1
