metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,20.275825724309694,0.3336419137897119,0.3775513675292869,3
mean_guided_psnr_lowres,23.256759397632297,0.37223022847743414,0.4212181563194465,3
mean_phaseonly_psnr_lowres,15.953225696472456,0.1561734364870543,0.17672688016829669,3
mean_phaseonly_psnr_gain_over_fixed_lowres,-4.32260002783724,0.311244205465264,0.3522059745857995,3
mean_phaseonly_psnr_gap_to_guided_lowres,7.303533701159839,0.4044505003670689,0.4576788263111799,3
mean_fixed_ssim_lowres,0.8924839422251304,0.008457247150497584,0.009570276081128232,3
mean_guided_ssim_lowres,0.9421230710519698,0.0054473737143402624,0.006164283653487651,3
mean_phaseonly_ssim_lowres,0.7479305909860169,0.008877641093802012,0.010045996611539931,3
mean_phaseonly_ssim_gain_over_fixed_lowres,-0.14455335123911348,0.007277927584308754,0.008235750361888793,3
phaseonly_better_than_fixed_fraction,0.005208333333333333,0.009021097956087904,0.010208333333333335,3
