slice_id,candidate,alpha,eta,phi,barrier_Z,zero_bias_conductance,peak_conductance,peak_bias,peak_split,background_conductance,peak_minus_background,mean_frustration,collapse_rms
1,chiral,0.0,1.0,1.5707963267948966,2.0,0.9053816440378971,0.9053816440378971,0.0,0.0031999999999999806,0.20871509082482156,0.6966665532130756,0.5333341795037712,0.2395772897958979
1,chiral,0.19634954084936207,1.0,1.5707963267948966,2.0,0.9134004507843125,0.9239338177479366,-0.096,0.19200000000000003,0.21338556946001716,0.7105482482879194,0.5331620265080339,0.14289988195943307
1,chiral,0.39269908169872414,1.0,1.5707963267948966,2.0,0.9211830762415117,0.9651585106878536,-0.0928,0.1856,0.21722611416129156,0.7479323965265621,0.5333040150722947,0.13362816018669393
1,chiral,0.5890486225480862,1.0,1.5707963267948966,2.0,0.9269758145215714,0.9929107364408255,-0.08959999999999999,0.1792,0.219687666932836,0.7732230695079895,0.533764757227489,0.12574462142314632
1,chiral,0.7853981633974483,1.0,1.5707963267948966,2.0,0.9291408941647604,1.0025036640765688,-0.08959999999999999,0.1792,0.2204677006263104,0.7820359634502584,0.5341390895825706,0.12687355037667242
1,chiral,0.9817477042468103,1.0,1.5707963267948966,2.0,0.9269824708576667,0.9927796217567969,-0.08959999999999999,0.1792,0.2195070925797453,0.7732725291770516,0.5339781545899862,0.12584385651819086
1,chiral,1.1780972450961724,1.0,1.5707963267948966,2.0,0.9211822128150363,0.964631055213177,-0.0928,0.1856,0.21695043239836095,0.7476806228148161,0.5332614491997844,0.13385560792237255
1,chiral,1.3744467859455345,1.0,1.5707963267948966,2.0,0.9133964309008287,0.9228809796168178,0.09600000000000003,0.19200000000000003,0.21311700895731925,0.7097639706594986,0.5324702561360891,0.42454750386144996
1,chiral,1.5707963267948966,1.0,1.5707963267948966,2.0,0.9053922892996338,0.9053922892996338,0.0,0.0031999999999999806,0.20849823020326663,0.6968940590963671,0.5321731559416012,0.23870197340258947
1,control_double_peak,0.0,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
1,control_double_peak,0.19634954084936207,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
1,control_double_peak,0.39269908169872414,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
1,control_double_peak,0.5890486225480862,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
1,control_double_peak,0.7853981633974483,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
1,control_double_peak,0.9817477042468103,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
