candidate,eta,avg_frustration,anisotropy_ratio,alpha_min,alpha_max
s_wave,0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976
s_wave,0.25,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976
s_wave,0.5,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976
s_wave,0.75,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976
s_wave,1.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976
s_pm,0.0,4.132233444309459e-11,3.053871493908078e-16,0.1308996938995747,1.0471975511965976
s_pm,0.25,0.25000000002066136,2.2204460490579217e-16,0.0,1.4398966328953218
s_pm,0.5,0.5,0.0,0.0,0.0
s_pm,0.75,0.7499999999793379,4.440892098617049e-16,0.5235987755982988,0.0
s_pm,1.0,0.9999999999586766,4.440892098679699e-16,0.1308996938995747,1.4398966328953218
chiral,0.0,0.533334179503771,4.1633297369242574e-16,0.1308996938995747,0.916297857297023
chiral,0.25,0.533334179503771,4.1633297369242574e-16,0.1308996938995747,0.916297857297023
chiral,0.5,0.533334179503771,4.1633297369242574e-16,0.1308996938995747,0.916297857297023
chiral,0.75,0.533334179503771,4.1633297369242574e-16,0.1308996938995747,0.916297857297023
chiral,1.0,0.533334179503771,4.1633297369242574e-16,0.1308996938995747,0.916297857297023
