slice_id,candidate,eta,phi,barrier_Z,alpha,bias,conductance,mean_frustration
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.32,0.19699099090807357,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3184,0.19786010553953584,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3168,0.19874179551912372,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3152,0.1996363052345536,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3136,0.20054388505365836,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.312,0.20146479150382499,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3104,0.20239928745835653,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3088,0.20334764233013736,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.30720000000000003,0.2043101322730051,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3056,0.20528704039126452,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.304,0.20627865695780906,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3024,0.20728527964135224,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.3008,0.20830721374330552,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2992,0.20934477244488509,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.29760000000000003,0.21039827706506872,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.296,0.21146805733007337,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2944,0.21255445165507617,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2928,0.213657807438955,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2912,0.21477848137288758,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2896,0.21591683976370746,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.28800000000000003,0.21707325887299111,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2864,0.21824812527291998,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2848,0.21944183622004876,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2832,0.22065480004819027,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2816,0.22188743658173438,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.28,0.2231401775708064,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2784,0.22441346714979377,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2768,0.22570776232088155,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2752,0.22702353346436843,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2736,0.22836126487767466,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.272,0.22972145534510244,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2704,0.23110461874057245,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2688,0.2325112846657367,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2672,0.23394199912605293,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2656,0.23539732524761744,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.264,0.23687784403776746,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.2624,0.2383841551927064,0.5333341795037713
