candidate,eta,alpha,barrier_Z,bias,conductance,mean_frustration
s_wave,0.0,0.0,0.0,-0.24,1.172610556352501,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.23199999999999998,1.182437729936764,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.22399999999999998,1.1930563533145224,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.216,1.2045439177827364,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.208,1.2169858690260664,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.19999999999999998,1.2304761904834869,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.192,1.2451178996920025,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.184,1.2610233842524907,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.176,1.2783144723622308,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.16799999999999998,1.297122090178561,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.15999999999999998,1.3175853018488861,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.152,1.3398494551301223,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.144,1.364063064161231,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.13599999999999998,1.3903729513637864,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.128,1.418917047516987,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.12,1.4498141264122246,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.11199999999999999,1.4831496566242017,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.10399999999999998,1.5189569394623286,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.09599999999999997,1.5571928532192978,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.088,1.5977079628786974,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.07999999999999999,1.6402116402392541,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.07199999999999998,1.684234336152846,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.064,1.7290913473446266,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.055999999999999994,1.7738552059692623,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.04799999999999999,1.8173466631004342,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.03999999999999998,1.8581560284072156,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.03199999999999997,1.8947057084105379,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.023999999999999994,1.9253594371784923,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.015999999999999986,1.9485732204881854,4.132233444309463e-11
s_wave,0.0,0.0,0.0,-0.00799999999999998,1.9630690863218787,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.0,1.968000000043868,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.008000000000000007,1.9630690863218787,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.016000000000000014,1.9485732204881854,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.02400000000000002,1.9253594371784923,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.03200000000000003,1.8947057084105379,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.040000000000000036,1.8581560284072156,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.04800000000000004,1.817346663100434,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.055999999999999994,1.7738552059692623,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.064,1.7290913473446266,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.07200000000000001,1.6842343361528458,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.08000000000000002,1.640211640239254,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.08800000000000002,1.597707962878697,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.09600000000000003,1.5571928532192976,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.10400000000000004,1.5189569394623286,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.11199999999999999,1.4831496566242017,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.12,1.4498141264122246,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.128,1.418917047516987,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.136,1.3903729513637864,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.14400000000000002,1.3640630641612308,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.15200000000000002,1.3398494551301223,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.16000000000000003,1.3175853018488861,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.16800000000000004,1.297122090178561,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.17600000000000005,1.2783144723622306,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.184,1.2610233842524907,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.192,1.2451178996920025,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.2,1.2304761904834869,4.132233444309463e-11
s_wave,0.0,0.0,0.0,0.20800000000000002,1.2169858690260664,4.132233444309463e-11
