candidate,eta,alpha,barrier_Z,zero_bias_conductance,peak_conductance,peak_bias,background_conductance,peak_minus_background,mean_frustration,pos_peak_bias,neg_peak_bias,peak_split,signature
s_wave,0.0,0.0,0.0,1.968000000043868,1.968000000043868,0.0,1.1981950589017596,0.7698049411421084,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,0.0,0.5,1.7684000000336069,1.7684000000336069,0.0,0.9935054394538178,0.7748945605797891,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,0.0,1.0,1.469000000018215,1.469000000018215,0.0,0.6864710102819046,0.7825289897363105,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,0.0,2.0,1.1696000000028233,1.1696000000028233,0.0,0.3794365811099916,0.7901634188928317,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,0.5235987755982988,0.0,1.9680000000438678,1.9680000000438678,0.0,1.1981950589017596,0.7698049411421082,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,0.5235987755982988,0.5,1.7684000000336064,1.7684000000336064,0.0,0.9935054394538178,0.7748945605797887,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,0.5235987755982988,1.0,1.469000000018215,1.469000000018215,0.0,0.6864710102819046,0.7825289897363105,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,0.5235987755982988,2.0,1.1696000000028233,1.1696000000028233,0.0,0.3794365811099916,0.7901634188928317,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,1.0471975511965976,0.0,1.9680000000438678,1.9680000000438678,0.0,1.1981950589017596,0.7698049411421082,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,1.0471975511965976,0.5,1.7684000000336069,1.7684000000336069,0.0,0.9935054394538178,0.7748945605797891,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,1.0471975511965976,1.0,1.4690000000182148,1.4690000000182148,0.0,0.6864710102819045,0.7825289897363104,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.0,1.0471975511965976,2.0,1.1696000000028235,1.1696000000028235,0.0,0.3794365811099916,0.7901634188928319,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.25,0.0,0.0,1.968000000043868,1.968000000043868,0.0,1.1981950589017596,0.7698049411421084,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.25,0.0,0.5,1.7684000000336069,1.7684000000336069,0.0,0.9935054394538178,0.7748945605797891,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.25,0.0,1.0,1.469000000018215,1.469000000018215,0.0,0.6864710102819046,0.7825289897363105,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.25,0.0,2.0,1.1696000000028233,1.1696000000028233,0.0,0.3794365811099916,0.7901634188928317,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.25,0.5235987755982988,0.0,1.9680000000438678,1.9680000000438678,0.0,1.1981950589017596,0.7698049411421082,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.25,0.5235987755982988,0.5,1.7684000000336064,1.7684000000336064,0.0,0.9935054394538178,0.7748945605797887,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.25,0.5235987755982988,1.0,1.469000000018215,1.469000000018215,0.0,0.6864710102819046,0.7825289897363105,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
s_wave,0.25,0.5235987755982988,2.0,1.1696000000028233,1.1696000000028233,0.0,0.3794365811099916,0.7901634188928317,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,broad zero-bias enhancement without split finite-bias peaks
