method,object_id,fixed_psnr_lowres,guided_psnr_lowres,method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
phase_only_stack,natural_object_eval_object_06,26.559553252123386,28.166234167689872,25.107334022053628,-1.4522192300697583,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_07,22.555480965228018,24.600809583049752,21.504314950867393,-1.051166014360625,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_08,25.478038337231887,27.72758279886017,23.52124364096944,-1.9567946962624454,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_09,26.215827707708286,27.83499323900633,24.175031465739064,-2.040796241969222,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_10,27.759583299293958,29.606766194447346,26.236221008529952,-1.5233622907640054,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_11,21.827796398423025,24.578390890476992,22.53561295434722,0.7078165559241931,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_00,27.92063435081403,29.807045244556228,25.64005598198937,-2.28057836882466,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_01,30.047849687614022,31.62219931273738,28.579465153452006,-1.4683845341620163,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_02,24.330576559432476,27.710027765267288,22.613671548263675,-1.7169050111688016,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_03,25.315262283862644,28.185737987461472,23.75430187344137,-1.5609604104212735,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_04,25.9888063467766,27.77789628055961,23.99522501417621,-1.9935813326003888,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_05,24.36718881107758,26.460914151576137,22.811393983770223,-1.5557948273073556,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_06,26.483971174814585,29.03331235935857,25.15782413607723,-1.3261470387373535,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
