t_interface_left_active,alpha_interface_left_active,alpha_junction_x_active,barrier_active,phase_gain,spread,pi_win_count,focused_pi_count
0.22,0.3,0.14,2.1,-0.0307958956552304,1.624556736365838e-05,1.0,0.0
0.22,0.34,0.1,2.1,-0.0028901702304839016,9.752646657665104e-06,1.0,0.0
0.22,0.34,0.1,2.3,0.0006177498166016165,1.7155747671015965e-05,1.0,0.0
0.22,0.34,0.12,2.3,-0.0032958875118163938,1.9070608364184217e-05,1.0,0.0
0.22,0.34,0.14,2.3,-0.009298624705953847,1.9950223390468528e-05,1.0,0.0
0.18,0.26,0.1,2.3,0.0005971031731649842,3.8791301540370414e-06,0.0,0.0
0.18,0.3,0.1,2.3,0.003098975029887378,6.882608803921024e-06,0.0,0.0
0.18,0.3,0.12,2.3,-0.004705242769417349,9.736415567832939e-06,0.0,0.0
0.18,0.34,0.1,2.2,-0.001590667827034381,4.754162089240712e-06,0.0,0.0
0.18,0.34,0.14,2.2,0.0017773565061721657,1.1577111752153822e-05,0.0,0.0
0.22,0.26,0.14,2.3,-0.0002211305920762368,7.317257040235652e-06,0.0,0.0
0.22,0.3,0.1,2.2,-0.001307102810324366,7.707300699699565e-06,0.0,0.0
