ab1_pattern,ab2_pattern,ab7_first_pattern,ab7_second_pattern,ab7_second_conjugated,overall_rmse_meV,gamma_start_max_abs_delta_meV,gamma_end_max_abs_delta_meV,k_b_rmse_meV,k_t_rmse_meV,m_rmse_meV
cyc,cyc,anti,cyc,True,9.708521459986153,8.189999999999998,7.945036328193616,16.567359089152145,10.912321425778135,5.3940722413929265
anti,const,cyc,anti,False,9.938600911143618,6.089999999999996,5.8714030337221566,10.914435174849734,14.603690428687411,6.205468872255788
anti,const,cyc,anti,True,9.938600911143618,6.089999999999996,5.8714030337221566,10.914435174849734,14.603690428687411,6.205468872255788
anti,const,const,anti,False,9.961337957918435,3.749999999999993,3.5817743382815976,10.91443517558288,14.785982667969353,6.0959907566335
anti,const,const,anti,True,9.961337957918435,3.749999999999993,3.5817743382815976,10.91443517558288,14.785982667969353,6.0959907566335
anti,const,cyc,const,False,9.979901472466313,3.749999999999993,3.581773748563812,10.914435175582895,15.168381233680524,6.61157578732122
anti,const,cyc,const,True,9.979901472466313,3.749999999999993,3.581773748563812,10.914435175582895,15.168381233680524,6.61157578732122
const,const,cyc,anti,False,9.982278675698558,4.680000000000007,4.593684843724569,15.072053789561856,14.603683850837736,6.246781644821723
const,const,cyc,anti,True,9.982278675698558,4.680000000000007,4.593684843724569,15.072053789561856,14.603683850837736,6.246781644821723
anti,const,const,const,False,9.986724509893657,1.4099999999999966,1.2914954163404744,10.914435176316035,15.47535004880967,6.146323627130432
anti,const,const,const,True,9.986724509893657,1.4099999999999966,1.2914954163404744,10.914435176316035,15.47535004880967,6.146323627130432
anti,const,anti,anti,False,10.02514662649274,6.089999999999996,5.965600787470631,10.78982014199393,14.785982670293498,6.205468866972958
anti,const,anti,anti,True,10.02514662649274,6.089999999999996,5.965600787470631,10.78982014199393,14.785982670293498,6.205468866972958
const,const,cyc,const,False,10.03938455823388,2.3400000000000105,2.304638328230343,15.072053772748724,15.168374869478896,6.186994813621046
const,const,cyc,const,True,10.03938455823388,2.3400000000000105,2.304638328230343,15.072053772748724,15.168374869478896,6.186994813621046
anti,const,cyc,cyc,False,10.048044756998262,6.089999999999996,5.965600855343979,10.789819700726198,15.168381246358793,6.205468876283284
anti,const,cyc,cyc,True,10.048044756998262,6.089999999999996,5.965600855343979,10.789819700726198,15.168381246358793,6.205468876283284
anti,const,anti,const,False,10.079209259298622,3.749999999999993,3.6760116706614383,10.78982014441572,15.475350054171962,6.611575775419525
anti,const,anti,const,True,10.079209259298622,3.749999999999993,3.6760116706614383,10.78982014441572,15.475350054171962,6.611575775419525
anti,const,const,cyc,False,10.089255503295433,3.749999999999993,3.676012303954778,10.789819703147982,15.475350065050804,6.095990753046665
anti,const,const,cyc,True,10.089255503295433,3.749999999999993,3.676012303954778,10.789819703147982,15.475350065050804,6.095990753046665
anti,const,anti,cyc,False,10.14745325755062,6.089999999999996,6.059796049131528,10.57066414607265,15.475350070413072,6.205468871000441
anti,const,anti,cyc,True,10.14745325755062,6.089999999999996,6.059796049131528,10.57066414607265,15.475350070413072,6.205468871000441
