metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,17.40447784556163,0.24521894915704956,0.27749136356019066,3
mean_guided_psnr_lowres,19.967260919723042,0.24938037285999404,0.2822004577866005,3
mean_phaseonly_psnr_lowres,16.505188739442186,0.2080248119150552,0.23540223506826566,3
mean_phaseonly_psnr_gain_over_fixed_lowres,-0.8992891061194431,0.42067838345256503,0.4760424047400463,3
mean_phaseonly_psnr_gap_to_guided_lowres,3.462072180280856,0.37878459843440315,0.42863512414713445,3
mean_fixed_ssim_lowres,0.8323536574272588,0.010102741277911565,0.011432327976856558,3
mean_guided_ssim_lowres,0.904725049492093,0.006591731012662371,0.007459245842189001,3
mean_phaseonly_ssim_lowres,0.8218915998019268,0.009004252943668243,0.010189271407321548,3
mean_phaseonly_ssim_gain_over_fixed_lowres,-0.010462057625331827,0.017860876475429208,0.02021148440846135,3
phaseonly_better_than_fixed_fraction,0.3177083333333333,0.12532509807829129,0.14181869905896674,3
