m0,mu,phi,phi_over_pi,min_gap,min_kx,topological_indicator,near_closing
1.0,0.5,1.570796,0.5,0.00034584,-1.15191731,1,1
1.0,0.5,2.879793,0.916667,0.00046518,-1.41371669,1,1
1.0,0.5,3.141593,1.0,0.00030378,-1.41371669,1,1
1.0,1.0,2.094395,0.666667,0.00015303,1.67551608,1,1
1.0,1.5,0.523599,0.166667,9.428e-05,-1.93731547,1,1
1.0,1.5,1.047198,0.333333,0.0003134,-2.67035376,1,1
1.0,1.5,1.570796,0.5,0.00015992,-2.51327412,1,1
1.0,1.5,1.832596,0.583333,0.00033625,-2.51327412,1,1
1.0,2.0,0.523599,0.166667,6.471e-05,-2.0943951,1,1
1.2,-1.0,1.570796,0.5,0.00036484,1.67551608,1,1
1.2,-1.0,1.832596,0.583333,0.00015586,1.67551608,1,1
1.2,-1.0,2.094395,0.666667,2.922e-05,-1.67551608,1,1
1.2,-1.0,2.356194,0.75,0.00018086,-1.67551608,1,1
1.2,-1.0,2.617994,0.833333,0.00029296,1.67551608,1,1
1.2,-1.0,2.879793,0.916667,0.00036165,-1.67551608,1,1
1.2,-1.0,3.141593,1.0,0.00038478,-1.67551608,1,1
1.2,0.0,2.356194,0.75,0.00019434,-1.09955743,1,1
1.2,1.0,0.0,0.0,5.092e-05,1.51843645,1,1
1.2,1.0,0.261799,0.083333,0.00025827,-1.51843645,1,1
1.2,1.0,1.308997,0.416667,7.706e-05,-1.46607657,1,1
1.2,1.0,1.832596,0.583333,0.00025221,1.72787596,1,1
1.2,1.0,2.617994,0.833333,0.00037012,-1.67551608,1,1
1.2,1.5,0.261799,0.083333,0.00037359,-1.72787596,1,1
1.2,1.5,2.356194,0.75,0.00046461,2.40855437,1,1
1.4,-1.0,1.832596,0.583333,0.00041262,-1.67551608,1,1
1.4,-1.0,2.094395,0.666667,0.00023422,1.67551608,1,1
1.4,-1.0,2.356194,0.75,8.69e-05,-1.67551608,1,1
1.4,-1.0,2.617994,0.833333,2.252e-05,-1.67551608,1,1
1.4,-1.0,2.879793,0.916667,8.975e-05,1.67551608,1,1
1.4,-1.0,3.141593,1.0,0.00011241,1.67551608,1,1
1.4,0.0,0.261799,0.083333,0.00049579,-0.10471976,1,1
1.4,0.0,0.523599,0.166667,0.00045731,0.10471976,1,1
1.4,0.0,0.785398,0.25,0.00039526,-0.10471976,1,1
1.4,0.0,1.047198,0.333333,0.00031286,0.10471976,1,1
1.4,0.0,1.308997,0.416667,0.00021473,0.10471976,1,1
1.4,0.0,1.570796,0.5,0.0001069,0.10471976,1,1
1.4,0.0,1.832596,0.583333,3.5e-06,-0.10471976,1,1
1.4,0.0,2.094395,0.666667,0.00010863,-0.10471976,1,1
1.4,0.0,2.356194,0.75,0.00020059,-0.10471976,1,1
1.4,0.0,2.617994,0.833333,3.04e-06,-0.73303829,1,1
1.4,0.0,2.879793,0.916667,0.00019106,0.57595865,1,1
1.4,0.0,3.141593,1.0,0.00033326,-0.10471976,1,1
1.4,1.0,2.094395,0.666667,4.447e-05,1.46607657,1,1
1.4,1.0,2.879793,0.916667,9.961e-05,1.67551608,1,1
1.4,1.0,3.141593,1.0,0.00017426,-1.67551608,1,1
1.4,1.5,0.523599,0.166667,1.915e-05,-1.78023584,1,1
