point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_corrected,E_tb_2_corrected,E_tb_3_corrected
119,7.764069922669908,-28.44694302701623,-52.13826410410765,0.5795156586723377,-16.878338007724945,-55.41554660312635,7.764069922669905,-28.44694302701623,-52.13826410410765
120,7.92763075149155,-28.58975657591058,-52.10983231473163,0.5414974429072776,-16.663367066342605,-55.57919104633545,7.927630751491548,-28.5897565759106,-52.109832314731634
121,8.087727147384355,-28.73402276043712,-52.07766439423257,0.5031120875458454,-16.45043744111378,-55.74158773663957,8.087727147384356,-28.734022760437128,-52.07766439423256
122,8.244411127780332,-28.87955171881061,-52.04200224011239,0.4643088312991438,-16.239555230847476,-55.90262822227898,8.244411127780333,-28.879551718810617,-52.04200224011238
123,8.3977383225737,-29.02615190285401,-52.00309215677126,0.4250412428868609,-16.030728871059686,-56.06220568572233,8.397738322573703,-29.026151902854018,-52.00309215677126
124,8.547767802179113,-29.17363060608342,-51.96118416579843,0.38526903306538385,-15.82397065962589,-56.22021532733798,8.547767802179115,-29.173630606083414,-51.961184165798436
125,8.694561894476756,-29.32179452539129,-51.9165312722637,0.34495987800779376,-15.619298316828507,-56.37655472533058,8.69456189447675,-29.321794525391304,-51.9165312722637
126,8.838185990629924,-29.4704503565488,-51.86938868676161,0.30409124228024226,-15.416736568716196,-56.5311241711083,8.838185990629928,-29.4704503565488,-51.86938868676161
127,8.978708339802656,-29.61940542334668,-51.82001300339963,0.26265218958267567,-15.216318742498014,-56.68382697936343,8.978708339802658,-29.61940542334668,-51.82001300339962
128,9.116199832850876,-29.76846833971893,-51.76866133444683,0.22064516921377733,-15.018088362374574,-56.83456977226557,9.116199832850876,-29.768468339718915,-51.76866133444684
129,9.250733775113142,-29.91744970363996,-51.71559040296175,0.17808776580096133,-14.822100733676674,-56.9832627372819,9.250733775113146,-29.91744970363996,-51.71559040296175
130,9.382385648485842,-30.06616282095308,-51.66105559541042,0.13501439911343066,-14.628424502348388,-57.12981985825313,9.382385648485844,-30.066162820953082,-51.66105559541041
131,9.511232863031335,-30.21442445657541,-51.60530997706118,0.09147795965704866,-14.437143175584682,-57.274159119464386,9.511232863031335,-30.214424456575394,-51.605309977061175
132,9.637354498437997,-30.36205560973748,-51.54860327379978,0.047551364130194576,-14.248356587707205,-57.41620268256088,9.637354498437992,-30.36205560973748,-51.54860327379978
133,9.760831035727008,-30.50888230905732,-51.49118082494211,0.0033290126040588642,-14.062182293043845,-57.55587703626536,9.760831035727005,-30.508882309057327,-51.491180824942106
134,9.881744079682033,-30.65473642233567,-51.43328251261536,-0.04107187361718133,-13.878756864567574,-57.69311311895907,9.881744079682033,-30.654736422335663,-51.433282512615364
135,10.00017607256483,-30.79945647500042,-51.37514167432451,-0.08551005817470579,-13.698237073279037,-57.827846414290825,10.000176072564823,-30.799456475000394,-51.37514167432451
136,10.11620999977065,-30.94288847014927,-51.31698400638912,-0.12981926908215055,-13.520800918730062,-57.960017020078354,10.116209999770641,-30.942888470149256,-51.31698400638912
137,10.22992908817374,-31.08488670216254,-51.25902646700914,-0.1738073859198046,-13.346648475684521,-58.089569690863904,10.229929088173732,-31.08488670216255,-51.25902646700915
138,10.3414164980109,-31.22531455491323,-51.20147618876123,-0.21725587537357752,-13.176002515764011,-58.216453854579754,10.341416498010895,-31.225314554913233,-51.20147618876123
139,10.45075500925371,-31.36404527472351,-51.14452941130585,-0.2599195223396982,-13.009108856196512,-58.34062360387197,10.45075500925371,-31.364045274723505,-51.14452941130584
140,10.55802670352191,-31.50096270744156,-51.08837044596263,-0.3015265107416569,-12.846236380775116,-58.462037662720924,10.55802670352191,-31.50096270744157,-51.08837044596263
141,10.66331264269422,-31.63596198838197,-51.03317068454713,-0.34177891494411416,-12.687676671315812,-58.58065932908227,10.663312642694212,-31.63596198838195,-51.03317068454713
142,10.76669254547493,-31.76895017342337,-50.97908766541033,-0.38035366851428737,-12.53374318195663,-58.69645639435944,10.766692545474923,-31.768950173423384,-50.97908766541035
143,10.86824446327419,-31.89984679933071,-50.926264209951,-0.41690408115612265,-12.384769884490412,-58.80940104059957,10.868244463274186,-31.899846799330703,-50.926264209951
144,10.9680444568559,-32.0285843613985,-50.8748276429357,-0.45106197575249246,-12.241109311736919,-58.91946971638687,10.96804445685589,-32.02858436139852,-50.874827642935706
145,11.06616627529733,-32.15510869682558,-50.82488910973731,-0.4824405142021975,-12.103129929137818,-59.026642992485776,11.066166275297329,-32.155108696825586,-50.824889109737306
146,11.16268103888705,-32.279379262852,-50.77654300306618,-0.5106377715807621,-11.971212773842163,-59.13090539836443,11.162681038887053,-32.27937926285199,-50.776543003066166
147,11.25765692766164,-32.40136929962325,-50.72986651090578,-0.5352411015431844,-11.845747317093629,-59.23224524080345,11.257656927661637,-32.40136929962325,-50.72986651090579
148,11.35115887734487,-32.52106586899354,-50.68491929618122,-0.5558323104999373,-11.72712653104871,-59.3306544058718,11.351158877344872,-32.521065868993546,-50.684919296181235
149,11.44324828450197,-32.63846976202323,-50.64174331719647,-0.5719936231576591,-11.615741176029033,-59.426128145620254,11.443248284501971,-32.63846976202323,-50.64174331719647
150,11.53398272275912,-32.75359526973187,-50.60036279610351,-0.5833143776698326,-11.511973368492484,-59.51866485091885,11.533982722759118,-32.753595269731875,-50.60036279610351
151,11.62341567195651,-32.86646981369691,-50.56078434065977,-0.5990074876330285,-11.614590891751266,-59.40018354618511,11.62341567195651,-32.866469813696916,-50.56078434065977
152,11.71159626210732,-32.97713343527905,-50.52299722234108,-0.6118268818751448,-11.726620005431188,-59.27480253473475,11.711596262107316,-32.977133435279065,-50.5229972223411
153,11.79856903401812,-33.08563814454213,-50.48697381157356,-0.6217376500622648,-11.847424974748362,-59.143165583379655,11.798569034018122,-33.085638144542145,-50.48697381157356
154,11.88437371839075,-33.19204713224413,-50.45267016850472,-0.6287175551236859,-11.976337110773832,-59.00594192246322,11.884373718390751,-33.19204713224414,-50.45267016850471
155,11.96904503517055,-33.29643385052874,-50.42002678542518,-0.6327576807412977,-12.112658649529838,-58.863821720241305,11.969045035170547,-33.296433850528764,-50.420026785425165
156,12.05261251482824,-33.39888097006407,-50.38896947475762,-0.6338628338195698,-12.255667234649664,-58.717511175677345,12.052612514828246,-33.39888097006406,-50.38896947475762
157,12.13510034316645,-33.49947922328726,-50.35941039452219,-0.6320517168824931,-12.404620965733383,-58.567727252812205,12.135100343166455,-33.49947922328725,-50.35941039452217
158,12.21652723112338,-33.59832614505272,-50.33124920142848,-0.6273568933304011,-12.5587639583683,-58.415192088137715,12.21652723112338,-33.59832614505272,-50.33124920142848
159,12.29690631090865,-33.69552472329801,-50.30437432029122,-0.6198245736090037,-12.717332347578383,-58.26062711157856,12.258180553465337,-33.53913456593958,-50.42345664486277
160,12.37624505965045,-33.79118197329486,-50.2786643173594,-0.609514252702078,-12.879560654253105,-58.10474693162666,12.39882816266169,-33.523774859642316,-50.56865454580564
161,12.4545452515583,-33.88540744962207,-50.25398936440011,-0.5964982292695219,-13.044688423787326,-57.94825304566919,12.48505646469809,-33.495392506127935,-50.674515517058474
162,12.53180293941733,-33.97831171017783,-50.23021278001533,-0.5808610346501981,-13.211967037599438,-57.79182744729681,12.569731924987462,-33.47527093604741,-50.771182544254
163,12.60800846602671,-34.07000474635051,-50.20719263465836,-0.562698796333121,-13.380666591271229,-57.63612621300297,12.642616726735335,-33.45874055443744,-50.85306510059729
164,12.68314650598065,-34.16059439291899,-50.18478340615764,-0.5421185558610887,-13.55008272773332,-57.48177316071539,12.517433722809296,-33.36776920132261,-50.81333347984763
