label,point_index,source_1,source_2,source_3,corrected_1,corrected_2,corrected_3,delta_1,delta_2,delta_3
Gamma_start,0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.75000000000001,-36.526045353172734,3.552713678800501e-15,0.0,-7.105427357601002e-15
K_B,150,11.53398272275912,-32.75359526973187,-50.60036279610351,11.533982722759118,-32.753595269731875,-50.60036279610351,-1.7763568394002505e-15,-7.105427357601002e-15,0.0
M,300,10.02827159563746,-16.4313182156091,-64.66958981124654,10.028271595637468,-16.431318215609103,-64.66958981124654,8.881784197001252e-15,-3.552713678800501e-15,0.0
K_T,450,11.44324828450197,-32.63846976202326,-50.6417433171965,11.44324828450197,-32.63846976202326,-50.64174331719649,0.0,0.0,7.105427357601002e-15
Gamma_end,599,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.129024507577924,-23.74981777564945,-36.5432484219147,0.0170208455948071,0.00018222435056003405,-0.01720306874197064
