case,phi,phi_frac_pi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
dot_candidate,0.47123889803846897,0.15,-0.2,8.06756865864036e-08,5.386729398212329e-08,2.6808392604280303e-08,1.9656204286756052,2.1285333160583573,0.02175992259557932,0.20849271622043336,0.05613952072836671,0.07995942697046873
dot_candidate,0.47123889803846897,0.15,-0.19,6.31160970892865e-08,4.273234441710335e-08,2.038375267218315e-08,1.9635825819677677,2.123311115008553,0.023306262588006266,0.19188496731859095,0.0597237010039913,0.06857387269379078
dot_candidate,0.47123889803846897,0.15,-0.18000000000000002,5.081856296567089e-08,3.493027603590836e-08,1.588828692976253e-08,1.9614021210691472,2.118790315933579,0.02514334997236319,0.1778824114767627,0.06374124479150284,0.0590921114314706
dot_candidate,0.47123889803846897,0.15,-0.17,4.207677017268958e-08,2.9399236332588674e-08,1.2677533840100908e-08,1.9590509382041075,2.1148304400458526,0.02733462928725107,0.166001631893542,0.06828370376067738,0.05117120452522335
dot_candidate,0.47123889803846897,0.15,-0.16,3.580675840326151e-08,2.5464143684456204e-08,1.0342614718805303e-08,1.9564956729493623,2.111322942378403,0.029963628716957864,0.15586577683754044,0.07346796611021028,0.04454284480175244
dot_candidate,0.47123889803846897,0.15,-0.15000000000000002,3.1308911337191045e-08,2.2690845261038774e-08,8.618066076152271e-09,1.9536961288196102,2.1081829826805096,0.033141591869871194,0.14717891020220766,0.07944547166832705,0.03899593613976429
dot_candidate,0.47123889803846897,0.15,-0.14,2.8128459259928504e-08,2.0800627133255368e-08,7.327832126673136e-09,1.9506032236033775,2.105343438065851,0.03701876476390613,0.13970690979808514,0.08641554848836079,0.034363479060066315
dot_candidate,0.47123889803846897,0.15,-0.13,2.5972779141917948e-08,1.9619971869125847e-08,6.352807272792101e-09,1.947156318527088,2.102750523213052,0.04180141890235889,0.133263233181759,0.09464510672807792,0.030512716321514526
dot_candidate,0.47123889803846897,0.15,-0.12000000000000001,2.4662813381262877e-08,1.9051989987973516e-08,5.610823393289361e-09,1.9432797490468086,2.1003605612071734,0.04777809985289648,0.12769827168203082,0.10449835641691121,0.027337716085680933
dot_candidate,0.47123889803846897,0.15,-0.11000000000000001,2.4106412822699583e-08,1.906247937563855e-08,5.043933447061032e-09,1.9388784053688968,2.098137579854674,0.05536110414215455,0.12289134587296904,0.11648270381719117,0.024753771062228484
dot_candidate,0.47123889803846897,0.15,-0.1,2.428766726061276e-08,1.967772111097815e-08,4.609946149634609e-09,1.933832397190362,2.096051502766901,0.06515379063432003,0.11874465084403948,0.1313213980539043,0.022693152687084384
dot_candidate,0.47123889803846897,0.15,-0.09000000000000001,2.52707329783574e-08,2.0994501164192417e-08,4.276231814164984e-09,1.9279915077053842,2.0940767711384596,0.07806296932784954,0.11517864832396088,0.15007146589869721,0.021101881461733113
dot_candidate,0.47123889803846897,0.15,-0.08000000000000002,2.7220973483501442e-08,2.3206791446540054e-08,4.014182036961388e-09,1.921172220812934,2.0921912788386994,0.09549210533427735,0.11212853996430207,0.17431988853552546,0.019937265139784707
