window,case,n,max_abs_glr,mean_abs_glr,median_abs_glr,p95_abs_glr,mean_gll,max_abs_glr_over_mean_gll
zero_bias,positive,21,0.3961383094385964,0.05378607341681107,0.0038703599999842,0.2800920923443336,1.8878782680241872,0.20983254913633081
zero_bias,dot,21,0.0223847266356481,0.003841701617028401,2.9619623961831895e-05,0.0205601288071757,1.96000748043287,0.01142073530796138
zero_bias,impurity,21,0.0557493283524038,0.004916340577759459,6.397012410420543e-05,0.0103259977138108,1.9376641070117349,0.028771409941829598
zero_bias,positive_vs_dot,21,17.69681246889737,14.000585880590902,130.66877570665918,13.623070894700742,0.9631995218749099,18.37294565351294
zero_bias,positive_vs_impurity,21,7.105705506163568,10.940265949053346,60.50261827973788,27.124942316200247,0.9743062593731339,7.293092328828268
near_zero_0p02,positive,105,0.6024454596600617,0.05353699591370445,0.0021320803361757,0.29629691728873675,1.8952542800409695,0.3178705179586977
near_zero_0p02,dot,105,0.0735204792833965,0.005179866007106732,8.065040689515367e-05,0.029872577875672348,1.961607708375275,0.03747970553413593
near_zero_0p02,impurity,105,0.1288591899411943,0.012054093107581142,0.000869154646844,0.05405491451472192,1.9626062264586617,0.06565717982751364
near_zero_0p02,positive_vs_dot,105,8.194253703622346,10.335594750955362,26.43607662075934,9.918692605703615,0.9661739561630988,8.48113701611626
near_zero_0p02,positive_vs_impurity,105,4.6752230860289545,4.441395585374531,2.4530506094830504,5.481405713962232,0.9656823944051057,4.841367216712133
near_zero_0p05,positive,231,0.6292444273254347,0.04015104208479857,0.0038144797637706,0.2136169292111716,1.9295479162259719,0.32610977008344116
near_zero_0p05,dot,231,0.1511973782316434,0.0051360901390007764,0.0001317439425229,0.02603174493391405,1.9201659465224272,0.07874182880155428
near_zero_0p05,impurity,231,0.1288591899411943,0.010227611307600278,0.0004893633292193,0.05504209927064525,1.9548789294736246,0.06591671125939816
near_zero_0p05,positive_vs_dot,231,4.161741656402235,7.817433300072481,28.953739281846367,8.206016529182888,1.0048860202528516,4.141506173361877
near_zero_0p05,positive_vs_impurity,231,4.8831940322812395,3.925749706088437,7.794780556720475,3.8809735101273035,0.9870421575138295,4.947300371223324
full_bias,positive,861,0.7816163597842204,0.0544724575853419,0.0067571858669855,0.2924890609769788,1.9104929501153463,0.40911763622945074
full_bias,dot,861,0.5255909847770462,0.020030661242267194,0.0007759287261563,0.1067907879001679,1.8911186266093043,0.2779259732211557
full_bias,impurity,861,0.4088223338955205,0.01590974075084029,0.0008253200215545,0.0947948069402519,1.891342170948244,0.21615461240974346
full_bias,positive_vs_dot,861,1.48711903823042,2.7194537876961458,8.70851360338006,2.7388978649582465,1.0102449012100205,1.4720381527778301
full_bias,positive_vs_impurity,861,1.9118729457279895,3.4238431938285907,8.187352409382072,3.0854966682017864,1.010125496835668,1.89270833348643
