label,point_index,source_1,source_2,source_3,reconstructed_1,reconstructed_2,reconstructed_3,delta_1,delta_2,delta_3
Gamma_start,0,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.146045353172727,-23.750000000000014,-36.526045353172734,3.552713678800501e-15,-3.552713678800501e-15,-7.105427357601002e-15
K_B,150,11.53398272275912,-32.75359526973187,-50.60036279610351,-0.5833143776698326,-11.511973368492484,-59.51866485091885,-12.117297100428953,21.241621901239384,-8.918302054815342
M,300,10.02827159563746,-16.4313182156091,-64.66958981124654,5.963265588888953,-16.24953971647958,-60.78636230362768,-4.065006006748506,0.18177849912952126,3.883227507618855
K_T,450,11.44324828450197,-32.63846976202326,-50.6417433171965,-1.5580551560834095,-11.511972793286994,-58.54392464771079,-13.001303440585378,21.12649696873627,-7.9021813305142885
Gamma_end,599,-20.14604535317273,-23.75000000000001,-36.52604535317273,-20.110983285557,-23.784533696260322,-36.52476233695483,0.03506206761572983,-0.03453369626031133,0.0012830162178971705
