metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,17.40447784556163,0.24521894915704956,0.27749136356019066,3
mean_guided_psnr_lowres,19.967260919723042,0.24938037285999404,0.2822004577866005,3
mean_phaseonly_psnr_lowres,17.835521695456677,0.0742425866993628,0.08401339573577404,3
mean_phaseonly_psnr_gain_over_fixed_lowres,0.43104384989504513,0.3106750468543551,0.35156191098644857,3
mean_phaseonly_psnr_gap_to_guided_lowres,2.1317392242663677,0.3231509098243222,0.3656796789608521,3
mean_fixed_ssim_lowres,0.8323536574272588,0.010102741277911565,0.011432327976856558,3
mean_guided_ssim_lowres,0.904725049492093,0.006591731012662371,0.007459245842189001,3
mean_phaseonly_ssim_lowres,0.8455954061923681,0.004798786124742006,0.005430337703370348,3
mean_phaseonly_ssim_gain_over_fixed_lowres,0.013241748765109432,0.014897061989288436,0.01685761258931443,3
phaseonly_better_than_fixed_fraction,0.5260416666666666,0.1183105905375057,0.1338810365378325,3
