mu,phi,bulk_gap
-2.5,0.0,0.21679299960165097
-2.5,0.15707963267948966,0.2187346993803282
-2.5,0.3141592653589793,0.2226394887673736
-2.5,0.47123889803846897,0.22596718078728895
-2.5,0.6283185307179586,0.22618097403351184
-2.5,0.7853981633974483,0.22221176118287453
-2.5,0.9424777960769379,0.21424714133969844
-2.5,1.0995574287564276,0.2035236125926756
-2.5,1.2566370614359172,0.19075065070900718
-2.5,1.413716694115407,0.1755030512102643
-2.5,1.5707963267948966,0.15978718658367938
-2.5,1.7278759594743862,0.14422511817192135
-2.5,1.8849555921538759,0.12796344761610806
-2.5,2.0420352248333655,0.11070023131433104
-2.5,2.199114857512855,0.0944412112574469
-2.5,2.356194490192345,0.07927057423037556
-2.5,2.5132741228718345,0.06295538709956919
-2.5,2.670353755551324,0.04643851590375345
-2.5,2.827433388230814,0.038729747995134636
-2.5,2.9845130209103035,0.019423187773797677
-2.5,3.141592653589793,0.006478454902234532
-2.5,3.2986722862692828,0.019423187773796938
-2.5,3.4557519189487724,0.03872974799513452
-2.5,3.612831551628262,0.0464385159037533
-2.5,3.7699111843077517,0.06295538709956888
-2.5,3.9269908169872414,0.0792705742303756
-2.5,4.084070449666731,0.0944412112574466
-2.5,4.241150082346221,0.11070023131433104
-2.5,4.39822971502571,0.12796344761610828
-2.5,4.5553093477052,0.14422511817192152
-2.5,4.71238898038469,0.15978718658367919
-2.5,4.869468613064179,0.17550305121026458
-2.5,5.026548245743669,0.19075065070900685
-2.5,5.183627878423159,0.2035236125926762
-2.5,5.340707511102648,0.21424714133969838
-2.5,5.497787143782138,0.2222117611828746
-2.5,5.654866776461628,0.2261809740335121
-2.5,5.811946409141117,0.225967180787289
-2.5,5.969026041820607,0.2226394887673734
-2.5,6.126105674500097,0.21873469938032836
-2.5,6.283185307179586,0.21679299960165097
-2.3333333333333335,0.0,0.2704159444105417
-2.3333333333333335,0.15707963267948966,0.27044185047406993
-2.3333333333333335,0.3141592653589793,0.26964630932553496
-2.3333333333333335,0.47123889803846897,0.26652183734890666
-2.3333333333333335,0.6283185307179586,0.25997845677160164
-2.3333333333333335,0.7853981633974483,0.25036838769265835
-2.3333333333333335,0.9424777960769379,0.2365877855331944
-2.3333333333333335,1.0995574287564276,0.22098063812640478
-2.3333333333333335,1.2566370614359172,0.20435174719377946
-2.3333333333333335,1.413716694115407,0.18688187764378816
-2.3333333333333335,1.5707963267948966,0.16861090876409007
-2.3333333333333335,1.7278759594743862,0.1500212485460734
-2.3333333333333335,1.8849555921538759,0.13304063417362494
-2.3333333333333335,2.0420352248333655,0.11457368709528858
-2.3333333333333335,2.199114857512855,0.09944331168709157
-2.3333333333333335,2.356194490192345,0.08386982539237453
-2.3333333333333335,2.5132741228718345,0.06748628396352768
-2.3333333333333335,2.670353755551324,0.04803258265854329
-2.3333333333333335,2.827433388230814,0.036071459858743174
-2.3333333333333335,2.9845130209103035,0.015748707170698505
-2.3333333333333335,3.141592653589793,0.003941692512757888
-2.3333333333333335,3.2986722862692828,0.01574870717069851
-2.3333333333333335,3.4557519189487724,0.036071459858743146
-2.3333333333333335,3.612831551628262,0.04803258265854357
-2.3333333333333335,3.7699111843077517,0.06748628396352735
-2.3333333333333335,3.9269908169872414,0.08386982539237457
-2.3333333333333335,4.084070449666731,0.09944331168709115
-2.3333333333333335,4.241150082346221,0.11457368709528863
-2.3333333333333335,4.39822971502571,0.13304063417362474
-2.3333333333333335,4.5553093477052,0.1500212485460733
-2.3333333333333335,4.71238898038469,0.16861090876409038
-2.3333333333333335,4.869468613064179,0.1868818776437879
-2.3333333333333335,5.026548245743669,0.20435174719377958
-2.3333333333333335,5.183627878423159,0.22098063812640475
-2.3333333333333335,5.340707511102648,0.23658778553319426
-2.3333333333333335,5.497787143782138,0.25036838769265823
-2.3333333333333335,5.654866776461628,0.2599784567716012
-2.3333333333333335,5.811946409141117,0.26652183734890666
-2.3333333333333335,5.969026041820607,0.2696463093255351
-2.3333333333333335,6.126105674500097,0.27044185047407004
-2.3333333333333335,6.283185307179586,0.27041594441054145
-2.1666666666666665,0.0,0.31587464090049
-2.1666666666666665,0.15707963267948966,0.31471782420531796
-2.1666666666666665,0.3141592653589793,0.3101833930757765
-2.1666666666666665,0.47123889803846897,0.30149558342911
-2.1666666666666665,0.6283185307179586,0.28916796551178864
-2.1666666666666665,0.7853981633974483,0.27380482106970305
-2.1666666666666665,0.9424777960769379,0.25635306255153517
-2.1666666666666665,1.0995574287564276,0.23651334387771997
-2.1666666666666665,1.2566370614359172,0.2161497496838033
-2.1666666666666665,1.413716694115407,0.1958563721157609
-2.1666666666666665,1.5707963267948966,0.1763170303391196
-2.1666666666666665,1.7278759594743862,0.15626537234719556
-2.1666666666666665,1.8849555921538759,0.1360935804925946
-2.1666666666666665,2.0420352248333655,0.11884603288594761
-2.1666666666666665,2.199114857512855,0.10107706596368628
-2.1666666666666665,2.356194490192345,0.08302082148669294
-2.1666666666666665,2.5132741228718345,0.06768146956263585
-2.1666666666666665,2.670353755551324,0.05113441722876493
-2.1666666666666665,2.827433388230814,0.03298196262464014
-2.1666666666666665,2.9845130209103035,0.01767500056388598
-2.1666666666666665,3.141592653589793,0.013160016047153
-2.1666666666666665,3.2986722862692828,0.017675000563886083
-2.1666666666666665,3.4557519189487724,0.032981962624640315
-2.1666666666666665,3.612831551628262,0.051134417228765126
-2.1666666666666665,3.7699111843077517,0.0676814695626358
-2.1666666666666665,3.9269908169872414,0.08302082148669289
-2.1666666666666665,4.084070449666731,0.10107706596368637
-2.1666666666666665,4.241150082346221,0.11884603288594775
-2.1666666666666665,4.39822971502571,0.13609358049259457
-2.1666666666666665,4.5553093477052,0.15626537234719584
-2.1666666666666665,4.71238898038469,0.17631703033911988
-2.1666666666666665,4.869468613064179,0.19585637211576074
-2.1666666666666665,5.026548245743669,0.2161497496838032
-2.1666666666666665,5.183627878423159,0.23651334387772
-2.1666666666666665,5.340707511102648,0.256353062551535
-2.1666666666666665,5.497787143782138,0.2738048210697025
-2.1666666666666665,5.654866776461628,0.28916796551178836
-2.1666666666666665,5.811946409141117,0.3014955834291097
-2.1666666666666665,5.969026041820607,0.3101833930757766
-2.1666666666666665,6.126105674500097,0.3147178242053179
-2.1666666666666665,6.283185307179586,0.3158746409004898
-2.0,0.0,0.3559898136364855
-2.0,0.15707963267948966,0.3533848018558965
-2.0,0.3141592653589793,0.3451597753879526
-2.0,0.47123889803846897,0.331764089082985
-2.0,0.6283185307179586,0.31418847495106017
-2.0,0.7853981633974483,0.2937347664821236
-2.0,0.9424777960769379,0.2715277216585807
-2.0,1.0995574287564276,0.24855918047574188
-2.0,1.2566370614359172,0.22548333116343722
-2.0,1.413716694115407,0.20271748027911068
-2.0,1.5707963267948966,0.1807809034512155
-2.0,1.7278759594743862,0.16090148544736926
-2.0,1.8849555921538759,0.1391402756527825
-2.0,2.0420352248333655,0.1215863039207332
-2.0,2.199114857512855,0.10111569952644452
-2.0,2.356194490192345,0.08282545395120204
-2.0,2.5132741228718345,0.06617436467738354
-2.0,2.670353755551324,0.05505387916102002
-2.0,2.827433388230814,0.032091267274907125
-2.0,2.9845130209103035,0.023170070782413083
-2.0,3.141592653589793,0.022188073328135577
-2.0,3.2986722862692828,0.02317007078241327
-2.0,3.4557519189487724,0.03209126727490715
-2.0,3.612831551628262,0.05505387916101938
-2.0,3.7699111843077517,0.06617436467738351
-2.0,3.9269908169872414,0.08282545395120212
-2.0,4.084070449666731,0.1011156995264445
-2.0,4.241150082346221,0.12158630392073316
-2.0,4.39822971502571,0.1391402756527829
-2.0,4.5553093477052,0.16090148544736887
-2.0,4.71238898038469,0.1807809034512152
-2.0,4.869468613064179,0.20271748027911063
-2.0,5.026548245743669,0.22548333116343675
-2.0,5.183627878423159,0.24855918047574177
-2.0,5.340707511102648,0.2715277216585804
-2.0,5.497787143782138,0.2937347664821237
-2.0,5.654866776461628,0.31418847495106034
-2.0,5.811946409141117,0.331764089082985
-2.0,5.969026041820607,0.3451597753879526
-2.0,6.126105674500097,0.35338480185589594
-2.0,6.283185307179586,0.3559898136364855
-1.8333333333333335,0.0,0.39137117367567953
-1.8333333333333335,0.15707963267948966,0.3875214773741389
-1.8333333333333335,0.3141592653589793,0.37613400748436804
-1.8333333333333335,0.47123889803846897,0.3579514824560575
-1.8333333333333335,0.6283185307179586,0.33609722925828406
-1.8333333333333335,0.7853981633974483,0.3116824496003528
-1.8333333333333335,0.9424777960769379,0.285737070535813
-1.8333333333333335,1.0995574287564276,0.25960138759463536
-1.8333333333333335,1.2566370614359172,0.2338655585897431
-1.8333333333333335,1.413716694115407,0.20877505962450474
-1.8333333333333335,1.5707963267948966,0.18467094051822383
-1.8333333333333335,1.7278759594743862,0.16256343431314463
-1.8333333333333335,1.8849555921538759,0.14178376575205384
-1.8333333333333335,2.0420352248333655,0.12128168638394454
-1.8333333333333335,2.199114857512855,0.10128378606965434
-1.8333333333333335,2.356194490192345,0.08304386111499641
-1.8333333333333335,2.5132741228718345,0.06540053420177105
-1.8333333333333335,2.670353755551324,0.051094549833031064
-1.8333333333333335,2.827433388230814,0.033717283000785525
-1.8333333333333335,2.9845130209103035,0.029899029533542284
-1.8333333333333335,3.141592653589793,0.019917517902658055
-1.8333333333333335,3.2986722862692828,0.02989902953354277
-1.8333333333333335,3.4557519189487724,0.03371728300078536
-1.8333333333333335,3.612831551628262,0.05109454983303113
-1.8333333333333335,3.7699111843077517,0.06540053420177082
-1.8333333333333335,3.9269908169872414,0.0830438611149963
