k,band_index,energy
-3.141592653589793,0,-3.6496510067828565
-3.141592653589793,1,-0.41236819553512555
-3.141592653589793,2,0.4123681955351254
-3.141592653589793,3,3.6496510067828547
-3.1023227454199205,0,-3.647956081853656
-3.1023227454199205,1,-0.4110669044612583
-3.1023227454199205,2,0.4110669044612585
-3.1023227454199205,3,3.647956081853656
-3.0630528372500483,0,-3.6428747600850064
-3.0630528372500483,1,-0.40716660881071587
-3.0630528372500483,2,0.40716660881071504
-3.0630528372500483,3,3.642874760085006
-3.023782929080176,0,-3.634417395708736
-3.023782929080176,1,-0.400678233378871
-3.023782929080176,2,0.40067823337887065
-3.023782929080176,3,3.634417395708735
-2.9845130209103035,0,-3.6226012297611234
-2.9845130209103035,1,-0.3916206597973017
-2.9845130209103035,2,0.39162065979730176
-2.9845130209103035,3,3.622601229761121
-2.945243112740431,0,-3.6074503662954966
-2.945243112740431,1,-0.3800218631390677
-2.945243112740431,2,0.3800218631390674
-2.945243112740431,3,3.6074503662954966
-2.9059732045705586,0,-3.588995739572918
-2.9059732045705586,1,-0.36592079305328173
-2.9059732045705586,2,0.3659207930532814
-2.9059732045705586,3,3.5889957395729146
-2.8667032964006864,0,-3.5672750727661273
-2.8667032964006864,1,-0.34937039342976745
-2.8667032964006864,2,0.3493703934297676
-2.8667032964006864,3,3.5672750727661273
-2.827433388230814,0,-3.5423328289288207
-2.827433388230814,1,-0.3304424678637773
-2.827433388230814,2,0.3304424678637771
-2.827433388230814,3,3.5423328289288225
-2.788163480060941,0,-3.514220155253512
-2.788163480060941,1,-0.30923568750405434
-2.788163480060941,2,0.30923568750405533
-2.788163480060941,3,3.514220155253515
-2.748893571891069,0,-3.4829948219878113
-2.748893571891069,1,-0.2858892022784978
-2.748893571891069,2,0.28588920227849757
-2.748893571891069,3,3.4829948219878113
-2.709623663721197,0,-3.448721157827239
-2.709623663721197,1,-0.260606727223912
-2.709623663721197,2,0.2606067272239114
-2.709623663721197,3,3.4487211578272374
-2.670353755551324,0,-3.4114699841890377
-2.670353755551324,1,-0.2337011916367271
-2.670353755551324,2,0.23370119163672703
-2.670353755551324,3,3.4114699841890364
-2.6310838473814515,0,-3.37131855154488
-2.6310838473814515,1,-0.20568171083221481
-2.6310838473814515,2,0.20568171083221498
-2.6310838473814515,3,3.37131855154488
-2.5918139392115793,0,-3.328350482018661
-2.5918139392115793,1,-0.1774306842419519
-2.5918139392115793,2,0.17743068424195205
-2.5918139392115793,3,3.328350482018661
-2.552544031041707,0,-3.2826557238342278
-2.552544031041707,1,-0.1505694653313354
-2.552544031041707,2,0.15056946533133586
-2.552544031041707,3,3.2826557238342313
-2.5132741228718345,0,-3.234330525061685
-2.5132741228718345,1,-0.12814113363389232
-2.5132741228718345,2,0.1281411336338923
-2.5132741228718345,3,3.234330525061684
-2.474004214701962,0,-3.183477436654761
-2.474004214701962,1,-0.11529612622185041
