phi,bulk_gap,nu_ring
0.0,0.1169637326328548,1
0.07853981633974483,0.11450586501944296,1
0.15707963267948966,0.10710923680754887,1
0.23561944901923448,0.09435297493436218,1
0.3141592653589793,0.07640652845090697,1
0.39269908169872414,0.05390496473686445,1
0.47123889803846897,0.027226522597936183,1
0.5497787143782138,0.0032135548719406195,-1
0.6283185307179586,0.03698063550480945,-1
0.7068583470577035,0.07363545074286355,-1
0.7853981633974483,0.11274548767836559,-1
0.8639379797371931,0.15389308390749193,-1
0.9424777960769379,0.19668063647147022,-1
1.0210176124166828,0.2407334919582862,-1
1.0995574287564276,0.27482073420957825,-1
1.1780972450961724,0.257752758969012,-1
1.2566370614359172,0.24144826669604702,-1
1.335176877775662,0.22592712066331214,-1
1.413716694115407,0.2112152732281712,-1
1.4922565104551517,0.1966908277747015,-1
1.5707963267948966,0.18255030755328708,-1
1.6493361431346414,0.16903944009683056,-1
1.7278759594743862,0.1562141675140228,-1
1.806415775814131,0.14420164394595397,-1
1.8849555921538759,0.1332325403725631,-1
1.9634954084936207,0.12367817703309408,-1
2.0420352248333655,0.11243110902833814,-1
2.1205750411731104,0.10160997510185514,-1
2.199114857512855,0.09319184012890579,-1
2.2776546738526,0.08426296360372093,-1
2.356194490192345,0.0743851596064222,-1
2.4347343065320897,0.06878827044525031,-1
2.5132741228718345,0.0578422036690426,-1
2.5918139392115793,0.052502454336165905,-1
2.670353755551324,0.04378063585053108,-1
2.748893571891069,0.03511558543299193,-1
2.827433388230814,0.031574246880897036,-1
2.9059732045705586,0.028354930904263952,-1
2.9845130209103035,0.018774372194645953,-1
3.0630528372500483,0.011180899061659186,-1
3.141592653589793,0.007514115482871994,-1
3.220132469929538,0.01118089906165969,-1
3.2986722862692828,0.01877437219464571,-1
3.3772121026090276,0.02835493090426376,-1
3.4557519189487724,0.03157424688089712,-1
3.5342917352885173,0.03511558543299195,-1
3.612831551628262,0.043780635850531525,-1
3.691371367968007,0.052502454336166036,-1
3.7699111843077517,0.05784220366904255,-1
3.8484510006474966,0.06878827044525024,-1
3.9269908169872414,0.07438515960642186,-1
4.005530633326986,0.08426296360372074,-1
4.084070449666731,0.09319184012890577,-1
4.162610266006476,0.10160997510185517,-1
4.241150082346221,0.11243110902833814,-1
4.319689898685965,0.12367817703309372,-1
4.39822971502571,0.1332325403725631,-1
4.476769531365456,0.14420164394595386,-1
4.5553093477052,0.15621416751402273,-1
4.633849164044944,0.16903944009683042,-1
4.71238898038469,0.18255030755328705,-1
4.790928796724435,0.19669082777470162,-1
4.869468613064179,0.21121527322817124,-1
4.948008429403924,0.22592712066331178,-1
5.026548245743669,0.24144826669604744,-1
5.105088062083414,0.2577527589690121,-1
5.183627878423159,0.27482073420957837,-1
5.262167694762903,0.24073349195828653,-1
5.340707511102648,0.19668063647147022,-1
5.419247327442394,0.1538930839074918,-1
5.497787143782138,0.11274548767836579,-1
5.576326960121882,0.07363545074286383,-1
5.654866776461628,0.03698063550480958,-1
5.733406592801373,0.0032135548719400314,-1
5.811946409141117,0.02722652259793606,1
5.890486225480862,0.053904964736864326,1
5.969026041820607,0.07640652845090688,1
6.047565858160352,0.09435297493436229,1
6.126105674500097,0.10710923680754891,1
6.204645490839841,0.11450586501944296,1
6.283185307179586,0.11696373263285481,1
