kind,phi_frac_pi,phi,strength,min_abs_energy,edge_weight,nu_ring,glr_zero_bias,gll_zero_bias,glr_probe_0p13,gll_probe_0p13,grr_probe_0p13
dot,0.16,0.5026548245743669,1.7,0.01206851066795407,0.8041661485155359,1,-1.450390510772028e-07,2.040165539018535,8.688032609165335e-09,2.0443448836101803,2.034664142662498
dot,0.16,0.5026548245743669,1.75,0.00991289073704271,0.7875326830592937,1,-1.7840508326596006e-07,2.035080554567096,6.37823853216117e-09,2.0423645449263685,2.034664134477518
dot,0.16,0.5026548245743669,1.8,0.008069077160988088,0.7712820409401243,1,-2.035147040013127e-07,2.0295207178642354,2.694472676570345e-09,2.040439722046151,2.0346641245296904
dot,0.16,0.5026548245743669,1.8499999999999999,0.006487319797655745,0.7555889248438775,1,-2.1638548975542585e-07,2.0235271867325575,-1.6552308351490199e-09,2.038535892462876,2.0346641136891717
dot,0.16,0.5026548245743669,1.9,0.005124552868072283,0.7405856742433441,1,-2.1499133688301234e-07,2.017202713454279,-6.0048619258680624e-09,2.0366243272322646,2.0346641024410754
dot,0.16,0.5026548245743669,1.95,0.003943776218380447,0.7263613929448204,1,-2.004471599234746e-07,2.0107212079477974,-9.785638105486502e-09,2.03468058730505,2.034664090872002
dot,0.16,0.5026548245743669,2.0,0.0029134056972880407,0.7129621160151407,1,-1.7737658438836838e-07,2.004318057554801,-1.2567873635949967e-08,2.032683676247161,2.034664078707544
dot,0.16,0.5026548245743669,2.05,0.0020066418082941464,0.7003921004035877,1,-1.5285789580964205e-07,1.9982552290455966,-1.4087885766260739e-08,2.030615670332684,2.034664065395426
dot,0.16,0.5026548245743669,2.1,0.0012008853792223233,0.6886163889064315,1,-1.3403791862758536e-07,1.9927688710834295,-1.4258745448056253e-08,2.0284617166272465,2.034664050225579
dot,0.16,0.5026548245743669,2.15,0.0004772145079396136,0.6775648082783898,1,-1.254700104103365e-07,1.9880211599105784,-1.316432721905289e-08,2.026210328168102,2.0346640324751917
dot,0.17,0.5340707511102649,1.7,0.011348218070618964,0.7925466242165763,1,-1.8177982553260212e-07,2.0386680996389748,1.105684124403573e-08,2.0456530411493374,2.027086345536715
dot,0.17,0.5340707511102649,1.75,0.009380735308297163,0.7755061383434223,1,-2.2788593145068576e-07,2.0331977081060097,1.021501592538147e-08,2.0436189547549533,2.0270863044044845
