kind,phi_frac_pi,phi,strength,min_abs_energy,edge_weight,nu_ring,glr_zero_bias,gll_zero_bias,glr_probe_0p13,gll_probe_0p13,grr_probe_0p13,abs_glr_probe_0p13,nonlocal_local_ratio,score
dot,0.16,0.5026548245743669,2.15,0.0004772145079396136,0.6775648082783898,1,-1.254700104103365e-07,1.9880211599105784,-1.316432721905289e-08,2.026210328168102,2.0346640324751917,1.316432721905289e-08,6.497019108058129e-09,0.00047721812387237374
dot,0.17,0.5340707511102649,2.15,0.000827917906123851,0.6646239453220768,1,-1.5841718331787665e-07,1.989801581486721,-2.2288964989710767e-08,2.0270952307995236,2.0270860885656896,2.2288964989710767e-08,1.0995519426543957e-08,0.0008279240281410697
dot,0.16,0.5026548245743669,2.1,0.0012008853792223233,0.6886163889064315,1,-1.3403791862758536e-07,1.9927688710834295,-1.4258745448056253e-08,2.0284617166272465,2.034664050225579,1.4258745448056253e-08,7.0293391939210375e-09,0.001200889295375645
dot,0.17,0.5340707511102649,2.1,0.0014828464005896976,0.675506196959992,1,-1.7766132198204173e-07,1.9937779479578723,-2.2052239997491752e-08,2.0293782632580553,2.0270861011350823,2.2052239997491752e-08,1.0866500541938443e-08,0.0014828524569747241
dot,0.18,0.5654866776461628,2.1,0.0017339322093786957,0.6619413950207718,1,-1.9058057013781433e-07,1.9943976011536666,-2.8972558214933964e-08,2.030309445677481,2.0181195867456885,2.8972558214933964e-08,1.4270020895886781e-08,0.001733940166019294
dot,0.16,0.5026548245743669,2.05,0.0020066418082941464,0.7003921004035877,1,-1.5285789580964205e-07,1.9982552290455966,-1.4087885766260739e-08,2.030615670332684,2.034664065395426,1.4087885766260739e-08,6.937741086156724e-09,0.002006645677152642
dot,0.17,0.5340707511102649,2.05,0.0022109813292954302,0.6872034566041354,1,-2.0562340867224726e-07,1.9983641563789174,-1.988749755903855e-08,2.0315682553406433,2.0270861161743734,1.988749755903855e-08,9.789234256224344e-09,0.0022109867906315328
dot,0.18,0.5654866776461628,2.05,0.0023864581218343574,0.6735566670520874,1,-2.275595007840499e-07,1.9981978224145762,-2.3176020605365555e-08,2.0325317099053866,2.0181195837043235,2.3176020605365555e-08,1.1402538269104982e-08,0.0023864644859664225
dot,0.19,0.5969026041820606,2.05,0.0025228715758438673,0.6595615405834394,1,-1.9523713170742028e-07,1.9977880858957966,-1.9675837184350356e-08,2.033498256244178,2.0074785514086595,1.9675837184350356e-08,9.675856433086472e-09,0.002522876978595985
dot,0.16,0.5026548245743669,2.0,0.0029134056972880407,0.7129621160151407,1,-1.7737658438836838e-07,2.004318057554801,-1.2567873635949967e-08,2.032683676247161,2.034664078707544,1.2567873635949967e-08,6.18289691741579e-09,0.0029134091484012956
dot,0.17,0.5340707511102649,2.0,0.003030098895330578,0.6997830807318098,1,-2.3724228517061912e-07,2.00353526354586,-1.5955180442352214e-08,2.0336770255114023,2.027086135210525,1.5955180442352214e-08,7.845483939781449e-09,0.0030301032763998858
dot,0.18,0.5654866776461628,2.0,0.0031209301939446863,0.6861377189623508,1,-2.6686200978310957e-07,2.0026009387705273,-1.5750059966291316e-08,2.034677087137601,2.0181195957709854,1.5750059966291316e-08,7.740815516062364e-09,0.0031209345185004536
dot,0.19,0.5969026041820606,2.0,0.0031767299583387865,0.6721336892221715,1,-2.4457224758221484e-07,2.0015446916273354,-9.08188604613861e-09,2.03567589229643,2.007478530111758,9.08188604613861e-09,4.461361496939184e-09,0.0031767324518783726
dot,0.2,0.6283185307179586,1.95,0.0038529328681025615,0.671542810681729,1,-2.380049806566038e-07,2.004309260045208,7.974593442872198e-09,2.0388164162367453,1.994810315478274,7.974593442872198e-09,3.9113837711743225e-09,0.0038529350573201105
dot,0.19,0.5969026041820606,1.95,0.0039227502599182805,0.6857601979645875,1,-2.8834230546853955e-07,2.00596394488834,3.721062189484669e-10,2.0377953486367635,2.0074785385235665,3.721062189484669e-10,1.8260234973909283e-10,0.0039227503620749525
dot,0.16,0.5026548245743669,1.95,0.003943776218380447,0.7263613929448204,1,-2.004471599234746e-07,2.0107212079477974,-9.785638105486502e-09,2.03468058730505,2.034664090872002,9.785638105486502e-09,4.80942225848218e-09,0.003943778905261086
dot,0.18,0.5654866776461628,1.95,0.003957085317824784,0.6997068893076311,1,-3.008421346235724e-07,2.0076006585935793,-7.570838961637534e-09,2.036760402804912,2.0181196241762698,7.570838961637534e-09,3.7170984624462453e-09,0.003957087396389448
dot,0.17,0.5340707511102649,1.95,0.003961377205503955,0.7132747810323181,1,-2.650637945614079e-07,2.0091962317201357,-1.064928709452009e-08,2.03571943741574,2.0270861593324594,1.064928709452009e-08,5.231215509755564e-09,0.003961380129386505
dot,0.21,0.6597344572538565,1.9,0.00442289257014282,0.6719158946641185,1,-3.0661714314457814e-07,2.0068792635554926,-1.903913491601932e-08,2.0419575187155186,1.9796778418747876,1.903913491601932e-08,9.323962296725828e-09,0.004422897796124664
dot,0.2,0.6283185307179586,1.9,0.004618048148944907,0.6862689186424048,1,-2.8560143358331673e-07,2.0089411562909163,8.02388009516326e-09,2.040928769099619,1.9948102925417515,8.02388009516326e-09,3.931484634176181e-09,0.004618050351489163
dot,0.19,0.5969026041820606,1.9,0.004782535533825341,0.7004121930252594,1,-3.173275791062913e-07,2.0110259839466456,7.378864670915474e-09,2.039873390766061,2.0074785751950497,7.378864670915474e-09,3.6173150276470786e-09,0.00478253755940726
dot,0.22,0.6911503837897545,1.8499999999999999,0.004900555038721276,0.6731788228598238,1,-6.5162360262846e-07,2.009492072546435,-1.423135550886808e-07,2.045100436399314,1.9615373484094563,1.423135550886808e-07,6.958756281879425e-08,0.004900594096488189
dot,0.18,0.5654866776461628,1.9,0.0049182682989868795,0.7142449205470636,1,-3.212447810467072e-07,2.013116493304911,3.332331323165836e-10,2.038798850366226,2.018119668849457,3.332331323165836e-10,1.634458113691429e-10,0.0049182683904674535
dot,0.17,0.5340707511102649,1.9,0.0050298999388454675,0.7276675593077587,1,-2.8151635624035556e-07,2.0151878649987425,-4.570799605164668e-09,2.0377130705029445,2.0270861890016922,4.570799605164668e-09,2.243102658234661e-09,0.0050299011937005025
dot,0.16,0.5026548245743669,1.9,0.005124552868072283,0.7405856742433441,1,-2.1499133688301234e-07,2.017202713454279,-6.0048619258680624e-09,2.0366243272322646,2.0346641024410754,6.0048619258680624e-09,2.9484386715681436e-09,0.005124554516709698
dot,0.21,0.6597344572538565,1.8499999999999999,0.005216000608271592,0.6876747925217043,1,-3.6221152732910586e-07,2.0118606808517416,-3.9843470072702114e-08,2.044080087373355,1.979677686343549,3.9843470072702114e-08,1.949212769050601e-08,0.005216011543745494
dot,0.22999999999999998,0.7225663103256523,1.8,0.005303496542587462,0.675056521783914,1,-1.4723422140598229e-06,2.012268837437984,-3.209790959009045e-07,2.0482420725627444,1.939712311137817,3.209790959009045e-07,1.5670955118078303e-07,0.005303584622838997
dot,0.2,0.6283185307179586,1.8499999999999999,0.005510007408909279,0.7019844162950089,1,-3.074378822518464e-07,2.0142461569855814,2.3119651317456053e-09,2.0430205406192274,1.9948102951189566,2.3119651317456053e-09,1.1316406691852752e-09,0.005510008043482595
