method,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,object_family,aberration_id,better_than_fixed,condition
phase_only_stack,natural_object_eval_object_10,17.095284365085792,19.877579422953204,19.02779257912952,1.9325082140437289,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_11,21.66281951363726,25.22396649059306,21.71319445534339,0.0503749417061314,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_00,19.51877954062885,22.94328866936817,20.03678259084324,0.5180030502143893,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_01,19.52164511559177,22.114277115881656,18.91248034082544,-0.609164774766338,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_02,18.186379443095834,21.84017803582976,20.65438079726256,2.468001354166727,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_03,20.910408925742907,23.72619529217152,19.618171886158827,-1.29223703958408,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_04,21.4576363280704,23.801444579990488,22.69563947331377,1.238003145243372,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_05,20.375103631462995,22.50473622221537,21.159547162979493,0.7844435315164979,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_06,19.892394837383875,22.633110120640016,22.01342338830564,2.121028550921764,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_07,27.14652971036349,29.75237746784835,23.899797778605784,-3.2467319317577115,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_08,18.80117135181588,20.921060842948567,19.92907230493996,1.1279009531240796,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_09,21.147320837294792,22.81743393322557,21.796221610327315,0.6489007730325227,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_10,17.191992321163173,19.024114973123545,19.47875709379962,2.2867647726364453,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_11,22.640345029946328,24.79549124170434,23.005510067195097,0.3651650372487687,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_00,19.09297262457729,22.519789772188545,19.726879696697733,0.6339070721204436,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_01,17.70280693610308,21.53441424829852,17.834367909644488,0.1315609735414078,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_02,17.904859016290853,21.51984468699569,20.248844873249787,2.343985856958934,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_03,20.95253889294425,26.04459876985309,19.276715390938392,-1.675823502005862,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_04,20.752529580949247,23.355873001667383,22.240906903687524,1.4883773227382768,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_05,19.93116225765096,25.02490295697626,20.95392411090892,1.0227618532579577,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_06,19.412075569509152,22.64008947491351,22.00929650661365,2.5972209371045025,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_07,26.890020171332907,31.10745578911121,23.67597281780816,-3.214047353524748,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_08,18.268126109709225,21.21906742043444,19.78189237708388,1.5137662673746526,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_09,21.41476884025423,25.493621220182845,23.24852881080983,1.833759970555601,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_10,17.522383041448904,22.819652823364592,19.026691182319308,1.504308140870403,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_11,21.256566914227346,26.25070316138612,21.590061135480315,0.3334942212529732,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
