method,mean_psnr_gain,std_psnr_gain,better_than_fixed_fraction,ci_low,ci_high,n_seeds,n_samples,aggregation_scope
phase_only_stack,4.057109203555888,0.2031721157173392,0.7786458333333334,3.931182,4.183037,10,,dual_ledger_pooled
reference_psf_deconvolution,2.706126522114352,0.1015541056609938,1.0,2.643183,2.76907,10,,dual_ledger_pooled
parameter_matched_digital_surrogate,2.393125120053658,0.0417059935232138,0.75,2.367275,2.418975,10,,dual_ledger_pooled
spectral_frontend,1.8911871867656664,0.0749131889766538,0.74375,1.844756,1.937619,10,,dual_ledger_pooled
trainable_surrogate_ridge,1.3795402999315205,0.0462830112340942,0.7447916666666667,1.350854,1.408227,10,,dual_ledger_pooled
