sample_id,psnr_fixed,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,method,object_family,aberration_id,psnr_guided,better_than_fixed,condition
Kodak-PCD0992:kodim01,27.790705693646483,25.895239571683888,-1.8954661219625957,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim02,30.289387467950792,28.314882492657425,-1.9745049752933677,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim03,24.425261526855053,24.24258793220821,-0.1826735946468431,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim04,25.74407117584066,24.654953066952142,-1.0891181088885131,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim05,26.443905876364617,24.148727609613392,-2.295178266751225,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim06,24.750944971861657,24.79945608391376,0.048511112052104,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim07,26.559553252123383,26.10644202320262,-0.4531112289207648,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim08,22.555480965228018,22.683166595396813,0.1276856301687949,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim09,25.478038337231887,24.55146561746239,-0.9265727197694956,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim10,26.21582770770829,25.666126347337126,-0.5497013603711594,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim11,27.75958329929396,25.864801603005315,-1.8947816962886428,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
Kodak-PCD0992:kodim12,21.827796398423025,24.07363903483256,2.2458426364095345,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,True,clean_reference:0.0
Kodak-PCD0992:kodim01,27.92063435081403,26.29880419014067,-1.6218301606733585,0,Kodak-PCD0992,unrestricted public release,clean_reference,0.0,robust_mask_mixed_train,robust_phase_only_stack,,,,False,clean_reference:0.0
