aberration_id,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,psnr_gap_to_guided,dataset_name,dataset_version,training_regime,seed,method,object_family,better_than_fixed
0,Kodak-PCD0992:kodim01,26.76139708326009,28.203795996094097,25.12531692281587,-1.636080160444216,3.078479073278228,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim02,29.280019767186864,29.88855062261497,28.017094492447477,-1.262925274739391,1.8714561301674983,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim03,23.72914971373481,25.04130789982608,22.75093310923851,-0.9782166044962964,2.290374790587567,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim04,25.281016212952807,26.38378652011181,23.80802903009292,-1.4729871828598888,2.575757490018894,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim05,26.228848875267023,27.30693974945074,24.076106698468976,-2.15274217679805,3.230833050981765,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim06,24.11596052223843,25.65806263156493,22.981160811412305,-1.1347997108261296,2.6769018201526293,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim07,25.70490625102257,27.008338821399818,24.483575813620888,-1.221330437401683,2.5247630077789296,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim08,21.605922750868988,23.16890919384299,21.192874974931648,-0.4130477759373399,1.976034218911341,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim09,24.57493164866385,25.27960817232838,23.44507035721877,-1.1298612914450743,1.8345378151096088,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim10,25.72687137189792,26.765139198695927,23.97049217682633,-1.7563791950715952,2.7946470218696007,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim11,27.240342910415904,28.403698049288145,26.209750094454968,-1.0305928159609363,2.193947954833174,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,Kodak-PCD0992:kodim12,21.10153436555518,22.32987344444367,22.345631052683373,1.2440966871281915,-0.0157576082397028,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,Kodak-PCD0992:kodim01,27.7124921582196,29.682409064414674,25.508039070571336,-2.2044530876482646,4.174369993843339,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim02,30.35935587138447,32.343297586571985,28.599109030006904,-1.7602468413775654,3.7441885565650814,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim03,24.3371188455154,26.774618967287324,22.928122801134396,-1.4089960443810092,3.846496166152932,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim04,25.337556954253003,26.99160208672295,23.7012024491814,-1.6363545050716013,3.2903996375415474,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim05,26.000978698810616,27.550394077293667,23.98948249752221,-2.0114962012884057,3.560911579771457,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim06,23.928953243300075,25.694395438934556,22.759476842711504,-1.1694764005885716,2.9349185962230493,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim07,26.55535453296903,28.741508288712645,24.787744789316477,-1.7676097436525566,3.953763499396171,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim08,22.24660801146845,24.29950975889212,21.49589871389683,-0.7507092975716176,2.803611044995293,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim09,24.682652435451,26.401775612869343,23.172712464878288,-1.5099399705727097,3.229063147991056,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim10,26.03509499288373,28.105843222831687,24.289627598346428,-1.7454673945373038,3.81621562448526,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,Kodak-PCD0992:kodim11,27.48778396245473,29.31711556864469,26.39415952302457,-1.0936244394301688,2.9229560456201256,Kodak-PCD0992,unrestricted public release,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
