pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background
s_wave,0.0,0.05,0.03331483023263848,3.1148104261924505,2.2204460492503132e-17,3.1148104261924505
s_wave,0.5,0.05,0.22665186418611072,2.6918483409539604,0.19999999999999998,2.4918483409539602
s_wave,1.0,0.05,0.5166574151163192,2.0574052130962253,0.5,1.5574052130962253
s_wave,2.0,0.05,0.8066629660465277,1.42296208523849,0.8,0.6229620852384901
s_wave,0.0,0.2,0.13216372009101796,1.7412277092726391,-2.2204460492503132e-17,1.7412277092726391
s_wave,0.5,0.2,0.3057309760728143,1.5929821674181115,0.19999999999999993,1.3929821674181115
s_wave,1.0,0.2,0.566081860045509,1.3706138546363196,0.5,0.8706138546363196
s_wave,2.0,0.2,0.8264327440182035,1.1482455418545279,0.8,0.34824554185452783
s_wave,0.0,0.5,0.3162277660168379,1.2786621030634608,8.881784197001253e-17,1.2786621030634608
s_wave,0.5,0.5,0.4529822128134703,1.2229296824507687,0.2,1.0229296824507688
s_wave,1.0,0.5,0.658113883008419,1.1393310515317303,0.5,0.6393310515317303
s_wave,2.0,0.5,0.8632455532033676,1.0557324206126921,0.8,0.2557324206126921
nodal_even,0.0,0.05,0.08095353994679866,1.8533275311544255,4.4408920985006264e-17,1.8533275311544255
nodal_even,0.5,0.05,0.2647628319574389,1.6826620249235404,0.19999999999999998,1.4826620249235405
nodal_even,1.0,0.05,0.5404767699733993,1.4266637655772128,0.5,0.9266637655772128
nodal_even,2.0,0.05,0.8161907079893598,1.170665506230885,0.8,0.370665506230885
nodal_even,0.0,0.2,0.23701870020868132,1.4131770510308754,4.4408920985006264e-17,1.4131770510308754
nodal_even,0.5,0.2,0.38961496016694497,1.3305416408247004,0.19999999999999998,1.1305416408247004
nodal_even,1.0,0.2,0.6185093501043406,1.2065885255154378,0.5,0.7065885255154378
nodal_even,2.0,0.2,0.8474037400417362,1.082635410206175,0.8,0.282635410206175
nodal_even,0.0,0.5,0.46077272541790015,1.1707494761669195,2.2204460492503132e-17,1.1707494761669195
nodal_even,0.5,0.5,0.5686181803343201,1.1365995809335356,0.19999999999999996,0.9365995809335357
nodal_even,1.0,0.5,0.7303863627089501,1.0853747380834597,0.5,0.5853747380834597
nodal_even,2.0,0.5,0.89215454508358,1.0341498952333839,0.8,0.2341498952333838
odd_proxy,0.0,0.05,0.11083386034481735,1.530020881137662,2.2204460492503132e-17,1.530020881137662
odd_proxy,0.5,0.05,0.28866708827585386,1.4240167049101298,0.19999999999999998,1.2240167049101298
odd_proxy,1.0,0.05,0.5554169301724087,1.265010440568831,0.5,0.7650104405688309
odd_proxy,2.0,0.05,0.8221667720689635,1.1060041762275323,0.8,0.3060041762275323
odd_proxy,0.0,0.2,0.29931072323328944,1.2860015660558342,2.2204460492503132e-17,1.2860015660558342
odd_proxy,0.5,0.2,0.43944857858663156,1.2288012528446672,0.19999999999999998,1.0288012528446673
odd_proxy,1.0,0.2,0.6496553616166447,1.143000783027917,0.5,0.643000783027917
odd_proxy,2.0,0.2,0.8598621446466579,1.057200313211167,0.8,0.2572003132111669
odd_proxy,0.0,0.5,0.5427630338275347,1.1260060489561576,0.0,1.1260060489561576
odd_proxy,0.5,0.5,0.6342104270620277,1.100804839164926,0.19999999999999998,0.9008048391649262
odd_proxy,1.0,0.5,0.7713815169137673,1.0630030244780788,0.5,0.5630030244780788
odd_proxy,2.0,0.5,0.908552606765507,1.0252012097912315,0.8,0.22520120979123148
