method,seed,ledger,case_id,object_id,fixed_psnr_lowres,method_psnr_lowres,psnr_gain_over_fixed_lowres,better_than_fixed
reference_psf_deconvolution,0,same_family_heldout_aberration,7,heldout_aberration_object_05,19.8615562694013,21.34252279364415,1.4809665242428487,True
reference_psf_deconvolution,0,same_family_heldout_aberration,8,heldout_aberration_object_00,21.723022628684415,24.07368873986013,2.350666111175716,True
reference_psf_deconvolution,0,same_family_heldout_aberration,8,heldout_aberration_object_01,16.238650189306597,17.97173656990808,1.7330863806014847,True
reference_psf_deconvolution,0,same_family_heldout_aberration,8,heldout_aberration_object_02,22.472489334488305,24.911627642926355,2.43913830843805,True
reference_psf_deconvolution,0,same_family_heldout_aberration,8,heldout_aberration_object_03,15.291371501399135,17.077050270179722,1.7856787687805866,True
reference_psf_deconvolution,0,same_family_heldout_aberration,8,heldout_aberration_object_04,18.62830478830794,22.180589871255822,3.5522850829478827,True
reference_psf_deconvolution,0,same_family_heldout_aberration,8,heldout_aberration_object_05,20.491690469435177,24.004798313313692,3.5131078438785153,True
reference_psf_deconvolution,0,same_family_heldout_aberration,9,heldout_aberration_object_00,20.93835416452293,24.68183450372298,3.7434803392000475,True
reference_psf_deconvolution,0,same_family_heldout_aberration,9,heldout_aberration_object_01,16.159625979371313,18.069175034940336,1.9095490555690233,True
reference_psf_deconvolution,0,same_family_heldout_aberration,9,heldout_aberration_object_02,22.367390106621173,25.053169825449608,2.685779718828435,True
reference_psf_deconvolution,0,same_family_heldout_aberration,9,heldout_aberration_object_03,15.396867925055012,18.66075753473153,3.263889609676518,True
reference_psf_deconvolution,0,same_family_heldout_aberration,9,heldout_aberration_object_04,18.31629859881615,21.47942540823456,3.1631268094184115,True
reference_psf_deconvolution,0,same_family_heldout_aberration,9,heldout_aberration_object_05,20.398731175418057,23.616030886576937,3.21729971115888,True
reference_psf_deconvolution,0,same_family_heldout_aberration,10,heldout_aberration_object_00,16.44004220079319,17.540168185409126,1.1001259846159357,True
reference_psf_deconvolution,0,same_family_heldout_aberration,10,heldout_aberration_object_01,14.762330370945893,16.72749119837697,1.9651608274310775,True
reference_psf_deconvolution,0,same_family_heldout_aberration,10,heldout_aberration_object_02,18.633380734022126,21.05244154451148,2.4190608104893556,True
reference_psf_deconvolution,0,same_family_heldout_aberration,10,heldout_aberration_object_03,13.274959543036541,14.556815696630231,1.28185615359369,True
reference_psf_deconvolution,0,same_family_heldout_aberration,10,heldout_aberration_object_04,15.386787385685043,18.584727418387484,3.1979400327024408,True
reference_psf_deconvolution,0,same_family_heldout_aberration,10,heldout_aberration_object_05,17.370015016968253,20.71059336144883,3.3405783444805763,True
reference_psf_deconvolution,0,same_family_heldout_aberration,11,heldout_aberration_object_00,18.78795883220327,21.687170052924138,2.8992112207208685,True
reference_psf_deconvolution,0,same_family_heldout_aberration,11,heldout_aberration_object_01,15.468666359869829,17.380025164238035,1.9113588043682057,True
reference_psf_deconvolution,0,same_family_heldout_aberration,11,heldout_aberration_object_02,20.485876967512553,23.801221990434854,3.315345022922301,True
reference_psf_deconvolution,0,same_family_heldout_aberration,11,heldout_aberration_object_03,14.792595791186551,17.87328025531316,3.080684464126607,True
reference_psf_deconvolution,0,same_family_heldout_aberration,11,heldout_aberration_object_04,16.87895141621619,19.1040148939557,2.2250634777395106,True
reference_psf_deconvolution,0,same_family_heldout_aberration,11,heldout_aberration_object_05,19.071533727309244,22.396204856790476,3.3246711294812314,True
reference_psf_deconvolution,0,same_family_heldout_aberration,12,heldout_aberration_object_00,21.31543913654299,26.59138528394454,5.275946147401548,True
reference_psf_deconvolution,0,same_family_heldout_aberration,12,heldout_aberration_object_01,16.1125855796737,19.22298511499652,3.11039953532282,True
reference_psf_deconvolution,0,same_family_heldout_aberration,12,heldout_aberration_object_02,21.704921980678282,25.577073362682864,3.8721513820045814,True
reference_psf_deconvolution,0,same_family_heldout_aberration,12,heldout_aberration_object_03,15.75561058062113,20.622185545451707,4.866574964830576,True
reference_psf_deconvolution,0,same_family_heldout_aberration,12,heldout_aberration_object_04,18.67598098246698,23.95931717610263,5.283336193635648,True
reference_psf_deconvolution,0,same_family_heldout_aberration,12,heldout_aberration_object_05,19.6162241169502,24.9504602623783,5.3342361454281,True
reference_psf_deconvolution,0,same_family_heldout_aberration,13,heldout_aberration_object_00,18.46234937212994,21.518857571818423,3.0565081996884835,True
reference_psf_deconvolution,0,same_family_heldout_aberration,13,heldout_aberration_object_01,14.970837906906016,17.233027710454007,2.26218980354799,True
reference_psf_deconvolution,0,same_family_heldout_aberration,13,heldout_aberration_object_02,18.98649048976645,21.740091068177847,2.7536005784113975,True
reference_psf_deconvolution,0,same_family_heldout_aberration,13,heldout_aberration_object_03,14.563867288886957,18.00090902106611,3.4370417321791535,True
reference_psf_deconvolution,0,same_family_heldout_aberration,13,heldout_aberration_object_04,15.665732315907604,19.380794203434377,3.7150618875267725,True
reference_psf_deconvolution,0,same_family_heldout_aberration,13,heldout_aberration_object_05,17.358815827130776,21.542147378886078,4.183331551755302,True
reference_psf_deconvolution,0,same_family_heldout_aberration,14,heldout_aberration_object_00,20.49688768032675,23.048687172697093,2.5517994923703426,True
reference_psf_deconvolution,0,same_family_heldout_aberration,14,heldout_aberration_object_01,16.008872057008322,17.122026691284113,1.1131546342757908,True
reference_psf_deconvolution,0,same_family_heldout_aberration,14,heldout_aberration_object_02,22.063333557564416,24.42950375132628,2.3661701937618638,True
reference_psf_deconvolution,0,same_family_heldout_aberration,14,heldout_aberration_object_03,15.028164229421876,16.784031000929943,1.7558667715080674,True
reference_psf_deconvolution,0,same_family_heldout_aberration,14,heldout_aberration_object_04,17.762491567748746,19.478365155023052,1.7158735872743058,True
reference_psf_deconvolution,0,same_family_heldout_aberration,14,heldout_aberration_object_05,20.3491403107655,22.331380598890554,1.9822402881250554,True
reference_psf_deconvolution,0,same_family_heldout_aberration,15,heldout_aberration_object_00,20.237347201473312,23.65943872445009,3.4220915229767783,True
reference_psf_deconvolution,0,same_family_heldout_aberration,15,heldout_aberration_object_01,16.0636314697928,18.008672678414737,1.9450412086219373,True
reference_psf_deconvolution,0,same_family_heldout_aberration,15,heldout_aberration_object_02,22.099660734184585,24.830331640599617,2.730670906415032,True
