metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,17.36647463078127,0.1205272178623904,0.10564676449345886,5
mean_guided_psnr_lowres,19.832506062870415,0.1367588097190714,0.11987438206109059,5
mean_phaseonly_psnr_lowres,17.850559007808535,0.16270463936388813,0.14261690447791886,5
mean_phaseonly_psnr_gain_over_fixed_lowres,0.4840843770272663,0.26382025873124326,0.2312486526869398,5
mean_phaseonly_psnr_gap_to_guided_lowres,1.981947055061879,0.28596379625877016,0.25065831911509595,5
mean_fixed_ssim_lowres,0.8310751124371801,0.004824586340671211,0.004228936384254652,5
mean_guided_ssim_lowres,0.9015153975627997,0.0031233652816376996,0.0027377503786154313,5
mean_phaseonly_ssim_lowres,0.8456328872170793,0.005145485770119193,0.004510217136023793,5
mean_phaseonly_ssim_gain_over_fixed_lowres,0.014557774779899122,0.009782092199385342,0.00857438186303845,5
phaseonly_better_than_fixed_fraction,0.54375,0.07489865838436478,0.0656515686958219,5
