candidate,eta,alpha,phi,barrier_Z,zero_bias_conductance,peak_conductance,peak_bias,background_conductance,peak_minus_background,subgap_average,zero_bias_andreev,zero_bias_normal,mean_frustration,pos_peak_bias,neg_peak_bias,pos_peak_contrast,neg_peak_contrast,peak_split,peak_asymmetry
s_wave,0.0,0.0,0.0,0.0,1.9680000000540006,1.9680000000540006,0.0,1.1178807180254846,0.8501192820285159,1.8401966300859953,0.9680000000540002,0.0,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8499210762210543,0.8499210762210543,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.0,0.5,1.7537920000423133,1.7537920000423133,0.0,0.9116540031827709,0.8421379968595424,1.627188503036598,0.7744000000432003,0.015488,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8419416518933827,0.8419416518933827,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.0,1.0,1.4252800000228845,1.4252800000228845,0.0,0.5951139309170589,0.8301660691058256,1.3004763124607053,0.4840000000270001,0.03872000000000001,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8299725154016183,0.8299725154016183,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.0,2.0,1.1111680000064224,1.1111680000064224,0.0,0.2929738586546034,0.818194141351819,0.9881641218878495,0.19360000001080008,0.061952000000000014,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8180033789095644,0.8180033789095644,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.0,3.0,1.0141440000026107,1.0141440000026107,0.0,0.19994050123552834,0.8142034987670824,0.8917400583652635,0.09680000000540004,0.06969600000000002,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.814013666745479,0.814013666745479,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.39269908169872414,0.0,1.9675724682516045,1.9675724682516045,0.0,1.1164632834920067,0.8511091847595977,1.8384938101496877,0.9675724682516045,0.0,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.850908420128347,0.850908420128347,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.39269908169872414,0.5,1.7534568151092307,1.7534568151092307,0.0,0.9102605064239322,0.8431963086852985,1.6255782168760464,0.7740579746012837,0.01548115949116205,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.842997410586183,0.842997410586183,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.39269908169872414,1.0,1.4250833353937755,1.4250833353937755,0.0,0.5937563408201784,0.8313269945735972,1.2990048269637908,0.48378623412580224,0.03870289872790513,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8311308962726848,0.8311308962726848,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.39269908169872414,2.0,1.1111098556812906,1.1111098556812906,0.0,0.29165217521968123,0.8194576804616094,0.986831437054575,0.19351449365032092,0.06192463796464822,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8192643819589007,0.8192643819589007,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.39269908169872414,3.0,1.0141320291121394,1.0141320291121394,0.0,0.19863078668792566,0.8155012424242137,0.8904536404198699,0.09675724682516046,0.06966521771022924,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8153088771875731,0.8153088771875731,0.0031999999999999806,0.0
