candidate,monotonic_fraction,max_phi_peak_drift,phi_drift_eta,phi_drift_alpha,phi_drift_barrier_Z,max_alpha_split_coupling,alpha_coupling_eta,alpha_coupling_phi,alpha_coupling_barrier_Z,max_peak_asymmetry_range,peak_asym_eta,peak_asym_phi,peak_asym_barrier_Z
chiral,0.0,0.09280000000000005,1.0,0.5235987755982988,2.0,0.18560000000000004,1.0,0.7853981633974483,2.0,8.881784197001252e-16,0.0,1.5707963267948966,0.5
control_double_peak,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
