metric,mean,std,ci95_half_width,seed_count
mean_fixed_psnr_lowres,17.844623935063254,0.25968055694667663,0.2938562133346924,3
mean_guided_psnr_lowres,20.81722974790135,0.2816914017355762,0.31876382897605837,3
mean_phaseonly_psnr_lowres,28.987673278796866,1.1995840423660937,1.3574571327602616,3
mean_phaseonly_psnr_gain_over_fixed_lowres,11.143049343733614,0.9413341033646037,1.0652198160308608,3
mean_phaseonly_psnr_gap_to_guided_lowres,-8.170443530895517,0.9819669266346154,1.1112001840784973,3
mean_fixed_ssim_lowres,0.8312195063721282,0.009453110960725509,0.010697202069394379,3
mean_guided_ssim_lowres,0.9110153976863575,0.005749147594655103,0.006505772946314626,3
mean_phaseonly_ssim_lowres,0.987895000797305,0.0029645447653694206,0.0033546982078890325,3
mean_phaseonly_ssim_gain_over_fixed_lowres,0.15667549442517684,0.006508058807801366,0.007364561828988626,3
phaseonly_better_than_fixed_fraction,1.0,0.0,0.0,3
