k2_reduced,baseline_E0,corrected_E0,delta_E0
0.0,0.1188686729700173,0.030673093860560958,-0.08819557910945634
0.024390243902439025,0.12040064995020171,-0.013403383360038233,-0.13380403331023993
0.04878048780487805,0.11613312442303647,0.028927281076650244,-0.08720584334638623
0.07317073170731708,0.11206205002977683,0.06383342859418684,-0.048228621435589994
0.0975609756097561,0.1055775757270931,0.05756441175402558,-0.04801316397306752
0.12195121951219512,0.10086102629812961,0.07535556422263404,-0.025505462075495575
0.14634146341463417,0.15009905968790793,-0.021128352581239917,-0.17122741226914784
0.17073170731707318,-0.025027398691542087,-0.02511953988199012,-9.214119044803279e-05
0.1951219512195122,0.1043521339653567,-0.013742850488948787,-0.11809498445430548
0.21951219512195122,0.0010075596198880555,-0.007961717151294899,-0.008969276771182954
0.24390243902439024,-0.048007544899094035,-0.008447505259114052,0.039560039639979984
0.2682926829268293,-0.04555297274768794,-0.008253919777156548,0.0372990529705314
0.29268292682926833,-0.03363377575773974,-0.01076678526090814,0.022866990496831597
0.3170731707317073,-0.03055076767817281,-0.0044629081748046905,0.02608785950336812
0.34146341463414637,0.03848685947578749,0.018076443863160617,-0.020410415612626874
0.36585365853658536,0.04822033086049718,0.009541091888321945,-0.038679238972175234
0.3902439024390244,0.03819015999838495,0.006174478035081411,-0.03201568196330354
0.41463414634146345,0.027332546058240058,0.008215026907165301,-0.019117519151074756
0.43902439024390244,0.015806942813170043,0.008172575929552993,-0.007634366883617049
0.4634146341463415,0.0023584715406654248,0.008921816617622761,0.006563345076957336
0.4878048780487805,-0.010451369727265214,0.00693112288009624,0.017382492607361452
0.5121951219512195,-0.01824025862896293,0.007494057621999655,0.025734316250962584
0.5365853658536586,-0.0016185740411438546,0.003734879497958715,0.005353453539102569
0.5609756097560976,0.0439350901807196,0.0032158254448463697,-0.040719264735873235
0.5853658536585367,0.04260282627971546,0.0030601148581835395,-0.03954271142153192
0.6097560975609756,0.044947946265646285,0.003640582704203062,-0.041307363561443225
0.6341463414634146,0.050821679595176555,0.006000231933439806,-0.04482144766173675
0.6585365853658537,0.06012116799980888,0.011364147341771609,-0.04875702065803727
0.6829268292682927,0.07066289711767051,0.024111990117957133,-0.046550906999713385
0.7073170731707318,0.0776080690640725,0.0436504335672756,-0.0339576354967969
0.7317073170731707,0.08193966800759064,0.042125365921761734,-0.03981430208582891
0.7560975609756098,0.04449293133528524,0.04448398615173735,-8.945183547895419e-06
0.7804878048780488,0.0045860598119427725,0.06157422206639738,0.056988162254454605
0.8048780487804879,0.01724199182629424,0.00982903093843034,-0.0074129608878639
0.8292682926829269,0.029936357139011854,0.02615600656861538,-0.003780350570396475
0.8536585365853658,0.04311158543133592,0.04070263516063825,-0.0024089502706976726
0.8780487804878049,0.055838302661378965,0.05411381502611621,-0.0017244876352627558
0.9024390243902439,0.0719385595621242,0.0021984977181908135,-0.06974006184393337
0.926829268292683,0.7834369487050755,1.7510112557081468,0.9675743070030712
0.951219512195122,0.022763056091600602,0.022687989248171194,-7.506684342940828e-05
0.975609756097561,0.030075952268715005,0.030182898470938493,0.00010694620222348808
