k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight
0.0,-80.0,0.0008019940477186535,0.0009272596877060153,0.00012526563998736188
0.0,-79.16666666666667,0.0008401049803875763,0.0009697775833758367,0.0001296726029882604
0.0,-78.33333333333333,0.0008812602267440682,0.0010154605892620002,0.00013420036251793202
0.0,-77.5,0.0009258169896122939,0.0010646504622498745,0.00013883347263758065
0.0,-76.66666666666667,0.0009741894824887894,0.0011177391530736932,0.00014354967058490388
0.0,-75.83333333333333,0.0010268606971722087,0.0011751783871552016,0.00014831768998299286
0.0,-75.0,0.0010843972020925998,0.0012374915393914031,0.00015309433729880336
0.0,-74.16666666666667,0.0011474679199898984,0.001305288473000899,0.00015782055301100063
0.0,-73.33333333333333,0.0012168681875509078,0.0013792842463574758,0.00016241605880656798
0.0,-72.5,0.0012935509087670302,0.0014603229214740767,0.0001667720127070465
0.0,-71.66666666666667,0.0013786673572420997,0.0015494081791632163,0.00017074082192111662
0.0,-70.83333333333333,0.0014736212861256334,0.0016477431296976948,0.00017412184357206133
0.0,-70.0,0.0015801416713984303,0.00175678271568819,0.00017664104428975974
0.0,-69.16666666666667,0.0017003819821424621,0.0018783036154308458,0.0001779216332883837
0.0,-68.33333333333333,0.0018370579122852118,0.0020144988650570104,0.00017744095277179859
0.0,-67.5,0.0019936420185723874,0.0021681080221395764,0.00017446600356718894
0.0,-66.66666666666667,0.0021746444762353774,0.002342599446636949,0.0001679549704015717
0.0,-65.83333333333333,0.0023860274979403905,0.0025424306925536104,0.0001564031946132199
0.0,-65.0,0.0026358332257186536,0.0027734288567761054,0.00013759563105745186
0.0,-64.16666666666667,0.002935163841831452,0.003043360265915325,0.00010819642408387313
0.0,-63.33333333333333,0.0032997650018044104,0.003362808416648257,6.304341484384638e-05
0.0,-62.5,0.003752688757373181,0.0037465718160293975,-6.116941343783759e-06
0.0,-61.666666666666664,0.004328989916445666,0.004215975013395816,-0.00011301490304985
0.0,-60.83333333333333,0.005084496775843827,0.004802860899706522,-0.00028163587613730477
0.0,-60.0,0.006113387815549898,0.00555685329407888,-0.0005565345214710183
0.0,-59.166666666666664,0.007586708520781997,0.006559405288150813,-0.0010273032326311837
0.0,-58.33333333333333,0.009847339703139514,0.007953037741818167,-0.0018943019613213465
0.0,-57.5,0.013686420694262943,0.01000767202782961,-0.003678748666433333
0.0,-56.666666666666664,0.021392131509844498,0.01328601318995167,-0.008106118319892828
0.0,-55.83333333333333,0.04405650887498454,0.019084865049185103,-0.024971643825799434
0.0,-55.0,0.13353922090935655,0.030453990785833933,-0.10308523012352261
0.0,-54.166666666666664,0.1294640950856143,0.052404183261932004,-0.0770599118236823
0.0,-53.33333333333333,0.11970459450505239,0.0886495876929745,-0.031055006812077887
0.0,-52.5,0.10961566506723833,0.14796890892322395,0.038353243855985625
0.0,-51.666666666666664,0.0996527453997698,0.1399380519908004,0.04028530659103059
0.0,-50.83333333333333,0.08995492391985152,0.12576656760030408,0.03581164368045256
0.0,-50.0,0.08070102784491921,0.11148478654011643,0.030783758695197214
0.0,-49.166666666666664,0.0721298467096532,0.09730505059067039,0.025175203881017197
0.0,-48.33333333333333,0.06446842691653584,0.08409674717147149,0.019628320254935647
0.0,-47.5,0.05785487863312752,0.07264337462817373,0.01478849599504621
0.0,-46.666666666666664,0.05230464520842819,0.06322631086209589,0.0109216656536677
0.0,-45.83333333333333,0.04772918144677133,0.05571913147286973,0.007989950026098397
0.0,-45.0,0.043997093629779674,0.04981174110066926,0.0058146474708895834
0.0,-44.166666666666664,0.04096436882636318,0.04516526325952752,0.004200894433164341
0.0,-43.33333333333333,0.038462472250091945,0.04148220818702196,0.0030197359369300153
0.0,-42.5,0.03638904915504546,0.03852598260376437,0.00213693344871891
0.0,-41.666666666666664,0.034632697180226,0.036119534405091296,0.0014868372248652978
0.0,-40.83333333333333,0.03312726423344509,0.03413556562489892,0.0010083013914538239
0.0,-40.0,0.03181357784731059,0.03248699826152338,0.00067342041421279
0.0,-39.166666666666664,0.030674675142215863,0.03111880156983031,0.00044412642761444687
0.0,-38.33333333333333,0.029668818961153202,0.03000267389933125,0.00033385493817804715
0.0,-37.5,0.028829701542708037,0.029133121429479474,0.00030341988677143675
0.0,-36.666666666666664,0.02814532992502733,0.028528179561853807,0.00038284963682647805
0.0,-35.83333333333333,0.027644158957490037,0.028230684862741502,0.000586525905251465
0.0,-35.0,0.027399983781484942,0.028314989825289585,0.0009150060438046434
0.0,-34.166666666666664,0.027465095447279153,0.02890068375302621,0.0014355883057470577
0.0,-33.33333333333333,0.027916256469603176,0.030175489095087844,0.0022592326254846674
0.0,-32.5,0.02889158764054132,0.03243696108404312,0.0035453734435017988
0.0,-31.666666666666664,0.030568252502867082,0.03616740490021744,0.0055991523973503605
0.0,-30.83333333333333,0.033100549009572114,0.04214296053109599,0.009042411521523873
0.0,-30.0,0.03633362283171159,0.05147154869958232,0.01513792586787073
0.0,-29.166666666666664,0.03965113890099863,0.07547465576439293,0.03582351686339429
