sample,repeat_count,common_minus_wrongref_db_mean,common_minus_wrongref_db_min,common_minus_wrongref_positive_fraction,common_minus_ordinary_db_mean,common_minus_ordinary_db_min,occupancy_fraction,edge_density,sparse_alignment,gate_mean,component_count,center_radius,horizontal_asymmetry,vertical_asymmetry,thinness_ratio,wrongref_object_amp_alignment,goodref_object_amp_alignment,wrongref_goodref_amp_similarity,common_wrong_input_amp_gap,common_wrong_input_phase_gap,ordinary_common_input_amp_gap,ordinary_common_input_phase_gap,wrongref_object_phase_alignment,negative_mass_db,tail_cvar20_db,mechanism_readout
zigzag,14,-0.398204,-1.204329,0.142857,-0.135201,-0.533514,0.055556,0.137018,0.993794,0.311111,16.0,0.225064,0.094444,0.094444,2.466324,0.926606,0.543789,0.812934,0.016563,0.016445,0.027945,0.018129,0.900045,0.445602,-0.884861,ordinary-support failure dominates: the shape is thin or fragmented enough that common-path itself falls outside the stable processor window
offcenter_disk,14,0.226079,-0.991508,0.642857,0.75648,0.03504,0.161458,0.091542,0.997974,0.322917,1.0,0.171993,0.130903,0.101389,0.566972,0.974712,0.798721,0.885447,0.01818,0.041116,0.028705,0.041487,0.56343,0.100254,-0.435675,wrong-reference tracking dominates: the decoy amplitude matches the object support too well under occupancy_guarded encoding
half_ring,14,-0.032924,-0.428507,0.285714,0.225804,-0.137511,0.083333,0.093829,0.987035,0.248333,1.0,0.084458,0.0,0.040278,1.125948,0.929183,0.492611,0.721966,0.013961,0.033164,0.021528,0.023412,0.923536,0.141651,-0.373699,wrong-reference tracking dominates: the decoy amplitude matches the object support too well under occupancy_guarded encoding
disk,14,0.273426,-0.403977,0.714286,0.902781,0.449746,0.131944,0.078074,1.0,0.305556,1.0,0.0,0.0,0.0,0.591718,0.974884,0.814867,0.909466,0.016554,0.028106,0.028056,0.042098,0.375973,0.064611,-0.279547,wrong-reference tracking dominates: the decoy amplitude matches the object support too well under occupancy_guarded encoding
diamond,14,0.278708,-0.341463,0.857143,0.789097,0.127451,0.145833,0.110709,0.993285,0.298333,1.0,0.0,0.0,0.0,0.759144,0.966709,0.755718,0.858546,0.016381,0.019809,0.027109,0.030011,0.614386,0.041941,-0.18767,wrong-reference tracking dominates: the decoy amplitude matches the object support too well under occupancy_guarded encoding
triple_bars,14,-0.115828,-0.315959,0.214286,-0.034834,-0.285857,0.145833,0.193012,0.995016,0.323958,3.0,0.07015,0.033333,0.0,1.32351,0.967538,0.7569,0.862291,0.016655,0.046139,0.028574,0.034557,0.826777,0.138394,-0.294115,ordinary-support failure dominates: the shape is thin or fragmented enough that common-path itself falls outside the stable processor window
corner_dots,14,0.129694,-0.242455,0.714286,0.372848,-0.098431,0.090278,0.118742,0.999126,0.266806,4.0,0.030925,0.004514,0.009028,1.315299,0.9505,0.613127,0.79983,0.015229,0.019836,0.023255,0.03147,0.386425,0.030082,-0.136599,wrong-reference tracking dominates: the decoy amplitude matches the object support too well under occupancy_guarded encoding
two_spots,14,0.352749,-0.024772,0.928571,0.547308,0.030892,0.079861,0.081813,0.999369,0.261111,2.0,0.08997,0.134028,0.125,1.024445,0.960203,0.622717,0.786794,0.015367,0.021134,0.022886,0.024902,0.718809,0.001769,0.015593,wrong-reference tracking dominates: the decoy amplitude matches the object support too well under occupancy_guarded encoding
frame,14,0.207716,0.103055,1.0,0.464507,0.367723,0.166667,0.190616,0.995283,0.369048,2.0,0.0,0.0,0.0,1.143697,0.976931,0.777146,0.885291,0.018093,0.038323,0.034263,0.048265,0.326352,0.0,0.123388,wrong-reference tracking dominates: the decoy amplitude matches the object support too well under occupancy_guarded encoding
