config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,wrongref_mode,psnr_db,mse
1,1,ood,disk,ordinary,1,0.16,0.14,task_matched_decoy,13.425187,0.0454445
1,1,ood,two_spots,ordinary,1,0.16,0.14,task_matched_decoy,13.443806,0.04525008
1,1,ood,frame,ordinary,1,0.16,0.14,task_matched_decoy,9.313442,0.11712668
1,1,ood,disk,common_path,1,0.16,0.14,task_matched_decoy,14.12952,0.03864097
1,1,ood,two_spots,common_path,1,0.16,0.14,task_matched_decoy,14.120188,0.03872409
1,1,ood,frame,common_path,1,0.16,0.14,task_matched_decoy,9.425778,0.11413589
1,1,ood,disk,noncommon_path,1,0.16,0.14,task_matched_decoy,13.883506,0.04089304
1,1,ood,two_spots,noncommon_path,1,0.16,0.14,task_matched_decoy,13.7651,0.04202329
1,1,ood,frame,noncommon_path,1,0.16,0.14,task_matched_decoy,9.325447,0.11680334
1,1,ood,disk,wrong_reference,1,0.16,0.14,task_matched_decoy,14.084996,0.03903916
1,1,ood,two_spots,wrong_reference,1,0.16,0.14,task_matched_decoy,13.700509,0.04265295
1,1,ood,frame,wrong_reference,1,0.16,0.14,task_matched_decoy,9.506058,0.11204544
1,2,train,cross,ordinary,1,0.16,0.14,task_matched_decoy,13.310465,0.04666094
1,2,train,diag,ordinary,1,0.16,0.14,task_matched_decoy,13.151394,0.0484017
1,2,train,box,ordinary,1,0.16,0.14,task_matched_decoy,12.35529,0.05813946
1,2,train,bars,ordinary,1,0.16,0.14,task_matched_decoy,13.258711,0.04722031
1,2,train,ring,ordinary,1,0.16,0.14,task_matched_decoy,13.7429,0.04223864
1,2,train,chevron,ordinary,1,0.16,0.14,task_matched_decoy,13.590658,0.04374558
1,2,train,cross,common_path,1,0.16,0.14,task_matched_decoy,12.743411,0.05316905
1,2,train,diag,common_path,1,0.16,0.14,task_matched_decoy,9.869862,0.10304188
1,2,train,box,common_path,1,0.16,0.14,task_matched_decoy,11.696541,0.06766216
1,2,train,bars,common_path,1,0.16,0.14,task_matched_decoy,12.478127,0.05651807
1,2,train,ring,common_path,1,0.16,0.14,task_matched_decoy,12.401825,0.05751982
1,2,train,chevron,common_path,1,0.16,0.14,task_matched_decoy,10.25655,0.09426382
1,2,train,cross,noncommon_path,1,0.16,0.14,task_matched_decoy,12.8796,0.05152761
1,2,train,diag,noncommon_path,1,0.16,0.14,task_matched_decoy,9.861597,0.10323816
1,2,train,box,noncommon_path,1,0.16,0.14,task_matched_decoy,11.69128,0.06774419
1,2,train,bars,noncommon_path,1,0.16,0.14,task_matched_decoy,12.615243,0.05476154
1,2,train,ring,noncommon_path,1,0.16,0.14,task_matched_decoy,12.244729,0.05963856
1,2,train,chevron,noncommon_path,1,0.16,0.14,task_matched_decoy,10.492005,0.08928932
1,2,train,cross,wrong_reference,1,0.16,0.14,task_matched_decoy,12.761441,0.05294878
1,2,train,diag,wrong_reference,1,0.16,0.14,task_matched_decoy,10.129006,0.09707321
1,2,train,box,wrong_reference,1,0.16,0.14,task_matched_decoy,11.959973,0.06367995
1,2,train,bars,wrong_reference,1,0.16,0.14,task_matched_decoy,12.56517,0.05539658
1,2,train,ring,wrong_reference,1,0.16,0.14,task_matched_decoy,12.394397,0.05761828
1,2,train,chevron,wrong_reference,1,0.16,0.14,task_matched_decoy,10.686894,0.08537104
1,2,ood,disk,ordinary,1,0.16,0.14,task_matched_decoy,14.026046,0.03957267
1,2,ood,two_spots,ordinary,1,0.16,0.14,task_matched_decoy,13.113789,0.04882262
1,2,ood,frame,ordinary,1,0.16,0.14,task_matched_decoy,9.33978,0.11641851
1,2,ood,disk,common_path,1,0.16,0.14,task_matched_decoy,14.444361,0.03593883
1,2,ood,two_spots,common_path,1,0.16,0.14,task_matched_decoy,13.904132,0.04069929
1,2,ood,frame,common_path,1,0.16,0.14,task_matched_decoy,9.504022,0.11209797
1,2,ood,disk,noncommon_path,1,0.16,0.14,task_matched_decoy,13.842165,0.04128416
1,2,ood,two_spots,noncommon_path,1,0.16,0.14,task_matched_decoy,14.004158,0.03977262
1,2,ood,frame,noncommon_path,1,0.16,0.14,task_matched_decoy,9.451177,0.11347032
1,2,ood,disk,wrong_reference,1,0.16,0.14,task_matched_decoy,14.569641,0.03491692
1,2,ood,two_spots,wrong_reference,1,0.16,0.14,task_matched_decoy,14.021562,0.03961355
1,2,ood,frame,wrong_reference,1,0.16,0.14,task_matched_decoy,9.612572,0.10933088
1,3,train,cross,ordinary,1,0.16,0.14,task_matched_decoy,13.291379,0.04686646
1,3,train,diag,ordinary,1,0.16,0.14,task_matched_decoy,13.297471,0.04680076
1,3,train,box,ordinary,1,0.16,0.14,task_matched_decoy,12.185599,0.0604561
1,3,train,bars,ordinary,1,0.16,0.14,task_matched_decoy,13.253019,0.04728225
1,3,train,ring,ordinary,1,0.16,0.14,task_matched_decoy,13.845201,0.04125532
1,3,train,chevron,ordinary,1,0.16,0.14,task_matched_decoy,13.631986,0.04333127
1,3,train,cross,common_path,1,0.16,0.14,task_matched_decoy,12.838731,0.05201479
1,3,train,diag,common_path,1,0.16,0.14,task_matched_decoy,10.90326,0.08122207
1,3,train,box,common_path,1,0.16,0.14,task_matched_decoy,11.827549,0.06565156
1,3,train,bars,common_path,1,0.16,0.14,task_matched_decoy,12.355729,0.05813358
1,3,train,ring,common_path,1,0.16,0.14,task_matched_decoy,12.269883,0.05929414
1,3,train,chevron,common_path,1,0.16,0.14,task_matched_decoy,10.482979,0.08947508
1,3,train,cross,noncommon_path,1,0.16,0.14,task_matched_decoy,12.856586,0.05180139
1,3,train,diag,noncommon_path,1,0.16,0.14,task_matched_decoy,10.512414,0.08887069
1,3,train,box,noncommon_path,1,0.16,0.14,task_matched_decoy,11.633487,0.0686517
