config_id,repeat_seed,sample,wrongref_mode,encoding_mode,common_minus_wrongref_db,common_minus_ordinary_db
8,0,two_spots,sparse_tracker_decoy,hybrid_guarded,0.262685,0.545044
8,1,frame,sparse_tracker_decoy,hybrid_guarded,-0.005826,0.091718
8,1,two_spots,sparse_tracker_decoy,hybrid_guarded,0.065034,0.613787
8,2,frame,sparse_tracker_decoy,hybrid_guarded,0.020597,0.19748
8,2,two_spots,sparse_tracker_decoy,hybrid_guarded,0.344582,0.649257
8,3,frame,sparse_tracker_decoy,hybrid_guarded,0.237263,0.341843
8,3,two_spots,sparse_tracker_decoy,hybrid_guarded,0.100853,0.393824
8,4,frame,sparse_tracker_decoy,hybrid_guarded,0.141282,0.170071
8,4,two_spots,sparse_tracker_decoy,hybrid_guarded,0.438644,0.691757
8,5,frame,sparse_tracker_decoy,hybrid_guarded,0.108371,0.162603
8,5,two_spots,sparse_tracker_decoy,hybrid_guarded,0.184346,0.362912
9,0,frame,hybrid_risk_decoy,baseline,-0.486332,0.162007
9,0,two_spots,hybrid_risk_decoy,baseline,-0.125054,0.571552
9,1,frame,hybrid_risk_decoy,baseline,-0.397413,0.244
9,1,two_spots,hybrid_risk_decoy,baseline,-0.098865,0.86633
9,2,frame,hybrid_risk_decoy,baseline,-0.525207,0.190624
9,2,two_spots,hybrid_risk_decoy,baseline,-0.300126,0.71788
9,3,frame,hybrid_risk_decoy,baseline,-0.379962,0.157362
9,3,two_spots,hybrid_risk_decoy,baseline,-0.283747,0.784366
9,4,frame,hybrid_risk_decoy,baseline,-0.699294,-0.030462
9,4,two_spots,hybrid_risk_decoy,baseline,-0.486856,0.462257
9,5,frame,hybrid_risk_decoy,baseline,-0.548875,0.112
9,5,two_spots,hybrid_risk_decoy,baseline,-0.111835,0.47608
10,0,frame,hybrid_risk_decoy,edge_guarded,-0.438206,-0.259859
10,0,two_spots,hybrid_risk_decoy,edge_guarded,-0.490396,0.282607
10,1,frame,hybrid_risk_decoy,edge_guarded,-0.490011,-0.18458
10,1,two_spots,hybrid_risk_decoy,edge_guarded,-0.245715,0.021654
10,2,frame,hybrid_risk_decoy,edge_guarded,-0.465638,-0.187055
10,2,two_spots,hybrid_risk_decoy,edge_guarded,-0.834924,0.006521
10,3,frame,hybrid_risk_decoy,edge_guarded,-0.683891,-0.379318
10,3,two_spots,hybrid_risk_decoy,edge_guarded,-0.143928,0.254834
10,4,frame,hybrid_risk_decoy,edge_guarded,-0.540635,-0.356509
10,4,two_spots,hybrid_risk_decoy,edge_guarded,-0.422705,0.281241
10,5,frame,hybrid_risk_decoy,edge_guarded,-0.417336,-0.159695
10,5,two_spots,hybrid_risk_decoy,edge_guarded,-0.109352,0.102731
11,0,frame,hybrid_risk_decoy,occupancy_guarded,-0.102175,0.374475
11,0,two_spots,hybrid_risk_decoy,occupancy_guarded,0.037151,0.559983
11,1,frame,hybrid_risk_decoy,occupancy_guarded,0.038718,0.496046
11,1,two_spots,hybrid_risk_decoy,occupancy_guarded,-0.311629,0.403444
11,2,frame,hybrid_risk_decoy,occupancy_guarded,-0.059888,0.46901
11,2,two_spots,hybrid_risk_decoy,occupancy_guarded,-0.468735,0.49034
11,3,frame,hybrid_risk_decoy,occupancy_guarded,-0.10764,0.490374
11,3,two_spots,hybrid_risk_decoy,occupancy_guarded,-0.357818,0.313975
11,4,frame,hybrid_risk_decoy,occupancy_guarded,-0.096262,0.506522
11,4,two_spots,hybrid_risk_decoy,occupancy_guarded,-0.044421,0.682893
11,5,frame,hybrid_risk_decoy,occupancy_guarded,-0.080976,0.599989
11,5,two_spots,hybrid_risk_decoy,occupancy_guarded,0.165696,0.634707
12,0,frame,hybrid_risk_decoy,hybrid_guarded,-0.112101,0.245158
12,0,two_spots,hybrid_risk_decoy,hybrid_guarded,-0.054239,0.491895
12,1,frame,hybrid_risk_decoy,hybrid_guarded,-0.166701,0.200699
12,1,two_spots,hybrid_risk_decoy,hybrid_guarded,-0.22314,0.449991
12,2,frame,hybrid_risk_decoy,hybrid_guarded,-0.224608,0.21253
12,2,two_spots,hybrid_risk_decoy,hybrid_guarded,-0.209223,0.339716
12,3,frame,hybrid_risk_decoy,hybrid_guarded,-0.123075,0.201462
12,3,two_spots,hybrid_risk_decoy,hybrid_guarded,-0.002122,0.650378
12,4,frame,hybrid_risk_decoy,hybrid_guarded,-0.235872,0.022346
12,4,two_spots,hybrid_risk_decoy,hybrid_guarded,-0.175746,0.057374
12,5,frame,hybrid_risk_decoy,hybrid_guarded,-0.158932,0.234055
12,5,two_spots,hybrid_risk_decoy,hybrid_guarded,-0.02509,0.157096
