config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,psnr_db,mse
1,1,train,bars,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.711363,0.05356286
1,1,train,ring,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.540668,0.05571
1,1,train,chevron,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.104173,0.07755015
1,1,train,cross,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.937327,0.05084723
1,1,train,diag,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.186981,0.07608549
1,1,train,box,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.213516,0.06006872
1,1,train,bars,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.858678,0.05177644
1,1,train,ring,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.540525,0.05571184
1,1,train,chevron,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.159175,0.07657421
1,1,ood,disk,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.313514,0.04662819
1,1,ood,two_spots,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.434494,0.04534721
1,1,ood,frame,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.291123,0.11773016
1,1,ood,disk,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.90034,0.04073484
1,1,ood,two_spots,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.989837,0.03990398
1,1,ood,frame,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.406234,0.11465066
1,1,ood,disk,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.861398,0.04110174
1,1,ood,two_spots,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.085498,0.03903464
1,1,ood,frame,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.444498,0.11364496
1,1,ood,disk,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.841952,0.04128619
1,1,ood,two_spots,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.148425,0.03847313
1,1,ood,frame,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.470723,0.11296078
1,2,train,cross,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.010523,0.04999743
1,2,train,diag,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.995775,0.05016751
1,2,train,box,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.938676,0.06399299
1,2,train,bars,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.182223,0.04805933
1,2,train,ring,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.474311,0.04493336
1,2,train,chevron,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.621689,0.04343413
1,2,train,cross,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.967552,0.05049459
1,2,train,diag,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.341732,0.09243294
1,2,train,box,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.87413,0.06495118
1,2,train,bars,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.629968,0.05457619
1,2,train,ring,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.365387,0.05800445
1,2,train,chevron,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.466154,0.07134846
1,2,train,cross,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.86302,0.0517247
1,2,train,diag,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.920581,0.10184552
1,2,train,box,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.888906,0.06473057
1,2,train,bars,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.603853,0.05490535
1,2,train,ring,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.175432,0.06059779
1,2,train,chevron,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.817709,0.0828379
1,2,train,cross,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.908175,0.05118969
1,2,train,diag,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.228595,0.04754891
1,2,train,box,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.017673,0.0628395
